date,week_id,week_of_year
2010-01-01,1,1
2010-01-02,1,1
2010-01-03,1,1
2010-01-04,1,1
2010-01-05,1,1
2010-01-06,1,1
2010-01-07,1,1
2010-01-08,2,2
2010-01-09,2,2
2010-01-10,2,2
2010-01-11,2,2
2010-01-12,2,2
2010-01-13,2,2
2010-01-14,2,2
2010-01-15,3,3
2010-01-16,3,3
2010-01-17,3,3
2010-01-18,3,3
2010-01-19,3,3
2010-01-20,3,3
2010-01-21,3,3
2010-01-22,4,4
2010-01-23,4,4
2010-01-24,4,4
2010-01-25,4,4
2010-01-26,4,4
2010-01-27,4,4
2010-01-28,4,4
2010-01-29,5,5
2010-01-30,5,5
2010-01-31,5,5
2010-02-01,5,5
2010-02-02,5,5
2010-02-03,5,5
2010-02-04,5,5
2010-02-05,6,6
2010-02-06,6,6
2010-02-07,6,6
2010-02-08,6,6
2010-02-09,6,6
2010-02-10,6,6
2010-02-11,6,6
2010-02-12,7,7
2010-02-13,7,7
2010-02-14,7,7
2010-02-15,7,7
2010-02-16,7,7
2010-02-17,7,7
2010-02-18,7,7
2010-02-19,8,8
2010-02-20,8,8
2010-02-21,8,8
2010-02-22,8,8
2010-02-23,8,8
2010-02-24,8,8
2010-02-25,8,8
2010-02-26,9,9
2010-02-27,9,9
2010-02-28,9,9
2010-03-01,9,9
2010-03-02,9,9
2010-03-03,9,9
2010-03-04,9,9
2010-03-05,10,10
2010-03-06,10,10
2010-03-07,10,10
2010-03-08,10,10
2010-03-09,10,10
2010-03-10,10,10
2010-03-11,10,10
2010-03-12,11,11
2010-03-13,11,11
2010-03-14,11,11
2010-03-15,11,11
2010-03-16,11,11
2010-03-17,11,11
2010-03-18,11,11
2010-03-19,12,12
2010-03-20,12,12
2010-03-21,12,12
2010-03-22,12,12
2010-03-23,12,12
2010-03-24,12,12
2010-03-25,12,12
2010-03-26,13,13
2010-03-27,13,13
2010-03-28,13,13
2010-03-29,13,13
2010-03-30,13,13
2010-03-31,13,13
2010-04-01,13,13
2010-04-02,14,14
2010-04-03,14,14
2010-04-04,14,14
2010-04-05,14,14
2010-04-06,14,14
2010-04-07,14,14
2010-04-08,14,14
2010-04-09,15,15
2010-04-10,15,15
2010-04-11,15,15
2010-04-12,15,15
2010-04-13,15,15
2010-04-14,15,15
2010-04-15,15,15
2010-04-16,16,16
2010-04-17,16,16
2010-04-18,16,16
2010-04-19,16,16
2010-04-20,16,16
2010-04-21,16,16
2010-04-22,16,16
2010-04-23,17,17
2010-04-24,17,17
2010-04-25,17,17
2010-04-26,17,17
2010-04-27,17,17
2010-04-28,17,17
2010-04-29,17,17
2010-04-30,18,18
2010-05-01,18,18
2010-05-02,18,18
2010-05-03,18,18
2010-05-04,18,18
2010-05-05,18,18
2010-05-06,18,18
2010-05-07,19,19
2010-05-08,19,19
2010-05-09,19,19
2010-05-10,19,19
2010-05-11,19,19
2010-05-12,19,19
2010-05-13,19,19
2010-05-14,20,20
2010-05-15,20,20
2010-05-16,20,20
2010-05-17,20,20
2010-05-18,20,20
2010-05-19,20,20
2010-05-20,20,20
2010-05-21,21,21
2010-05-22,21,21
2010-05-23,21,21
2010-05-24,21,21
2010-05-25,21,21
2010-05-26,21,21
2010-05-27,21,21
2010-05-28,22,22
2010-05-29,22,22
2010-05-30,22,22
2010-05-31,22,22
2010-06-01,22,22
2010-06-02,22,22
2010-06-03,22,22
2010-06-04,23,23
2010-06-05,23,23
2010-06-06,23,23
2010-06-07,23,23
2010-06-08,23,23
2010-06-09,23,23
2010-06-10,23,23
2010-06-11,24,24
2010-06-12,24,24
2010-06-13,24,24
2010-06-14,24,24
2010-06-15,24,24
2010-06-16,24,24
2010-06-17,24,24
2010-06-18,25,25
2010-06-19,25,25
2010-06-20,25,25
2010-06-21,25,25
2010-06-22,25,25
2010-06-23,25,25
2010-06-24,25,25
2010-06-25,26,26
2010-06-26,26,26
2010-06-27,26,26
2010-06-28,26,26
2010-06-29,26,26
2010-06-30,26,26
2010-07-01,26,26
2010-07-02,27,27
2010-07-03,27,27
2010-07-04,27,27
2010-07-05,27,27
2010-07-06,27,27
2010-07-07,27,27
2010-07-08,27,27
2010-07-09,28,28
2010-07-10,28,28
2010-07-11,28,28
2010-07-12,28,28
2010-07-13,28,28
2010-07-14,28,28
2010-07-15,28,28
2010-07-16,29,29
2010-07-17,29,29
2010-07-18,29,29
2010-07-19,29,29
2010-07-20,29,29
2010-07-21,29,29
2010-07-22,29,29
2010-07-23,30,30
2010-07-24,30,30
2010-07-25,30,30
2010-07-26,30,30
2010-07-27,30,30
2010-07-28,30,30
2010-07-29,30,30
2010-07-30,31,31
2010-07-31,31,31
2010-08-01,31,31
2010-08-02,31,31
2010-08-03,31,31
2010-08-04,31,31
2010-08-05,31,31
2010-08-06,32,32
2010-08-07,32,32
2010-08-08,32,32
2010-08-09,32,32
2010-08-10,32,32
2010-08-11,32,32
2010-08-12,32,32
2010-08-13,33,33
2010-08-14,33,33
2010-08-15,33,33
2010-08-16,33,33
2010-08-17,33,33
2010-08-18,33,33
2010-08-19,33,33
2010-08-20,34,34
2010-08-21,34,34
2010-08-22,34,34
2010-08-23,34,34
2010-08-24,34,34
2010-08-25,34,34
2010-08-26,34,34
2010-08-27,35,35
2010-08-28,35,35
2010-08-29,35,35
2010-08-30,35,35
2010-08-31,35,35
2010-09-01,35,35
2010-09-02,35,35
2010-09-03,36,36
2010-09-04,36,36
2010-09-05,36,36
2010-09-06,36,36
2010-09-07,36,36
2010-09-08,36,36
2010-09-09,36,36
2010-09-10,37,37
2010-09-11,37,37
2010-09-12,37,37
2010-09-13,37,37
2010-09-14,37,37
2010-09-15,37,37
2010-09-16,37,37
2010-09-17,38,38
2010-09-18,38,38
2010-09-19,38,38
2010-09-20,38,38
2010-09-21,38,38
2010-09-22,38,38
2010-09-23,38,38
2010-09-24,39,39
2010-09-25,39,39
2010-09-26,39,39
2010-09-27,39,39
2010-09-28,39,39
2010-09-29,39,39
2010-09-30,39,39
2010-10-01,40,40
2010-10-02,40,40
2010-10-03,40,40
2010-10-04,40,40
2010-10-05,40,40
2010-10-06,40,40
2010-10-07,40,40
2010-10-08,41,41
2010-10-09,41,41
2010-10-10,41,41
2010-10-11,41,41
2010-10-12,41,41
2010-10-13,41,41
2010-10-14,41,41
2010-10-15,42,42
2010-10-16,42,42
2010-10-17,42,42
2010-10-18,42,42
2010-10-19,42,42
2010-10-20,42,42
2010-10-21,42,42
2010-10-22,43,43
2010-10-23,43,43
2010-10-24,43,43
2010-10-25,43,43
2010-10-26,43,43
2010-10-27,43,43
2010-10-28,43,43
2010-10-29,44,44
2010-10-30,44,44
2010-10-31,44,44
2010-11-01,44,44
2010-11-02,44,44
2010-11-03,44,44
