"","full_name","month","anom.abs"
"1","Alabama",1,1.76702971247843
"2","Alabama",2,1.30839916930268
"3","Alabama",3,1.52444340887703
"4","Alabama",4,1.17441468682298
"5","Alabama",5,0.848015128064075
"6","Alabama",6,0.874886114120647
"7","Alabama",7,0.756580175485133
"8","Alabama",8,0.913866182844646
"9","Alabama",9,0.860827081339071
"10","Alabama",10,1.05390668895223
"11","Alabama",11,1.49985836813328
"12","Alabama",12,1.98505440330872
"13","Arizona",1,1.07271567878217
"14","Arizona",2,1.17695454801976
"15","Arizona",3,1.36318638381513
"16","Arizona",4,1.25824402175103
"17","Arizona",5,1.42192642698938
"18","Arizona",6,1.1054796633433
"19","Arizona",7,0.831519035152304
"20","Arizona",8,0.837832178308229
"21","Arizona",9,0.866759885820113
"22","Arizona",10,1.14335316893732
"23","Arizona",11,1.3346475569278
"24","Arizona",12,0.953621886890724
"25","Arkansas",1,1.6323189668539
"26","Arkansas",2,1.8128237040401
"27","Arkansas",3,1.60363216563443
"28","Arkansas",4,1.33122747373672
"29","Arkansas",5,1.05778742978725
"30","Arkansas",6,1.04869670619991
"31","Arkansas",7,0.959592394047299
"32","Arkansas",8,1.27153675001018
"33","Arkansas",9,1.08081557193163
"34","Arkansas",10,1.00263444244482
"35","Arkansas",11,1.55825256452554
"36","Arkansas",12,1.77638909899377
"37","California",1,1.07812803627558
"38","California",2,1.1063370114794
"39","California",3,1.32859839645525
"40","California",4,1.31202276829993
"41","California",5,1.33530229364161
"42","California",6,1.19333663500772
"43","California",7,0.905345635873638
"44","California",8,0.72758413654321
"45","California",9,0.947000515333637
"46","California",10,1.2526765427041
"47","California",11,1.17253955146846
"48","California",12,0.902703263717479
"49","Colorado",1,1.44105366566629
"50","Colorado",2,1.591003217734
"51","Colorado",3,1.28641162848582
"52","Colorado",4,1.32765576312337
"53","Colorado",5,1.10117129282794
"54","Colorado",6,1.40291477688715
"55","Colorado",7,0.952909972614299
"56","Colorado",8,0.867065152049718
"57","Colorado",9,1.18230335068334
