"","full_name","variable.rounded","freq","percentage"
"1","Alabama",-4,1,0.8
"2","Alabama",-3,2,1.7
"3","Alabama",-2,6,5
"4","Alabama",-1,18,15
"5","Alabama",0,25,20.8
"6","Alabama",1,33,27.5
"7","Alabama",2,15,12.5
"8","Alabama",3,12,10
"9","Alabama",4,5,4.2
"10","Alabama",5,2,1.7
"11","Alabama",6,1,0.8
"12","Alaska",-7,1,0.8
"13","Alaska",-6,2,1.7
"14","Alaska",-5,1,0.8
"15","Alaska",-3,7,5.8
"16","Alaska",-2,3,2.5
"17","Alaska",-1,15,12.5
"18","Alaska",0,14,11.7
"19","Alaska",1,24,20
"20","Alaska",2,22,18.3
"21","Alaska",3,7,5.8
"22","Alaska",4,3,2.5
"23","Alaska",5,3,2.5
"24","Alaska",6,5,4.2
"25","Alaska",7,3,2.5
"26","Alaska",8,4,3.3
"27","Alaska",9,1,0.8
"28","Alaska",10,2,1.7
"29","Alaska",11,1,0.8
"30","Alaska",12,1,0.8
"31","Alaska",13,1,0.8
"32","Arizona",-2,6,5
"33","Arizona",-1,17,14.2
"34","Arizona",0,27,22.5
"35","Arizona",1,22,18.3
"36","Arizona",2,21,17.5
"37","Arizona",3,18,15
"38","Arizona",4,7,5.8
"39","Arizona",5,2,1.7
"40","Arkansas",-5,1,0.8
"41","Arkansas",-3,2,1.7
"42","Arkansas",-2,4,3.3
"43","Arkansas",-1,15,12.5
"44","Arkansas",0,25,20.8
"45","Arkansas",1,32,26.7
"46","Arkansas",2,18,15
"47","Arkansas",3,9,7.5
"48","Arkansas",4,9,7.5
"49","Arkansas",5,4,3.3
"50","Arkansas",7,1,0.8
"51","California",-2,10,8.3
"52","California",-1,12,10
"53","California",0,27,22.5
"54","California",1,33,27.5
"55","California",2,24,20
"56","California",3,9,7.5
"57","California",4,3,2.5
"58","California",5,2,1.7
"59","Colorado",-4,4,3.3
"60","Colorado",-3,2,1.7
"61","Colorado",-2,9,7.5
"62","Colorado",-1,12,10
"63","Colorado",0,19,15.8
"64","Colorado",1,26,21.7
"65","Colorado",2,22,18.3
"66","Colorado",3,16,13.3
"67","Colorado",4,6,5
"68","Colorado",5,4,3.3
"69","Connecticut",-4,3,2.5
"70","Connecticut",-3,3,2.5
"71","Connecticut",-2,8,6.7
"72","Connecticut",-1,18,15
"73","Connecticut",0,22,18.3
"74","Connecticut",1,28,23.3
"75","Connecticut",2,21,17.5
"76","Connecticut",3,7,5.8
"77","Connecticut",4,3,2.5
"78","Connecticut",5,5,4.2
"79","Connecticut",8,2,1.7
"80","Delaware",-3,5,4.2
"81","Delaware",-2,8,6.7
"82","Delaware",-1,20,16.7
"83","Delaware",0,21,17.5
"84","Delaware",1,31,25.8
"85","Delaware",2,15,12.5
"86","Delaware",3,11,9.2
"87","Delaware",4,5,4.2
"88","Delaware",5,3,2.5
"89","Delaware",6,1,0.8
"90","District of Columbia",-3,2,1.7
"91","District of Columbia",-2,10,8.3
"92","District of Columbia",-1,17,14.2
"93","District of Columbia",0,21,17.5
"94","District of Columbia",1,24,20
"95","District of Columbia",2,26,21.7
"96","District of Columbia",3,11,9.2
"97","District of Columbia",4,4,3.3
"98","District of Columbia",5,4,3.3
"99","District of Columbia",6,1,0.8
"100","Florida",-2,7,5.8
"101","Florida",-1,13,10.8
"102","Florida",0,40,33.3
"103","Florida",1,29,24.2
