"","full_name","variable.rounded","freq","percentage"
"1","Alabama",0,55,45.8
"2","Alabama",1,1,0.8
"3","Alabama",2,7,5.8
"4","Alabama",3,3,2.5
"5","Alabama",4,3,2.5
"6","Alabama",5,2,1.7
"7","Alabama",6,2,1.7
"8","Alabama",7,2,1.7
"9","Alabama",8,1,0.8
"10","Alabama",9,6,5
"11","Alabama",11,3,2.5
"12","Alabama",13,4,3.3
"13","Alabama",14,2,1.7
"14","Alabama",15,2,1.7
"15","Alabama",16,2,1.7
"16","Alabama",17,2,1.7
"17","Alabama",18,1,0.8
"18","Alabama",19,1,0.8
"19","Alabama",20,3,2.5
"20","Alabama",21,2,1.7
"21","Alabama",22,4,3.3
"22","Alabama",23,1,0.8
"23","Alabama",24,2,1.7
"24","Alabama",25,1,0.8
"25","Alabama",26,4,3.3
"26","Alabama",28,4,3.3
"27","Alaska",5,1,0.8
"28","Alaska",8,2,1.7
"29","Alaska",9,4,3.3
"30","Alaska",11,3,2.5
"31","Alaska",12,1,0.8
"32","Alaska",14,1,0.8
"33","Alaska",15,3,2.5
"34","Alaska",16,4,3.3
"35","Alaska",17,2,1.7
"36","Alaska",18,3,2.5
"37","Alaska",19,1,0.8
"38","Alaska",20,2,1.7
"39","Alaska",21,1,0.8
"40","Alaska",22,1,0.8
"41","Alaska",23,2,1.7
"42","Alaska",24,1,0.8
"43","Alaska",26,2,1.7
"44","Alaska",27,4,3.3
"45","Alaska",28,10,8.3
"46","Alaska",29,54,45
"47","Alaska",30,18,15
"48","Arizona",0,54,45
"49","Arizona",1,12,10
"50","Arizona",2,1,0.8
"51","Arizona",3,2,1.7
"52","Arizona",4,5,4.2
"53","Arizona",5,2,1.7
"54","Arizona",6,3,2.5
"55","Arizona",7,4,3.3
"56","Arizona",8,3,2.5
"57","Arizona",9,3,2.5
"58","Arizona",10,4,3.3
"59","Arizona",11,5,4.2
"60","Arizona",12,2,1.7
"61","Arizona",13,2,1.7
"62","Arizona",16,3,2.5
"63","Arizona",17,2,1.7
"64","Arizona",18,2,1.7
"65","Arizona",19,1,0.8
"66","Arizona",20,1,0.8
"67","Arizona",22,4,3.3
"68","Arizona",23,3,2.5
"69","Arizona",24,1,0.8
"70","Arizona",26,1,0.8
"71","Arkansas",0,50,41.7
"72","Arkansas",1,4,3.3
"73","Arkansas",2,3,2.5
"74","Arkansas",3,2,1.7
"75","Arkansas",4,2,1.7
"76","Arkansas",5,6,5
"77","Arkansas",6,2,1.7
"78","Arkansas",8,1,0.8
"79","Arkansas",10,1,0.8
"80","Arkansas",11,3,2.5
"81","Arkansas",12,2,1.7
"82","Arkansas",13,2,1.7
"83","Arkansas",14,3,2.5
"84","Arkansas",15,3,2.5
"85","Arkansas",16,3,2.5
