"","variable.rounded","freq","percentage"
"1",0,2046,33.4
"2",1,236,3.9
"3",2,140,2.3
"4",3,130,2.1
"5",4,108,1.8
"6",5,104,1.7
"7",6,80,1.3
"8",7,90,1.5
"9",8,91,1.5
"10",9,77,1.3
"11",10,71,1.2
"12",11,60,1
"13",12,72,1.2
"14",13,81,1.3
"15",14,70,1.1
"16",15,81,1.3
"17",16,93,1.5
"18",17,73,1.2
"19",18,70,1.1
"20",19,77,1.3
"21",20,86,1.4
"22",21,75,1.2
"23",22,94,1.5
"24",23,95,1.6
"25",24,103,1.7
"26",25,102,1.7
"27",26,116,1.9
"28",27,120,2
"29",28,130,2.1
"30",29,202,3.3
"31",30,273,4.5
"32",31,874,14.3
