"","full_name","variable.rounded","freq","percentage"
"1","Alabama",0,41,34.2
"2","Alabama",1,12,10
"3","Alabama",2,10,8.3
"4","Alabama",3,9,7.5
"5","Alabama",4,10,8.3
"6","Alabama",5,7,5.8
"7","Alabama",6,8,6.7
"8","Alabama",7,7,5.8
"9","Alabama",8,6,5
"10","Alabama",9,7,5.8
"11","Alabama",10,2,1.7
"12","Alabama",13,1,0.8
"13","Alaska",0,43,35.8
"14","Alaska",1,32,26.7
"15","Alaska",2,11,9.2
"16","Alaska",3,9,7.5
"17","Alaska",4,7,5.8
"18","Alaska",5,7,5.8
"19","Alaska",6,5,4.2
"20","Alaska",7,3,2.5
"21","Alaska",8,2,1.7
"22","Alaska",9,1,0.8
"23","Arizona",0,80,66.7
"24","Arizona",1,24,20
"25","Arizona",2,11,9.2
"26","Arizona",3,5,4.2
"27","Arkansas",0,28,23.3
"28","Arkansas",1,17,14.2
"29","Arkansas",2,12,10
"30","Arkansas",3,7,5.8
"31","Arkansas",4,8,6.7
"32","Arkansas",5,9,7.5
"33","Arkansas",6,12,10
"34","Arkansas",7,5,4.2
"35","Arkansas",8,10,8.3
"36","Arkansas",9,5,4.2
"37","Arkansas",10,4,3.3
"38","Arkansas",11,2,1.7
"39","Arkansas",14,1,0.8
"40","California",0,96,80
"41","California",1,22,18.3
"42","California",2,2,1.7
"43","Colorado",0,15,12.5
"44","Colorado",1,15,12.5
"45","Colorado",2,19,15.8
"46","Colorado",3,17,14.2
"47","Colorado",4,13,10.8
"48","Colorado",5,15,12.5
"49","Colorado",6,12,10
"50","Colorado",7,7,5.8
"51","Colorado",8,2,1.7
"52","Colorado",9,4,3.3
"53","Colorado",10,1,0.8
"54","Connecticut",0,24,20
"55","Connecticut",1,20,16.7
"56","Connecticut",2,9,7.5
"57","Connecticut",3,10,8.3
"58","Connecticut",4,12,10
"59","Connecticut",5,13,10.8
"60","Connecticut",6,7,5.8
"61","Connecticut",7,3,2.5
"62","Connecticut",8,4,3.3
"63","Connecticut",9,8,6.7
"64","Connecticut",10,3,2.5
"65","Connecticut",11,1,0.8
"66","Connecticut",12,3,2.5
"67","Connecticut",14,3,2.5
"68","Delaware",0,20,16.7
"69","Delaware",1,23,19.2
"70","Delaware",2,20,16.7
"71","Delaware",3,8,6.7
"72","Delaware",4,13,10.8
"73","Delaware",5,8,6.7
"74","Delaware",6,10,8.3
"75","Delaware",7,4,3.3
"76","Delaware",8,8,6.7
"77","Delaware",9,2,1.7
"78","Delaware",10,3,2.5
"79","Delaware",11,1,0.8
"80","District of Columbia",0,21,17.5
"81","District of Columbia",1,19,15.8
"82","District of Columbia",2,15,12.5
"83","District of Columbia",3,9,7.5
"84","District of Columbia",4,12,10
"85","District of Columbia",5,9,7.5
"86","District of Columbia",6,13,10.8
"87","District of Columbia",7,9,7.5
"88","District of Columbia",8,3,2.5
"89","District of Columbia",9,5,4.2
"90","District of Columbia",10,2,1.7
"91","District of Columbia",11,2,1.7
"92","District of Columbia",13,1,0.8
"93","Florida",0,65,54.2
"94","Florida",1,19,15.8
"95","Florida",2,6,5
"96","Florida",3,10,8.3
"97","Florida",4,6,5
"98","Florida",5,7,5.8
"99","Florida",6,6,5
"100","Florida",7,1,0.8
"101","Georgia",0,42,35
"102","Georgia",1,14,11.7
"103","Georgia",2,10,8.3
"104","Georgia",3,8,6.7
"105","Georgia",4,12,10
"106","Georgia",5,9,7.5
"107","Georgia",6,10,8.3
"108","Georgia",7,6,5
"109","Georgia",8,5,4.2
"110","Georgia",9,2,1.7
"111","Georgia",10,1,0.8
"112","Georgia",12,1,0.8
"113","Hawaii",0,120,100
"114","Idaho",0,15,12.5
"115","Idaho",1,31,25.8
"116","Idaho",2,27,22.5
"117","Idaho",3,26,21.7
"118","Idaho",4,13,10.8
"119","Idaho",5,7,5.8
"120","Idaho",6,1,0.8
"121","Illinois",0,15,12.5
"122","Illinois",1,21,17.5
"123","Illinois",2,10,8.3
"124","Illinois",3,20,16.7
"125","Illinois",4,12,10
"126","Illinois",5,11,9.2
"127","Illinois",6,8,6.7
"128","Illinois",7,9,7.5
"129","Illinois",9,4,3.3
"130","Illinois",10,3,2.5
"131","Illinois",11,4,3.3
"132","Illinois",12,1,0.8
"133","Illinois",13,2,1.7
"134","Indiana",0,12,10
"135","Indiana",1,19,15.8
"136","Indiana",2,5,4.2
"137","Indiana",3,14,11.7
"138","Indiana",4,13,10.8
"139","Indiana",5,11,9.2
"140","Indiana",6,8,6.7
"141","Indiana",7,10,8.3
"142","Indiana",8,11,9.2
"143","Indiana",9,5,4.2
"144","Indiana",10,3,2.5
"145","Indiana",11,3,2.5
"146","Indiana",12,4,3.3
"147","Indiana",13,1,0.8
"148","Indiana",16,1,0.8
"149","Iowa",0,10,8.3
"150","Iowa",1,13,10.8
"151","Iowa",2,12,10
"152","Iowa",3,9,7.5
"153","Iowa",4,14,11.7
"154","Iowa",5,11,9.2
"155","Iowa",6,13,10.8
"156","Iowa",7,7,5.8
"157","Iowa",8,8,6.7
"158","Iowa",9,5,4.2
"159","Iowa",10,6,5
"160","Iowa",11,2,1.7
"161","Iowa",12,4,3.3
"162","Iowa",13,1,0.8
"163","Iowa",14,3,2.5
"164","Iowa",15,1,0.8
"165","Iowa",16,1,0.8
"166","Kansas",0,11,9.2
"167","Kansas",1,19,15.8
"168","Kansas",2,6,5
"169","Kansas",3,13,10.8
"170","Kansas",4,14,11.7
"171","Kansas",5,8,6.7
"172","Kansas",6,11,9.2
"173","Kansas",7,9,7.5
"174","Kansas",8,7,5.8
"175","Kansas",9,9,7.5
"176","Kansas",10,4,3.3
"177","Kansas",11,2,1.7
"178","Kansas",12,2,1.7
"179","Kansas",13,2,1.7
"180","Kansas",14,2,1.7
"181","Kansas",15,1,0.8
"182","Kentucky",0,18,15
"183","Kentucky",1,14,11.7
"184","Kentucky",2,15,12.5
"185","Kentucky",3,9,7.5
"186","Kentucky",4,9,7.5
"187","Kentucky",5,5,4.2
"188","Kentucky",6,9,7.5
"189","Kentucky",7,7,5.8
