"","full_name","variable.rounded","freq","percentage"
"1","Alabama",3,5,1.1
"2","Alabama",4,9,2
"3","Alabama",5,5,1.1
"4","Alabama",6,14,3.2
"5","Alabama",7,19,4.3
"6","Alabama",8,16,3.6
"7","Alabama",9,20,4.5
"8","Alabama",10,28,6.3
"9","Alabama",11,20,4.5
"10","Alabama",12,12,2.7
"11","Alabama",13,14,3.2
"12","Alabama",14,18,4.1
"13","Alabama",15,11,2.5
"14","Alabama",16,20,4.5
"15","Alabama",17,25,5.6
"16","Alabama",18,12,2.7
"17","Alabama",19,9,2
"18","Alabama",20,11,2.5
"19","Alabama",21,14,3.2
"20","Alabama",22,22,5
"21","Alabama",23,22,5
"22","Alabama",24,13,2.9
"23","Alabama",25,41,9.2
"24","Alabama",26,32,7.2
"25","Alabama",27,23,5.2
"26","Alabama",28,8,1.8
"27","Alabama",29,1,0.2
"28","Alaska",-22,1,0.2
"29","Alaska",-21,1,0.2
"30","Alaska",-20,3,0.7
"31","Alaska",-19,1,0.2
"32","Alaska",-18,6,1.4
"33","Alaska",-17,5,1.1
"34","Alaska",-16,6,1.4
"35","Alaska",-15,18,4.1
"36","Alaska",-14,13,2.9
"37","Alaska",-13,9,2
"38","Alaska",-12,14,3.2
"39","Alaska",-11,22,5
"40","Alaska",-10,16,3.6
"41","Alaska",-9,18,4.1
"42","Alaska",-8,16,3.6
"43","Alaska",-7,19,4.3
"44","Alaska",-6,10,2.3
"45","Alaska",-5,9,2
"46","Alaska",-4,8,1.8
"47","Alaska",-3,9,2
"48","Alaska",-2,13,2.9
"49","Alaska",-1,15,3.4
"50","Alaska",0,17,3.8
"51","Alaska",1,10,2.3
"52","Alaska",2,2,0.5
"53","Alaska",3,5,1.1
"54","Alaska",4,13,2.9
"55","Alaska",5,25,5.6
"56","Alaska",6,20,4.5
"57","Alaska",7,8,1.8
"58","Alaska",8,10,2.3
"59","Alaska",9,32,7.2
"60","Alaska",10,30,6.8
"61","Alaska",11,25,5.6
"62","Alaska",12,9,2
"63","Alaska",13,6,1.4
"64","Arizona",6,1,0.2
"65","Arizona",7,13,2.9
"66","Arizona",8,19,4.3
"67","Arizona",9,29,6.5
"68","Arizona",10,23,5.2
"69","Arizona",11,18,4.1
"70","Arizona",12,23,5.2
"71","Arizona",13,17,3.8
"72","Arizona",14,20,4.5
"73","Arizona",15,13,2.9
"74","Arizona",16,9,2
"75","Arizona",17,11,2.5
"76","Arizona",18,13,2.9
"77","Arizona",19,18,4.1
"78","Arizona",20,15,3.4
"79","Arizona",21,20,4.5
"80","Arizona",22,12,2.7
"81","Arizona",23,8,1.8
"82","Arizona",24,10,2.3
"83","Arizona",25,5,1.1
"84","Arizona",26,20,4.5
"85","Arizona",27,23,5.2
"86","Arizona",28,27,6.1
"87","Arizona",29,30,6.8
"88","Arizona",30,32,7.2
"89","Arizona",31,12,2.7
"90","Arizona",32,3,0.7
"91","Arkansas",-2,1,0.2
"92","Arkansas",-1,3,0.7
"93","Arkansas",0,1,0.2
"94","Arkansas",1,5,1.1
"95","Arkansas",2,8,1.8
"96","Arkansas",3,12,2.7
"97","Arkansas",4,14,3.2
"98","Arkansas",5,18,4.1
"99","Arkansas",6,20,4.5
"100","Arkansas",7,14,3.2
"101","Arkansas",8,20,4.5
"102","Arkansas",9,16,3.6
"103","Arkansas",10,14,3.2
"104","Arkansas",11,15,3.4
"105","Arkansas",12,18,4.1
"106","Arkansas",13,6,1.4
"107","Arkansas",14,6,1.4
"108","Arkansas",15,17,3.8
"109","Arkansas",16,19,4.3
"110","Arkansas",17,21,4.7
"111","Arkansas",18,8,1.8
"112","Arkansas",19,11,2.5
"113","Arkansas",20,11,2.5
"114","Arkansas",21,19,4.3
"115","Arkansas",22,17,3.8
"116","Arkansas",23,14,3.2
"117","Arkansas",24,16,3.6
"118","Arkansas",25,22,5
"119","Arkansas",26,32,7.2
"120","Arkansas",27,23,5.2
"121","Arkansas",28,12,2.7
"122","Arkansas",29,9,2
"123","Arkansas",30,2,0.5
"124","California",5,1,0.2
"125","California",6,6,1.4
"126","California",7,20,4.5
"127","California",8,27,6.1
"128","California",9,28,6.3
"129","California",10,31,7
"130","California",11,24,5.4
"131","California",12,24,5.4
"132","California",13,21,4.7
"133","California",14,18,4.1
"134","California",15,13,2.9
"135","California",16,20,4.5
"136","California",17,16,3.6
"137","California",18,18,4.1
"138","California",19,18,4.1
"139","California",20,12,2.7
"140","California",21,12,2.7
"141","California",22,25,5.6
"142","California",23,20,4.5
"143","California",24,37,8.3
"144","California",25,24,5.4
"145","California",26,25,5.6
"146","California",27,4,0.9
"147","Colorado",-9,1,0.2
"148","Colorado",-8,1,0.2
"149","Colorado",-6,3,0.7
"150","Colorado",-5,8,1.8
"151","Colorado",-4,15,3.4
"152","Colorado",-3,20,4.5
"153","Colorado",-2,29,6.5
"154","Colorado",-1,20,4.5
"155","Colorado",0,13,2.9
"156","Colorado",1,17,3.8
"157","Colorado",2,20,4.5
"158","Colorado",3,20,4.5
"159","Colorado",4,12,2.7
"160","Colorado",5,9,2
"161","Colorado",6,10,2.3
"162","Colorado",7,12,2.7
"163","Colorado",8,13,2.9
"164","Colorado",9,24,5.4
"165","Colorado",10,10,2.3
"166","Colorado",11,11,2.5
"167","Colorado",12,9,2
"168","Colorado",13,15,3.4
"169","Colorado",14,8,1.8
"170","Colorado",15,13,2.9
"171","Colorado",16,14,3.2
"172","Colorado",17,16,3.6
"173","Colorado",18,11,2.5
"174","Colorado",19,16,3.6
"175","Colorado",20,22,5
"176","Colorado",21,25,5.6
"177","Colorado",22,15,3.4
"178","Colorado",23,10,2.3
"179","Colorado",24,2,0.5
"180","Connecticut",-8,1,0.2
"181","Connecticut",-7,6,1.4
"182","Connecticut",-5,4,0.9
"183","Connecticut",-4,12,2.7
"184","Connecticut",-3,6,1.4
"185","Connecticut",-2,16,3.6
"186","Connecticut",-1,22,5
"187","Connecticut",0,15,3.4
"188","Connecticut",1,19,4.3
"189","Connecticut",2,14,3.2
"190","Connecticut",3,17,3.8
"191","Connecticut",4,16,3.6
"192","Connecticut",5,10,2.3
"193","Connecticut",6,11,2.5
"194","Connecticut",7,11,2.5
"195","Connecticut",8,17,3.8
"196","Connecticut",9,13,2.9
"197","Connecticut",10,16,3.6
"198","Connecticut",11,18,4.1
"199","Connecticut",12,10,2.3
"200","Connecticut",13,7,1.6
"201","Connecticut",14,10,2.3
"202","Connecticut",15,13,2.9
"203","Connecticut",16,11,2.5
"204","Connecticut",17,17,3.8
"205","Connecticut",18,14,3.2
"206","Connecticut",19,15,3.4
"207","Connecticut",20,24,5.4
"208","Connecticut",21,26,5.9
"209","Connecticut",22,19,4.3
"210","Connecticut",23,23,5.2
"211","Connecticut",24,8,1.8
"212","Connecticut",25,3,0.7
"213","Delaware",-3,5,1.1
"214","Delaware",-2,3,0.7
"215","Delaware",-1,7,1.6
"216","Delaware",0,9,2
"217","Delaware",1,16,3.6
"218","Delaware",2,15,3.4
"219","Delaware",3,18,4.1
"220","Delaware",4,19,4.3
"221","Delaware",5,22,5
"222","Delaware",6,14,3.2
"223","Delaware",7,22,5
"224","Delaware",8,9,2
"225","Delaware",9,10,2.3
"226","Delaware",10,13,2.9
"227","Delaware",11,19,4.3
"228","Delaware",12,15,3.4
"229","Delaware",13,10,2.3
"230","Delaware",14,17,3.8
"231","Delaware",15,14,3.2
"232","Delaware",16,14,3.2
"233","Delaware",17,13,2.9
"234","Delaware",18,8,1.8
"235","Delaware",19,7,1.6
"236","Delaware",20,15,3.4
"237","Delaware",21,23,5.2
"238","Delaware",22,19,4.3
"239","Delaware",23,26,5.9
"240","Delaware",24,20,4.5
"241","Delaware",25,29,6.5
"242","Delaware",26,10,2.3
"243","Delaware",27,3,0.7
"244","District of Columbia",-4,1,0.2
"245","District of Columbia",-3,3,0.7
"246","District of Columbia",-2,4,0.9
"247","District of Columbia",-1,6,1.4
"248","District of Columbia",0,7,1.6
"249","District of Columbia",1,12,2.7
"250","District of Columbia",2,18,4.1
"251","District of Columbia",3,12,2.7
"252","District of Columbia",4,20,4.5
"253","District of Columbia",5,20,4.5
"254","District of Columbia",6,15,3.4
"255","District of Columbia",7,16,3.6
"256","District of Columbia",8,22,5
"257","District of Columbia",9,10,2.3
"258","District of Columbia",10,10,2.3
"259","District of Columbia",11,9,2
"260","District of Columbia",12,17,3.8
"261","District of Columbia",13,12,2.7
"262","District of Columbia",14,24,5.4
"263","District of Columbia",15,13,2.9
"264","District of Columbia",16,9,2
"265","District of Columbia",17,10,2.3
"266","District of Columbia",18,10,2.3
"267","District of Columbia",19,11,2.5
"268","District of Columbia",20,16,3.6
"269","District of Columbia",21,19,4.3
"270","District of Columbia",22,13,2.9
"271","District of Columbia",23,19,4.3
"272","District of Columbia",24,30,6.8
"273","District of Columbia",25,22,5
"274","District of Columbia",26,24,5.4
"275","District of Columbia",27,7,1.6
"276","District of Columbia",28,3,0.7
"277","Florida",11,1,0.2
"278","Florida",12,1,0.2
"279","Florida",13,2,0.5
"280","Florida",14,5,1.1
"281","Florida",15,11,2.5
"282","Florida",16,22,5
"283","Florida",17,26,5.9
"284","Florida",18,27,6.1
"285","Florida",19,33,7.4
"286","Florida",20,37,8.3
"287","Florida",21,22,5
"288","Florida",22,24,5.4
"289","Florida",23,22,5
"290","Florida",24,37,8.3
"291","Florida",25,23,5.2
"292","Florida",26,46,10.4
"293","Florida",27,79,17.8
"294","Florida",28,25,5.6
"295","Florida",29,1,0.2
"296","Georgia",3,4,0.9
"297","Georgia",4,9,2
"298","Georgia",5,7,1.6
"299","Georgia",6,16,3.6
"300","Georgia",7,16,3.6
"301","Georgia",8,20,4.5
"302","Georgia",9,21,4.7
"303","Georgia",10,29,6.5
"304","Georgia",11,19,4.3
"305","Georgia",12,15,3.4
"306","Georgia",13,12,2.7
"307","Georgia",14,15,3.4
"308","Georgia",15,13,2.9
"309","Georgia",16,24,5.4
"310","Georgia",17,22,5
"311","Georgia",18,9,2
"312","Georgia",19,10,2.3
"313","Georgia",20,10,2.3
"314","Georgia",21,20,4.5
"315","Georgia",22,28,6.3
"316","Georgia",23,12,2.7
"317","Georgia",24,21,4.7
"318","Georgia",25,41,9.2
"319","Georgia",26,30,6.8
"320","Georgia",27,17,3.8
"321","Georgia",28,4,0.9
"322","Hawaii",21,4,0.9
"323","Hawaii",22,81,18.2
"324","Hawaii",23,87,19.6
"325","Hawaii",24,77,17.3
"326","Hawaii",25,89,20
"327","Hawaii",26,99,22.3
"328","Hawaii",27,7,1.6
"329","Idaho",-11,1,0.2
"330","Idaho",-9,1,0.2
"331","Idaho",-8,3,0.7
"332","Idaho",-7,5,1.1
"333","Idaho",-6,8,1.8
"334","Idaho",-5,14,3.2
"335","Idaho",-4,14,3.2
"336","Idaho",-3,25,5.6
"337","Idaho",-2,18,4.1
"338","Idaho",-1,23,5.2
"339","Idaho",0,14,3.2
"340","Idaho",1,19,4.3
"341","Idaho",2,17,3.8
"342","Idaho",3,17,3.8
"343","Idaho",4,6,1.4
"344","Idaho",5,14,3.2
"345","Idaho",6,18,4.1
"346","Idaho",7,18,4.1
"347","Idaho",8,16,3.6
