"","variable.rounded","freq","percentage"
"1",-18,2,0
"2",-17,5,0.1
"3",-16,4,0.1
"4",-15,6,0.1
"5",-14,9,0.1
"6",-13,7,0.1
"7",-12,13,0.2
"8",-11,20,0.3
"9",-10,15,0.2
"10",-9,30,0.5
"11",-8,29,0.5
"12",-7,50,0.8
"13",-6,63,1
"14",-5,72,1.2
"15",-4,85,1.4
"16",-3,104,1.7
"17",-2,94,1.5
"18",-1,157,2.6
"19",0,134,2.2
"20",1,147,2.4
"21",2,170,2.8
"22",3,163,2.7
"23",4,161,2.6
"24",5,172,2.8
"25",6,170,2.8
"26",7,211,3.4
"27",8,193,3.2
"28",9,174,2.8
"29",10,200,3.3
"30",11,200,3.3
"31",12,199,3.3
"32",13,166,2.7
"33",14,205,3.3
"34",15,173,2.8
"35",16,183,3
"36",17,175,2.9
"37",18,201,3.3
"38",19,228,3.7
"39",20,205,3.3
"40",21,256,4.2
"41",22,241,3.9
"42",23,224,3.7
"43",24,215,3.5
"44",25,193,3.2
"45",26,179,2.9
"46",27,98,1.6
"47",28,58,0.9
"48",29,33,0.5
"49",30,20,0.3
"50",31,5,0.1
"51",32,3,0
