"","full_name","variable.rounded","freq","percentage"
"1","Alabama",-5,2,0.5
"2","Alabama",-4,7,1.6
"3","Alabama",-3,13,2.9
"4","Alabama",-2,36,8.1
"5","Alabama",-1,106,23.9
"6","Alabama",0,122,27.5
"7","Alabama",1,82,18.5
"8","Alabama",2,53,11.9
"9","Alabama",3,16,3.6
"10","Alabama",4,4,0.9
"11","Alabama",5,2,0.5
"12","Alabama",6,1,0.2
"13","Alaska",-10,1,0.2
"14","Alaska",-9,1,0.2
"15","Alaska",-8,2,0.5
"16","Alaska",-7,5,1.1
"17","Alaska",-6,4,0.9
"18","Alaska",-5,6,1.4
"19","Alaska",-4,12,2.7
"20","Alaska",-3,23,5.2
"21","Alaska",-2,36,8.1
"22","Alaska",-1,94,21.2
"23","Alaska",0,100,22.5
"24","Alaska",1,71,16
"25","Alaska",2,44,9.9
"26","Alaska",3,25,5.6
"27","Alaska",4,11,2.5
"28","Alaska",5,3,0.7
"29","Alaska",6,2,0.5
"30","Alaska",7,2,0.5
"31","Alaska",8,1,0.2
"32","Alaska",9,1,0.2
"33","Arizona",-4,3,0.7
"34","Arizona",-3,12,2.7
"35","Arizona",-2,49,11
"36","Arizona",-1,102,23
"37","Arizona",0,118,26.6
"38","Arizona",1,102,23
"39","Arizona",2,44,9.9
"40","Arizona",3,12,2.7
"41","Arizona",4,2,0.5
"42","Arkansas",-6,3,0.7
"43","Arkansas",-5,5,1.1
"44","Arkansas",-4,5,1.1
"45","Arkansas",-3,16,3.6
"46","Arkansas",-2,47,10.6
"47","Arkansas",-1,104,23.4
"48","Arkansas",0,93,20.9
"49","Arkansas",1,92,20.7
"50","Arkansas",2,54,12.2
"51","Arkansas",3,20,4.5
"52","Arkansas",5,4,0.9
"53","Arkansas",6,1,0.2
"54","California",-5,1,0.2
"55","California",-4,1,0.2
"56","California",-3,12,2.7
"57","California",-2,40,9
"58","California",-1,107,24.1
"59","California",0,114,25.7
"60","California",1,110,24.8
"61","California",2,45,10.1
"62","California",3,10,2.3
"63","California",4,4,0.9
"64","Colorado",-6,1,0.2
"65","Colorado",-5,1,0.2
"66","Colorado",-4,8,1.8
"67","Colorado",-3,18,4.1
"68","Colorado",-2,42,9.5
"69","Colorado",-1,90,20.3
"70","Colorado",0,116,26.1
"71","Colorado",1,88,19.8
"72","Colorado",2,55,12.4
"73","Colorado",3,22,5
"74","Colorado",4,2,0.5
"75","Colorado",5,1,0.2
"76","Connecticut",-8,1,0.2
"77","Connecticut",-7,1,0.2
"78","Connecticut",-6,1,0.2
"79","Connecticut",-5,2,0.5
"80","Connecticut",-4,4,0.9
"81","Connecticut",-3,11,2.5
"82","Connecticut",-2,39,8.8
"83","Connecticut",-1,93,20.9
"84","Connecticut",0,128,28.8
"85","Connecticut",1,95,21.4
"86","Connecticut",2,41,9.2
"87","Connecticut",3,20,4.5
"88","Connecticut",4,6,1.4
"89","Connecticut",5,1,0.2
"90","Connecticut",6,1,0.2
"91","Delaware",-7,1,0.2
"92","Delaware",-6,1,0.2
"93","Delaware",-5,1,0.2
"94","Delaware",-4,4,0.9
"95","Delaware",-3,15,3.4
"96","Delaware",-2,38,8.6
"97","Delaware",-1,85,19.1
"98","Delaware",0,134,30.2
"99","Delaware",1,100,22.5
"100","Delaware",2,40,9
"101","Delaware",3,22,5
"102","Delaware",4,2,0.5
"103","Delaware",6,1,0.2
"104","District of Columbia",-7,1,0.2
"105","District of Columbia",-6,2,0.5
