"","full_name","variable.rounded","freq","percentage"
"1","Alabama",-3,4,3.3
"2","Alabama",-2,10,8.3
"3","Alabama",-1,28,23.3
"4","Alabama",0,36,30
"5","Alabama",1,22,18.3
"6","Alabama",2,17,14.2
"7","Alabama",3,2,1.7
"8","Alabama",4,1,0.8
"9","Alaska",-8,1,0.8
"10","Alaska",-6,3,2.5
"11","Alaska",-5,2,1.7
"12","Alaska",-4,2,1.7
"13","Alaska",-3,3,2.5
"14","Alaska",-2,13,10.8
"15","Alaska",-1,26,21.7
"16","Alaska",0,30,25
"17","Alaska",1,22,18.3
"18","Alaska",2,12,10
"19","Alaska",3,5,4.2
"20","Alaska",5,1,0.8
"21","Arizona",-4,1,0.8
"22","Arizona",-3,3,2.5
"23","Arizona",-2,17,14.2
"24","Arizona",-1,24,20
"25","Arizona",0,34,28.3
"26","Arizona",1,28,23.3
"27","Arizona",2,10,8.3
"28","Arizona",3,3,2.5
"29","Arkansas",-3,4,3.3
"30","Arkansas",-2,12,10
"31","Arkansas",-1,28,23.3
"32","Arkansas",0,28,23.3
"33","Arkansas",1,25,20.8
"34","Arkansas",2,17,14.2
"35","Arkansas",3,5,4.2
"36","Arkansas",4,1,0.8
"37","California",-5,1,0.8
"38","California",-3,4,3.3
"39","California",-2,11,9.2
"40","California",-1,27,22.5
"41","California",0,29,24.2
"42","California",1,33,27.5
"43","California",2,12,10
"44","California",3,2,1.7
"45","California",4,1,0.8
"46","Colorado",-4,2,1.7
"47","Colorado",-3,5,4.2
"48","Colorado",-2,17,14.2
"49","Colorado",-1,26,21.7
"50","Colorado",0,30,25
"51","Colorado",1,21,17.5
"52","Colorado",2,14,11.7
"53","Colorado",3,5,4.2
"54","Connecticut",-4,1,0.8
"55","Connecticut",-3,3,2.5
"56","Connecticut",-2,8,6.7
"57","Connecticut",-1,24,20
"58","Connecticut",0,36,30
"59","Connecticut",1,22,18.3
"60","Connecticut",2,16,13.3
"61","Connecticut",3,7,5.8
"62","Connecticut",4,3,2.5
"63","Delaware",-3,3,2.5
"64","Delaware",-2,12,10
"65","Delaware",-1,20,16.7
"66","Delaware",0,41,34.2
"67","Delaware",1,24,20
"68","Delaware",2,14,11.7
"69","Delaware",3,4,3.3
"70","Delaware",4,2,1.7
"71","District of Columbia",-3,2,1.7
"72","District of Columbia",-2,13,10.8
"73","District of Columbia",-1,20,16.7
"74","District of Columbia",0,38,31.7
"75","District of Columbia",1,21,17.5
"76","District of Columbia",2,20,16.7
"77","District of Columbia",3,3,2.5
"78","District of Columbia",4,3,2.5
"79","Florida",-2,4,3.3
"80","Florida",-1,27,22.5
"81","Florida",0,54,45
"82","Florida",1,22,18.3
"83","Florida",2,9,7.5
"84","Florida",3,4,3.3
"85","Georgia",-3,3,2.5
"86","Georgia",-2,13,10.8
"87","Georgia",-1,25,20.8
"88","Georgia",0,30,25
"89","Georgia",1,28,23.3
"90","Georgia",2,17,14.2
"91","Georgia",3,3,2.5
"92","Georgia",4,1,0.8
"93","Hawaii",-2,3,2.5
"94","Hawaii",-1,30,25
"95","Hawaii",0,78,65
"96","Hawaii",1,9,7.5
"97","Idaho",-5,2,1.7
"98","Idaho",-3,5,4.2
"99","Idaho",-2,12,10
"100","Idaho",-1,28,23.3
"101","Idaho",0,23,19.2
"102","Idaho",1,29,24.2
"103","Idaho",2,11,9.2
"104","Idaho",3,9,7.5
"105","Idaho",4,1,0.8
"106","Illinois",-4,3,2.5
"107","Illinois",-3,5,4.2
"108","Illinois",-2,13,10.8
"109","Illinois",-1,29,24.2
"110","Illinois",0,26,21.7
"111","Illinois",1,21,17.5
"112","Illinois",2,12,10
"113","Illinois",3,9,7.5
"114","Illinois",5,2,1.7
"115","Indiana",-4,2,1.7
"116","Indiana",-3,4,3.3
"117","Indiana",-2,14,11.7
"118","Indiana",-1,25,20.8
"119","Indiana",0,26,21.7
"120","Indiana",1,27,22.5
"121","Indiana",2,11,9.2
"122","Indiana",3,7,5.8
"123","Indiana",4,3,2.5
"124","Indiana",5,1,0.8
"125","Iowa",-5,1,0.8
"126","Iowa",-4,3,2.5
"127","Iowa",-3,11,9.2
"128","Iowa",-2,18,15
"129","Iowa",-1,15,12.5
"130","Iowa",0,29,24.2
"131","Iowa",1,17,14.2
"132","Iowa",2,17,14.2
"133","Iowa",3,3,2.5
"134","Iowa",4,4,3.3
