"","full_name","variable.rounded","freq","percentage"
"1","Alabama",0,24,20
"2","Alabama",1,21,17.5
"3","Alabama",2,17,14.2
"4","Alabama",3,13,10.8
"5","Alabama",4,11,9.2
"6","Alabama",5,8,6.7
"7","Alabama",6,6,5
"8","Alabama",7,7,5.8
"9","Alabama",8,6,5
"10","Alabama",9,3,2.5
"11","Alabama",10,2,1.7
"12","Alabama",12,1,0.8
"13","Alabama",18,1,0.8
"14","Alaska",0,25,20.8
"15","Alaska",1,25,20.8
"16","Alaska",2,20,16.7
"17","Alaska",3,20,16.7
"18","Alaska",4,10,8.3
"19","Alaska",5,7,5.8
"20","Alaska",6,5,4.2
"21","Alaska",7,3,2.5
"22","Alaska",8,3,2.5
"23","Alaska",9,2,1.7
"24","Arizona",0,40,33.3
"25","Arizona",1,17,14.2
"26","Arizona",2,14,11.7
"27","Arizona",3,11,9.2
"28","Arizona",4,12,10
"29","Arizona",5,4,3.3
"30","Arizona",6,6,5
"31","Arizona",7,4,3.3
"32","Arizona",8,2,1.7
"33","Arizona",9,4,3.3
"34","Arizona",10,2,1.7
"35","Arizona",11,1,0.8
"36","Arizona",13,1,0.8
"37","Arizona",14,2,1.7
"38","Arkansas",0,23,19.2
"39","Arkansas",1,17,14.2
"40","Arkansas",2,18,15
"41","Arkansas",3,13,10.8
"42","Arkansas",4,15,12.5
"43","Arkansas",5,13,10.8
"44","Arkansas",6,8,6.7
"45","Arkansas",7,6,5
"46","Arkansas",8,1,0.8
"47","Arkansas",9,3,2.5
"48","Arkansas",10,1,0.8
"49","Arkansas",11,1,0.8
"50","Arkansas",19,1,0.8
"51","California",0,22,18.3
"52","California",1,21,17.5
"53","California",2,17,14.2
"54","California",3,16,13.3
"55","California",4,12,10
"56","California",5,6,5
"57","California",6,11,9.2
"58","California",7,5,4.2
"59","California",8,3,2.5
"60","California",9,2,1.7
"61","California",10,2,1.7
"62","California",11,1,0.8
"63","California",12,1,0.8
"64","California",15,1,0.8
"65","Colorado",0,28,23.3
"66","Colorado",1,24,20
"67","Colorado",2,16,13.3
"68","Colorado",3,15,12.5
"69","Colorado",4,12,10
"70","Colorado",5,10,8.3
"71","Colorado",6,7,5.8
"72","Colorado",7,1,0.8
"73","Colorado",8,3,2.5
"74","Colorado",9,1,0.8
"75","Colorado",10,3,2.5
"76","Connecticut",0,21,17.5
"77","Connecticut",1,15,12.5
"78","Connecticut",2,19,15.8
"79","Connecticut",3,19,15.8
"80","Connecticut",4,12,10
"81","Connecticut",5,8,6.7
"82","Connecticut",6,11,9.2
"83","Connecticut",7,8,6.7
"84","Connecticut",8,4,3.3
"85","Connecticut",9,1,0.8
"86","Connecticut",10,1,0.8
"87","Connecticut",12,1,0.8
"88","Delaware",0,21,17.5
"89","Delaware",1,14,11.7
"90","Delaware",2,24,20
"91","Delaware",3,15,12.5
"92","Delaware",4,13,10.8
"93","Delaware",5,9,7.5
"94","Delaware",6,9,7.5
"95","Delaware",7,9,7.5
"96","Delaware",8,3,2.5
"97","Delaware",10,1,0.8
"98","Delaware",11,1,0.8
"99","Delaware",12,1,0.8
"100","District of Columbia",0,18,15
"101","District of Columbia",1,19,15.8
"102","District of Columbia",2,26,21.7
"103","District of Columbia",3,12,10
"104","District of Columbia",4,13,10.8
"105","District of Columbia",5,10,8.3
"106","District of Columbia",6,6,5
"107","District of Columbia",7,6,5
"108","District of Columbia",8,3,2.5
"109","District of Columbia",9,4,3.3
"110","District of Columbia",10,2,1.7
"111","District of Columbia",11,1,0.8
"112","Florida",0,23,19.2
"113","Florida",1,24,20
"114","Florida",2,18,15
"115","Florida",3,13,10.8
"116","Florida",4,11,9.2
"117","Florida",5,7,5.8
"118","Florida",6,8,6.7
"119","Florida",7,7,5.8
"120","Florida",8,3,2.5
"121","Florida",9,2,1.7
"122","Florida",10,1,0.8
"123","Florida",11,1,0.8
"124","Florida",13,1,0.8
"125","Florida",22,1,0.8
