"","full_name","variable.rounded","freq","percentage"
"1","Alabama",0,83,18.7
"2","Alabama",1,77,17.3
"3","Alabama",2,63,14.2
"4","Alabama",3,49,11
"5","Alabama",4,34,7.7
"6","Alabama",5,30,6.8
"7","Alabama",6,27,6.1
"8","Alabama",7,22,5
"9","Alabama",8,20,4.5
"10","Alabama",9,11,2.5
"11","Alabama",10,7,1.6
"12","Alabama",11,5,1.1
"13","Alabama",12,4,0.9
"14","Alabama",13,3,0.7
"15","Alabama",14,4,0.9
"16","Alabama",15,1,0.2
"17","Alabama",18,3,0.7
"18","Alabama",22,1,0.2
"19","Alaska",0,80,18
"20","Alaska",1,94,21.2
"21","Alaska",2,75,16.9
"22","Alaska",3,54,12.2
"23","Alaska",4,35,7.9
"24","Alaska",5,28,6.3
"25","Alaska",6,20,4.5
"26","Alaska",7,18,4.1
"27","Alaska",8,14,3.2
"28","Alaska",9,9,2
"29","Alaska",10,3,0.7
"30","Alaska",11,5,1.1
"31","Alaska",12,2,0.5
"32","Alaska",13,3,0.7
"33","Alaska",14,1,0.2
"34","Alaska",16,2,0.5
"35","Alaska",18,1,0.2
"36","Arizona",0,128,28.8
"37","Arizona",1,54,12.2
"38","Arizona",2,54,12.2
"39","Arizona",3,44,9.9
"40","Arizona",4,38,8.6
"41","Arizona",5,27,6.1
"42","Arizona",6,22,5
"43","Arizona",7,25,5.6
"44","Arizona",8,14,3.2
"45","Arizona",9,13,2.9
"46","Arizona",10,5,1.1
"47","Arizona",11,4,0.9
"48","Arizona",12,7,1.6
"49","Arizona",13,4,0.9
"50","Arizona",14,3,0.7
"51","Arizona",15,1,0.2
"52","Arizona",16,1,0.2
"53","Arkansas",0,80,18
"54","Arkansas",1,66,14.9
"55","Arkansas",2,70,15.8
"56","Arkansas",3,52,11.7
"57","Arkansas",4,44,9.9
"58","Arkansas",5,37,8.3
"59","Arkansas",6,24,5.4
"60","Arkansas",7,21,4.7
"61","Arkansas",8,16,3.6
"62","Arkansas",9,10,2.3
"63","Arkansas",10,5,1.1
"64","Arkansas",11,3,0.7
"65","Arkansas",12,2,0.5
"66","Arkansas",13,3,0.7
"67","Arkansas",14,2,0.5
"68","Arkansas",15,3,0.7
"69","Arkansas",16,1,0.2
"70","Arkansas",18,3,0.7
"71","Arkansas",19,1,0.2
"72","Arkansas",21,1,0.2
"73","California",0,86,19.4
"74","California",1,71,16
"75","California",2,67,15.1
"76","California",3,51,11.5
"77","California",4,45,10.1
"78","California",5,36,8.1
"79","California",6,32,7.2
"80","California",7,13,2.9
"81","California",8,16,3.6
"82","California",9,12,2.7
"83","California",10,3,0.7
"84","California",11,3,0.7
"85","California",12,2,0.5
"86","California",13,2,0.5
"87","California",14,1,0.2
"88","California",15,2,0.5
"89","California",16,2,0.5
"90","Colorado",0,78,17.6
"91","Colorado",1,69,15.5
"92","Colorado",2,61,13.7
"93","Colorado",3,56,12.6
"94","Colorado",4,45,10.1
"95","Colorado",5,37,8.3
"96","Colorado",6,25,5.6
"97","Colorado",7,15,3.4
