"","full_name","variable.rounded","freq","percentage"
"1","Alabama",0,85,70.8
"2","Alabama",1,29,24.2
"3","Alabama",2,6,5
"4","Alaska",0,92,76.7
"5","Alaska",1,25,20.8
"6","Alaska",2,2,1.7
"7","Alaska",3,1,0.8
"8","Arizona",0,92,76.7
"9","Arizona",1,25,20.8
"10","Arizona",2,2,1.7
"11","Arizona",3,1,0.8
"12","Arkansas",0,88,73.3
"13","Arkansas",1,26,21.7
"14","Arkansas",2,6,5
"15","California",0,73,60.8
"16","California",1,44,36.7
"17","California",2,3,2.5
"18","Colorado",0,92,76.7
"19","Colorado",1,21,17.5
"20","Colorado",2,7,5.8
"21","Connecticut",0,88,73.3
"22","Connecticut",1,27,22.5
"23","Connecticut",2,5,4.2
"24","Delaware",0,95,79.2
"25","Delaware",1,23,19.2
"26","Delaware",2,2,1.7
"27","District of Columbia",0,90,75
"28","District of Columbia",1,25,20.8
"29","District of Columbia",2,5,4.2
"30","Florida",0,97,80.8
"31","Florida",1,21,17.5
"32","Florida",2,2,1.7
"33","Georgia",0,82,68.3
"34","Georgia",1,31,25.8
"35","Georgia",2,7,5.8
"36","Hawaii",0,84,70
"37","Hawaii",1,30,25
"38","Hawaii",2,5,4.2
"39","Hawaii",3,1,0.8
"40","Idaho",0,85,70.8
"41","Idaho",1,31,25.8
"42","Idaho",2,4,3.3
"43","Illinois",0,90,75
"44","Illinois",1,25,20.8
"45","Illinois",2,5,4.2
"46","Indiana",0,80,66.7
"47","Indiana",1,34,28.3
"48","Indiana",2,6,5
"49","Iowa",0,80,66.7
"50","Iowa",1,36,30
"51","Iowa",2,4,3.3
"52","Kansas",0,85,70.8
"53","Kansas",1,27,22.5
"54","Kansas",2,7,5.8
"55","Kansas",3,1,0.8
"56","Kentucky",0,84,70
"57","Kentucky",1,27,22.5
"58","Kentucky",2,9,7.5
"59","Louisiana",0,91,75.8
"60","Louisiana",1,25,20.8
"61","Louisiana",2,4,3.3
"62","Maine",0,84,70
"63","Maine",1,31,25.8
"64","Maine",2,5,4.2
"65","Maryland",0,93,77.5
"66","Maryland",1,24,20
"67","Maryland",2,3,2.5
"68","Massachusetts",0,88,73.3
"69","Massachusetts",1,29,24.2
"70","Massachusetts",2,3,2.5
"71","Michigan",0,92,76.7
"72","Michigan",1,23,19.2
"73","Michigan",2,5,4.2
"74","Minnesota",0,89,74.2
"75","Minnesota",1,25,20.8
"76","Minnesota",2,6,5
"77","Mississippi",0,89,74.2
"78","Mississippi",1,25,20.8
"79","Mississippi",2,6,5
"80","Missouri",0,78,65
"81","Missouri",1,33,27.5
"82","Missouri",2,9,7.5
"83","Montana",0,78,65
"84","Montana",1,37,30.8
"85","Montana",2,5,4.2
"86","Nebraska",0,83,69.2
"87","Nebraska",1,33,27.5
"88","Nebraska",2,4,3.3
"89","Nevada",0,84,70
"90","Nevada",1,30,25
"91","Nevada",2,6,5
"92","New Hampshire",0,88,73.3
"93","New Hampshire",1,26,21.7
"94","New Hampshire",2,6,5
"95","New Jersey",0,86,71.7
"96","New Jersey",1,31,25.8
"97","New Jersey",2,3,2.5
"98","New Mexico",0,94,78.3
"99","New Mexico",1,19,15.8
"100","New Mexico",2,7,5.8
"101","New York",0,84,70
"102","New York",1,33,27.5
"103","New York",2,3,2.5
"104","North Carolina",0,90,75
"105","North Carolina",1,23,19.2
"106","North Carolina",2,7,5.8
"107","North Dakota",0,78,65
"108","North Dakota",1,33,27.5
"109","North Dakota",2,9,7.5
"110","Ohio",0,85,70.8
"111","Ohio",1,31,25.8
"112","Ohio",2,4,3.3
"113","Oklahoma",0,83,69.2
"114","Oklahoma",1,33,27.5
"115","Oklahoma",2,3,2.5
"116","Oklahoma",3,1,0.8
"117","Oregon",0,84,70
"118","Oregon",1,33,27.5
"119","Oregon",2,3,2.5
"120","Pennsylvania",0,88,73.3
"121","Pennsylvania",1,29,24.2
"122","Pennsylvania",2,3,2.5
"123","Rhode Island",0,91,75.8
"124","Rhode Island",1,24,20
"125","Rhode Island",2,5,4.2
"126","South Carolina",0,83,69.2
"127","South Carolina",1,29,24.2
"128","South Carolina",2,6,5
"129","South Carolina",3,2,1.7
"130","South Dakota",0,85,70.8
"131","South Dakota",1,27,22.5
"132","South Dakota",2,8,6.7
"133","Tennessee",0,86,71.7
"134","Tennessee",1,29,24.2
"135","Tennessee",2,5,4.2
"136","Texas",0,93,77.5
"137","Texas",1,23,19.2
"138","Texas",2,4,3.3
"139","Utah",0,95,79.2
"140","Utah",1,21,17.5
"141","Utah",2,4,3.3
"142","Vermont",0,86,71.7
"143","Vermont",1,32,26.7
"144","Vermont",2,1,0.8
"145","Vermont",3,1,0.8
"146","Virginia",0,84,70
"147","Virginia",1,32,26.7
"148","Virginia",2,4,3.3
"149","Washington",0,89,74.2
"150","Washington",1,28,23.3
"151","Washington",2,3,2.5
"152","West Virginia",0,81,67.5
"153","West Virginia",1,32,26.7
"154","West Virginia",2,7,5.8
"155","Wisconsin",0,93,77.5
"156","Wisconsin",1,21,17.5
"157","Wisconsin",2,6,5
"158","Wyoming",0,93,77.5
"159","Wyoming",1,23,19.2
"160","Wyoming",2,4,3.3
