"","full_name","variable.rounded","freq","percentage"
"1","Alabama",0,301,67.8
"2","Alabama",1,122,27.5
"3","Alabama",2,21,4.7
"4","Alaska",0,292,65.8
"5","Alaska",1,131,29.5
"6","Alaska",2,21,4.7
"7","Arizona",0,273,61.5
"8","Arizona",1,144,32.4
"9","Arizona",2,23,5.2
"10","Arizona",3,4,0.9
"11","Arkansas",0,307,69.1
"12","Arkansas",1,112,25.2
"13","Arkansas",2,23,5.2
"14","Arkansas",3,2,0.5
"15","California",0,265,59.7
"16","California",1,154,34.7
"17","California",2,25,5.6
"18","Colorado",0,295,66.4
"19","Colorado",1,126,28.4
"20","Colorado",2,23,5.2
"21","Connecticut",0,294,66.2
"22","Connecticut",1,132,29.7
"23","Connecticut",2,18,4.1
"24","Delaware",0,293,66
"25","Delaware",1,136,30.6
"26","Delaware",2,14,3.2
"27","Delaware",3,1,0.2
"28","District of Columbia",0,299,67.3
"29","District of Columbia",1,124,27.9
"30","District of Columbia",2,19,4.3
"31","District of Columbia",3,2,0.5
"32","Florida",0,307,69.1
"33","Florida",1,113,25.5
"34","Florida",2,22,5
"35","Florida",3,2,0.5
"36","Georgia",0,297,66.9
"37","Georgia",1,120,27
"38","Georgia",2,27,6.1
"39","Hawaii",0,329,74.1
"40","Hawaii",1,86,19.4
"41","Hawaii",2,21,4.7
"42","Hawaii",3,8,1.8
"43","Idaho",0,292,65.8
"44","Idaho",1,140,31.5
"45","Idaho",2,12,2.7
"46","Illinois",0,298,67.1
"47","Illinois",1,132,29.7
"48","Illinois",2,13,2.9
"49","Illinois",3,1,0.2
"50","Indiana",0,298,67.1
"51","Indiana",1,127,28.6
"52","Indiana",2,19,4.3
"53","Iowa",0,301,67.8
"54","Iowa",1,131,29.5
"55","Iowa",2,9,2
"56","Iowa",3,3,0.7
"57","Kansas",0,310,69.8
"58","Kansas",1,119,26.8
"59","Kansas",2,13,2.9
"60","Kansas",3,2,0.5
"61","Kentucky",0,301,67.8
"62","Kentucky",1,121,27.3
"63","Kentucky",2,22,5
"64","Louisiana",0,296,66.7
"65","Louisiana",1,122,27.5
"66","Louisiana",2,24,5.4
"67","Louisiana",3,2,0.5
"68","Maine",0,305,68.7
"69","Maine",1,123,27.7
"70","Maine",2,15,3.4
"71","Maine",3,1,0.2
"72","Maryland",0,295,66.4
"73","Maryland",1,128,28.8
"74","Maryland",2,21,4.7
"75","Massachusetts",0,298,67.1
"76","Massachusetts",1,127,28.6
"77","Massachusetts",2,18,4.1
"78","Massachusetts",3,1,0.2
