"","full_name","variable.rounded","freq","percentage"
"1","Alabama",0,89,74.2
"2","Alabama",1,29,24.2
"3","Alabama",2,2,1.7
"4","Alaska",0,86,71.7
"5","Alaska",1,29,24.2
"6","Alaska",2,5,4.2
"7","Arizona",0,83,69.2
"8","Arizona",1,34,28.3
"9","Arizona",2,3,2.5
"10","Arkansas",0,85,70.8
"11","Arkansas",1,32,26.7
"12","Arkansas",2,2,1.7
"13","Arkansas",3,1,0.8
"14","California",0,80,66.7
"15","California",1,37,30.8
"16","California",2,3,2.5
"17","Colorado",0,85,70.8
"18","Colorado",1,32,26.7
"19","Colorado",2,3,2.5
"20","Connecticut",0,85,70.8
"21","Connecticut",1,32,26.7
"22","Connecticut",2,2,1.7
"23","Connecticut",3,1,0.8
"24","Delaware",0,85,70.8
"25","Delaware",1,34,28.3
"26","Delaware",2,1,0.8
"27","District of Columbia",0,88,73.3
"28","District of Columbia",1,30,25
"29","District of Columbia",2,2,1.7
"30","Florida",0,85,70.8
"31","Florida",1,33,27.5
"32","Florida",2,2,1.7
"33","Georgia",0,87,72.5
"34","Georgia",1,30,25
"35","Georgia",2,3,2.5
"36","Hawaii",0,105,87.5
"37","Hawaii",1,12,10
"38","Hawaii",2,3,2.5
"39","Idaho",0,81,67.5
"40","Idaho",1,32,26.7
"41","Idaho",2,7,5.8
"42","Illinois",0,79,65.8
"43","Illinois",1,37,30.8
"44","Illinois",2,4,3.3
"45","Indiana",0,83,69.2
"46","Indiana",1,34,28.3
"47","Indiana",2,3,2.5
"48","Iowa",0,82,68.3
"49","Iowa",1,33,27.5
"50","Iowa",2,5,4.2
"51","Kansas",0,88,73.3
"52","Kansas",1,28,23.3
"53","Kansas",2,4,3.3
"54","Kentucky",0,87,72.5
"55","Kentucky",1,28,23.3
"56","Kentucky",2,5,4.2
"57","Louisiana",0,91,75.8
"58","Louisiana",1,29,24.2
"59","Maine",0,90,75
"60","Maine",1,25,20.8
"61","Maine",2,4,3.3
"62","Maine",3,1,0.8
"63","Maryland",0,89,74.2
"64","Maryland",1,30,25
"65","Maryland",2,1,0.8
"66","Massachusetts",0,86,71.7
"67","Massachusetts",1,29,24.2
"68","Massachusetts",2,4,3.3
"69","Massachusetts",3,1,0.8
"70","Michigan",0,81,67.5
"71","Michigan",1,36,30
"72","Michigan",2,3,2.5
"73","Minnesota",0,87,72.5
"74","Minnesota",1,28,23.3
"75","Minnesota",2,5,4.2
"76","Mississippi",0,91,75.8
"77","Mississippi",1,27,22.5
"78","Mississippi",2,2,1.7
"79","Missouri",0,90,75
"80","Missouri",1,26,21.7
"81","Missouri",2,4,3.3
"82","Montana",0,84,70
"83","Montana",1,32,26.7
"84","Montana",2,3,2.5
"85","Montana",3,1,0.8
"86","Nebraska",0,86,71.7
"87","Nebraska",1,29,24.2
"88","Nebraska",2,5,4.2
"89","Nevada",0,91,75.8
"90","Nevada",1,26,21.7
"91","Nevada",2,3,2.5
"92","New Hampshire",0,85,70.8
"93","New Hampshire",1,30,25
"94","New Hampshire",2,3,2.5
"95","New Hampshire",3,2,1.7
"96","New Jersey",0,89,74.2
"97","New Jersey",1,30,25
"98","New Jersey",2,1,0.8
"99","New Mexico",0,99,82.5
"100","New Mexico",1,19,15.8
"101","New Mexico",2,2,1.7
"102","New York",0,89,74.2
"103","New York",1,29,24.2
"104","New York",2,2,1.7
"105","North Carolina",0,88,73.3
"106","North Carolina",1,27,22.5
"107","North Carolina",2,5,4.2
"108","North Dakota",0,79,65.8
"109","North Dakota",1,32,26.7
"110","North Dakota",2,9,7.5
"111","Ohio",0,87,72.5
"112","Ohio",1,31,25.8
"113","Ohio",2,2,1.7
"114","Oklahoma",0,88,73.3
"115","Oklahoma",1,29,24.2
"116","Oklahoma",2,3,2.5
"117","Oregon",0,81,67.5
"118","Oregon",1,33,27.5
"119","Oregon",2,4,3.3
"120","Oregon",3,2,1.7
"121","Pennsylvania",0,88,73.3
"122","Pennsylvania",1,31,25.8
"123","Pennsylvania",2,1,0.8
"124","Rhode Island",0,83,69.2
"125","Rhode Island",1,35,29.2
"126","Rhode Island",2,1,0.8
"127","Rhode Island",3,1,0.8
"128","South Carolina",0,83,69.2
"129","South Carolina",1,34,28.3
"130","South Carolina",2,3,2.5
"131","South Dakota",0,84,70
"132","South Dakota",1,31,25.8
"133","South Dakota",2,5,4.2
"134","Tennessee",0,92,76.7
"135","Tennessee",1,23,19.2
"136","Tennessee",2,4,3.3
"137","Tennessee",3,1,0.8
"138","Texas",0,85,70.8
"139","Texas",1,34,28.3
"140","Texas",2,1,0.8
"141","Utah",0,77,64.2
"142","Utah",1,38,31.7
"143","Utah",2,5,4.2
"144","Vermont",0,84,70
"145","Vermont",1,31,25.8
"146","Vermont",2,3,2.5
"147","Vermont",3,2,1.7
"148","Virginia",0,85,70.8
"149","Virginia",1,32,26.7
"150","Virginia",2,3,2.5
"151","Washington",0,91,75.8
"152","Washington",1,26,21.7
"153","Washington",2,3,2.5
"154","West Virginia",0,90,75
"155","West Virginia",1,25,20.8
"156","West Virginia",2,5,4.2
"157","Wisconsin",0,84,70
"158","Wisconsin",1,34,28.3
"159","Wisconsin",2,2,1.7
"160","Wyoming",0,80,66.7
"161","Wyoming",1,35,29.2
"162","Wyoming",2,5,4.2
