"","full_name","variable.rounded","freq","percentage"
"1","Alabama",0,104,86.7
"2","Alabama",1,16,13.3
"3","Alaska",0,100,83.3
"4","Alaska",1,19,15.8
"5","Alaska",2,1,0.8
"6","Arizona",0,108,90
"7","Arizona",1,12,10
"8","Arkansas",0,103,85.8
"9","Arkansas",1,17,14.2
"10","California",0,111,92.5
"11","California",1,9,7.5
"12","Colorado",0,102,85
"13","Colorado",1,18,15
"14","Connecticut",0,106,88.3
"15","Connecticut",1,14,11.7
"16","Delaware",0,108,90
"17","Delaware",1,12,10
"18","District of Columbia",0,108,90
"19","District of Columbia",1,12,10
"20","Florida",0,118,98.3
"21","Florida",1,2,1.7
"22","Georgia",0,112,93.3
"23","Georgia",1,8,6.7
"24","Hawaii",0,120,100
"25","Idaho",0,106,88.3
"26","Idaho",1,14,11.7
"27","Illinois",0,106,88.3
"28","Illinois",1,14,11.7
"29","Indiana",0,103,85.8
"30","Indiana",1,16,13.3
"31","Indiana",2,1,0.8
"32","Iowa",0,103,85.8
"33","Iowa",1,15,12.5
"34","Iowa",2,2,1.7
"35","Kansas",0,99,82.5
"36","Kansas",1,21,17.5
"37","Kentucky",0,103,85.8
"38","Kentucky",1,17,14.2
"39","Louisiana",0,106,88.3
"40","Louisiana",1,14,11.7
"41","Maine",0,106,88.3
"42","Maine",1,13,10.8
"43","Maine",2,1,0.8
"44","Maryland",0,108,90
"45","Maryland",1,11,9.2
"46","Maryland",2,1,0.8
"47","Massachusetts",0,114,95
"48","Massachusetts",1,6,5
"49","Michigan",0,105,87.5
"50","Michigan",1,14,11.7
"51","Michigan",2,1,0.8
"52","Minnesota",0,91,75.8
"53","Minnesota",1,26,21.7
"54","Minnesota",2,3,2.5
"55","Mississippi",0,103,85.8
"56","Mississippi",1,17,14.2
"57","Missouri",0,100,83.3
"58","Missouri",1,20,16.7
"59","Montana",0,100,83.3
"60","Montana",1,20,16.7
"61","Nebraska",0,99,82.5
"62","Nebraska",1,20,16.7
"63","Nebraska",2,1,0.8
"64","Nevada",0,107,89.2
"65","Nevada",1,12,10
"66","Nevada",2,1,0.8
"67","New Hampshire",0,106,88.3
"68","New Hampshire",1,14,11.7
"69","New Jersey",0,105,87.5
"70","New Jersey",1,15,12.5
"71","New Mexico",0,116,96.7
"72","New Mexico",1,4,3.3
"73","New York",0,105,87.5
"74","New York",1,15,12.5
"75","North Carolina",0,105,87.5
"76","North Carolina",1,15,12.5
"77","North Dakota",0,86,71.7
"78","North Dakota",1,30,25
"79","North Dakota",2,4,3.3
"80","Ohio",0,105,87.5
"81","Ohio",1,14,11.7
"82","Ohio",2,1,0.8
"83","Oklahoma",0,102,85
"84","Oklahoma",1,18,15
"85","Oregon",0,114,95
"86","Oregon",1,6,5
"87","Pennsylvania",0,104,86.7
"88","Pennsylvania",1,15,12.5
"89","Pennsylvania",2,1,0.8
"90","Rhode Island",0,109,90.8
"91","Rhode Island",1,11,9.2
"92","South Carolina",0,109,90.8
"93","South Carolina",1,11,9.2
"94","South Dakota",0,89,74.2
"95","South Dakota",1,29,24.2
"96","South Dakota",2,2,1.7
"97","Tennessee",0,98,81.7
"98","Tennessee",1,22,18.3
"99","Texas",0,107,89.2
"100","Texas",1,13,10.8
"101","Utah",0,113,94.2
"102","Utah",1,7,5.8
"103","Vermont",0,101,84.2
"104","Vermont",1,17,14.2
"105","Vermont",2,2,1.7
"106","Virginia",0,106,88.3
"107","Virginia",1,14,11.7
"108","Washington",0,111,92.5
"109","Washington",1,9,7.5
"110","West Virginia",0,102,85
"111","West Virginia",1,16,13.3
"112","West Virginia",2,2,1.7
"113","Wisconsin",0,103,85.8
"114","Wisconsin",1,15,12.5
"115","Wisconsin",2,2,1.7
"116","Wyoming",0,103,85.8
"117","Wyoming",1,17,14.2
