"","full_name","variable.rounded","freq","percentage"
"1","Alabama",0,110,91.7
"2","Alabama",1,10,8.3
"3","Alaska",0,91,75.8
"4","Alaska",1,25,20.8
"5","Alaska",2,4,3.3
"6","Arizona",0,110,91.7
"7","Arizona",1,9,7.5
"8","Arizona",2,1,0.8
"9","Arkansas",0,104,86.7
"10","Arkansas",1,16,13.3
"11","California",0,110,91.7
"12","California",1,10,8.3
"13","Colorado",0,109,90.8
"14","Colorado",1,11,9.2
"15","Connecticut",0,111,92.5
"16","Connecticut",1,9,7.5
"17","Delaware",0,112,93.3
"18","Delaware",1,8,6.7
"19","District of Columbia",0,110,91.7
"20","District of Columbia",1,10,8.3
"21","Florida",0,117,97.5
"22","Florida",1,3,2.5
"23","Georgia",0,109,90.8
"24","Georgia",1,11,9.2
"25","Hawaii",0,120,100
"26","Idaho",0,107,89.2
"27","Idaho",1,12,10
"28","Idaho",3,1,0.8
"29","Illinois",0,104,86.7
"30","Illinois",1,16,13.3
"31","Indiana",0,100,83.3
"32","Indiana",1,19,15.8
"33","Indiana",2,1,0.8
"34","Iowa",0,97,80.8
"35","Iowa",1,20,16.7
"36","Iowa",2,3,2.5
"37","Kansas",0,99,82.5
"38","Kansas",1,20,16.7
"39","Kansas",2,1,0.8
"40","Kentucky",0,104,86.7
"41","Kentucky",1,16,13.3
"42","Louisiana",0,111,92.5
"43","Louisiana",1,9,7.5
"44","Maine",0,110,91.7
"45","Maine",1,10,8.3
"46","Maryland",0,109,90.8
"47","Maryland",1,11,9.2
"48","Massachusetts",0,117,97.5
"49","Massachusetts",1,3,2.5
"50","Michigan",0,98,81.7
"51","Michigan",1,20,16.7
"52","Michigan",2,2,1.7
"53","Minnesota",0,94,78.3
"54","Minnesota",1,26,21.7
"55","Mississippi",0,111,92.5
"56","Mississippi",1,9,7.5
"57","Missouri",0,97,80.8
"58","Missouri",1,22,18.3
"59","Missouri",2,1,0.8
"60","Montana",0,92,76.7
"61","Montana",1,28,23.3
"62","Nebraska",0,97,80.8
"63","Nebraska",1,21,17.5
"64","Nebraska",2,2,1.7
"65","Nevada",0,104,86.7
"66","Nevada",1,13,10.8
"67","Nevada",2,3,2.5
"68","New Hampshire",0,111,92.5
"69","New Hampshire",1,9,7.5
"70","New Jersey",0,110,91.7
"71","New Jersey",1,10,8.3
"72","New Mexico",0,114,95
"73","New Mexico",1,6,5
"74","New York",0,110,91.7
"75","New York",1,10,8.3
"76","North Carolina",0,108,90
"77","North Carolina",1,12,10
"78","North Dakota",0,92,76.7
"79","North Dakota",1,21,17.5
"80","North Dakota",2,7,5.8
"81","Ohio",0,103,85.8
"82","Ohio",1,17,14.2
"83","Oklahoma",0,103,85.8
"84","Oklahoma",1,17,14.2
"85","Oregon",0,115,95.8
"86","Oregon",1,5,4.2
"87","Pennsylvania",0,106,88.3
"88","Pennsylvania",1,14,11.7
"89","Rhode Island",0,114,95
"90","Rhode Island",1,6,5
"91","South Carolina",0,111,92.5
"92","South Carolina",1,9,7.5
"93","South Dakota",0,94,78.3
"94","South Dakota",1,23,19.2
"95","South Dakota",2,3,2.5
"96","Tennessee",0,106,88.3
"97","Tennessee",1,14,11.7
"98","Texas",0,110,91.7
"99","Texas",1,10,8.3
"100","Utah",0,108,90
"101","Utah",1,12,10
"102","Vermont",0,107,89.2
"103","Vermont",1,13,10.8
"104","Virginia",0,106,88.3
"105","Virginia",1,14,11.7
"106","Washington",0,113,94.2
"107","Washington",1,7,5.8
"108","West Virginia",0,107,89.2
"109","West Virginia",1,13,10.8
"110","Wisconsin",0,103,85.8
"111","Wisconsin",1,17,14.2
"112","Wyoming",0,103,85.8
"113","Wyoming",1,17,14.2
