"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,64,"DNK","Denmark",1,"Hovedstaden",1,"Albertslund","Kommune","Municipality",NA,NA
2,64,"DNK","Denmark",1,"Hovedstaden",2,"Allerød","Kommune","Municipality",NA,NA
3,64,"DNK","Denmark",1,"Hovedstaden",3,"Ballerup","Kommune","Municipality",NA,NA
4,64,"DNK","Denmark",1,"Hovedstaden",4,"Bornholm","Kommune","Municipality",NA,NA
5,64,"DNK","Denmark",1,"Hovedstaden",5,"Brøndby","Kommune","Municipality",NA,NA
6,64,"DNK","Denmark",1,"Hovedstaden",6,"Christiansø","Kommune","Municipality",NA,NA
7,64,"DNK","Denmark",1,"Hovedstaden",7,"Dragør","Kommune","Municipality",NA,NA
8,64,"DNK","Denmark",1,"Hovedstaden",8,"Egedal","Kommune","Municipality",NA,NA
9,64,"DNK","Denmark",1,"Hovedstaden",9,"Fredensborg","Kommune","Municipality",NA,NA
10,64,"DNK","Denmark",1,"Hovedstaden",10,"Frederiksberg","Kommune","Municipality",NA,NA
11,64,"DNK","Denmark",1,"Hovedstaden",11,"Frederikssund","Kommune","Municipality",NA,NA
12,64,"DNK","Denmark",1,"Hovedstaden",12,"Furesø","Kommune","Municipality",NA,NA
13,64,"DNK","Denmark",1,"Hovedstaden",13,"Gentofte","Kommune","Municipality",NA,NA
14,64,"DNK","Denmark",1,"Hovedstaden",14,"Gladsaxe","Kommune","Municipality",NA,NA
15,64,"DNK","Denmark",1,"Hovedstaden",15,"Glostrup","Kommune","Municipality",NA,NA
16,64,"DNK","Denmark",1,"Hovedstaden",16,"Gribskov","Kommune","Municipality",NA,NA
17,64,"DNK","Denmark",1,"Hovedstaden",17,"Høje Taastrup","Kommune","Municipality",NA,NA
18,64,"DNK","Denmark",1,"Hovedstaden",18,"Hørsholm","Kommune","Municipality",NA,NA
19,64,"DNK","Denmark",1,"Hovedstaden",19,"Halsnæs","Kommune","Municipality",NA,"Frederiksværk-Hundested"
20,64,"DNK","Denmark",1,"Hovedstaden",20,"Helsingør","Kommune","Municipality",NA,NA
21,64,"DNK","Denmark",1,"Hovedstaden",21,"Herlev","Kommune","Municipality",NA,NA
22,64,"DNK","Denmark",1,"Hovedstaden",22,"Hillerød","Kommune","Municipality",NA,NA
23,64,"DNK","Denmark",1,"Hovedstaden",23,"Hvidovre","Kommune","Municipality",NA,NA
