"","date","ID_3","NAME_3","t2m"
"1","2015-01-01",1,"South Africa_Gauteng",16.2
"2","2015-01-01",2,"South Africa_Western Cape",19.02
"3","2015-01-01",3,"Zambia_Copperbelt",18.29
"4","2015-01-01",4,"Zambia_Lusaka",19.21
"5","2015-01-01",5,"Zimbabwe_Harare",17.32
"6","2015-01-01",6,"Botswana_South-East",20.45
"7","2015-01-01",7,"Uganda_Kampala",20.34
"8","2015-01-01",8,"Ethiopia_Addis Ababa",4.68
"9","2015-01-01",9,"Sierra Leone_Western",26.44
"10","2015-01-01",10,"Liberia_Montserrado",25.98
"11","2015-01-01",11,"Liberia_Montserrado",25.05
"12","2015-01-01",12,"Kenya_Nairobi",14.81
"13","2015-01-01",13,"Kenya_Rift Valley",11.42
"14","2015-01-01",14,"Nigeria_Edo",24.04
"15","2015-01-01",15,"Nigeria_Oyo",21.6
"16","2015-01-01",16,"Malawi_Blantyre",20.99
"17","2015-01-01",17,"Tanzania_Mwanza",22.04
"18","2015-01-01",18,"Cameroon_Centre",21.6
"19","2015-01-01",19,"Rwanda_Umujyi wa Kigali",17.79
"20","2015-01-01",20,"Ghana_Greater Accra",26.21
"21","2015-01-01",21,"Lesotho_Maseru",12.94
"22","2015-01-02",1,"South Africa_Gauteng",16.29
"23","2015-01-02",2,"South Africa_Western Cape",18.62
"24","2015-01-02",3,"Zambia_Copperbelt",20.48
"25","2015-01-02",4,"Zambia_Lusaka",20.3
"26","2015-01-02",5,"Zimbabwe_Harare",16.65
"27","2015-01-02",6,"Botswana_South-East",20.37
"28","2015-01-02",7,"Uganda_Kampala",22.31
"29","2015-01-02",8,"Ethiopia_Addis Ababa",7.36
"30","2015-01-02",9,"Sierra Leone_Western",26.55
"31","2015-01-02",10,"Liberia_Montserrado",26.14
"32","2015-01-02",11,"Liberia_Montserrado",25.32
"33","2015-01-02",12,"Kenya_Nairobi",13.66
"34","2015-01-02",13,"Kenya_Rift Valley",11.16
"35","2015-01-02",14,"Nigeria_Edo",22.78
"36","2015-01-02",15,"Nigeria_Oyo",21.57
"37","2015-01-02",16,"Malawi_Blantyre",20.47
"38","2015-01-02",17,"Tanzania_Mwanza",22.61
"39","2015-01-02",18,"Cameroon_Centre",21.61
"40","2015-01-02",19,"Rwanda_Umujyi wa Kigali",16.91
"41","2015-01-02",20,"Ghana_Greater Accra",26.3
"42","2015-01-02",21,"Lesotho_Maseru",12.33
"43","2015-01-03",1,"South Africa_Gauteng",17.34
"44","2015-01-03",2,"South Africa_Western Cape",18.17
"45","2015-01-03",3,"Zambia_Copperbelt",18.79
"46","2015-01-03",4,"Zambia_Lusaka",19.48
"47","2015-01-03",5,"Zimbabwe_Harare",17.69
"48","2015-01-03",6,"Botswana_South-East",22.4
"49","2015-01-03",7,"Uganda_Kampala",21.43
"50","2015-01-03",8,"Ethiopia_Addis Ababa",4.61
"51","2015-01-03",9,"Sierra Leone_Western",26.64
"52","2015-01-03",10,"Liberia_Montserrado",26.35
"53","2015-01-03",11,"Liberia_Montserrado",25.39
"54","2015-01-03",12,"Kenya_Nairobi",14.11
"55","2015-01-03",13,"Kenya_Rift Valley",11.62
"56","2015-01-03",14,"Nigeria_Edo",23.02
"57","2015-01-03",15,"Nigeria_Oyo",23.61
"58","2015-01-03",16,"Malawi_Blantyre",21.04
"59","2015-01-03",17,"Tanzania_Mwanza",23.32
"60","2015-01-03",18,"Cameroon_Centre",21.75
"61","2015-01-03",19,"Rwanda_Umujyi wa Kigali",15.76
"62","2015-01-03",20,"Ghana_Greater Accra",25.89
"63","2015-01-03",21,"Lesotho_Maseru",13.62
"64","2015-01-04",1,"South Africa_Gauteng",13.63
"65","2015-01-04",2,"South Africa_Western Cape",18.44
"66","2015-01-04",3,"Zambia_Copperbelt",19.01
"67","2015-01-04",4,"Zambia_Lusaka",19.53
"68","2015-01-04",5,"Zimbabwe_Harare",17.49
"69","2015-01-04",6,"Botswana_South-East",20.1
"70","2015-01-04",7,"Uganda_Kampala",20.46
"71","2015-01-04",8,"Ethiopia_Addis Ababa",7.5
"72","2015-01-04",9,"Sierra Leone_Western",26.62
"73","2015-01-04",10,"Liberia_Montserrado",25.97
"74","2015-01-04",11,"Liberia_Montserrado",24.91
"75","2015-01-04",12,"Kenya_Nairobi",15.11
"76","2015-01-04",13,"Kenya_Rift Valley",10.94
"77","2015-01-04",14,"Nigeria_Edo",23.45
"78","2015-01-04",15,"Nigeria_Oyo",22.56
"79","2015-01-04",16,"Malawi_Blantyre",20.85
"80","2015-01-04",17,"Tanzania_Mwanza",22.67
"81","2015-01-04",18,"Cameroon_Centre",21.52
"82","2015-01-04",19,"Rwanda_Umujyi wa Kigali",16.85
"83","2015-01-04",20,"Ghana_Greater Accra",25.91
"84","2015-01-04",21,"Lesotho_Maseru",12.37
"85","2015-01-05",1,"South Africa_Gauteng",17.18
"86","2015-01-05",2,"South Africa_Western Cape",18.62
"87","2015-01-05",3,"Zambia_Copperbelt",18.06
"88","2015-01-05",4,"Zambia_Lusaka",19.14
"89","2015-01-05",5,"Zimbabwe_Harare",15.89
"90","2015-01-05",6,"Botswana_South-East",21.92
"91","2015-01-05",7,"Uganda_Kampala",20.96
"92","2015-01-05",8,"Ethiopia_Addis Ababa",9.37
"93","2015-01-05",9,"Sierra Leone_Western",26.37
"94","2015-01-05",10,"Liberia_Montserrado",26.22
"95","2015-01-05",11,"Liberia_Montserrado",25.3
"96","2015-01-05",12,"Kenya_Nairobi",16.93
"97","2015-01-05",13,"Kenya_Rift Valley",11.8
"98","2015-01-05",14,"Nigeria_Edo",19.89
"99","2015-01-05",15,"Nigeria_Oyo",23.36
"100","2015-01-05",16,"Malawi_Blantyre",21.26
"101","2015-01-05",17,"Tanzania_Mwanza",22.86
"102","2015-01-05",18,"Cameroon_Centre",19.31
"103","2015-01-05",19,"Rwanda_Umujyi wa Kigali",17.84
"104","2015-01-05",20,"Ghana_Greater Accra",25.87
"105","2015-01-05",21,"Lesotho_Maseru",14.1
"106","2015-01-06",1,"South Africa_Gauteng",16.16
"107","2015-01-06",2,"South Africa_Western Cape",18.86
"108","2015-01-06",3,"Zambia_Copperbelt",18.7
"109","2015-01-06",4,"Zambia_Lusaka",18.22
"110","2015-01-06",5,"Zimbabwe_Harare",17.45
"111","2015-01-06",6,"Botswana_South-East",21.6
"112","2015-01-06",7,"Uganda_Kampala",22.03
"113","2015-01-06",8,"Ethiopia_Addis Ababa",8.18
"114","2015-01-06",9,"Sierra Leone_Western",26.18
"115","2015-01-06",10,"Liberia_Montserrado",25.5
"116","2015-01-06",11,"Liberia_Montserrado",24.31
"117","2015-01-06",12,"Kenya_Nairobi",18.16
"118","2015-01-06",13,"Kenya_Rift Valley",14.04
"119","2015-01-06",14,"Nigeria_Edo",18.68
"120","2015-01-06",15,"Nigeria_Oyo",20.98
"121","2015-01-06",16,"Malawi_Blantyre",19.47
"122","2015-01-06",17,"Tanzania_Mwanza",23.48
"123","2015-01-06",18,"Cameroon_Centre",19.5
"124","2015-01-06",19,"Rwanda_Umujyi wa Kigali",17.92
"125","2015-01-06",20,"Ghana_Greater Accra",25.32
"126","2015-01-06",21,"Lesotho_Maseru",12.44
"127","2015-01-07",1,"South Africa_Gauteng",17.9
"128","2015-01-07",2,"South Africa_Western Cape",18.65
"129","2015-01-07",3,"Zambia_Copperbelt",18.03
"130","2015-01-07",4,"Zambia_Lusaka",18.58
"131","2015-01-07",5,"Zimbabwe_Harare",17.5
"132","2015-01-07",6,"Botswana_South-East",21.83
"133","2015-01-07",7,"Uganda_Kampala",21.56
"134","2015-01-07",8,"Ethiopia_Addis Ababa",9.14
"135","2015-01-07",9,"Sierra Leone_Western",26.07
"136","2015-01-07",10,"Liberia_Montserrado",25.96
"137","2015-01-07",11,"Liberia_Montserrado",25.16
"138","2015-01-07",12,"Kenya_Nairobi",16.38
"139","2015-01-07",13,"Kenya_Rift Valley",14.15
"140","2015-01-07",14,"Nigeria_Edo",20.19
"141","2015-01-07",15,"Nigeria_Oyo",21.24
"142","2015-01-07",16,"Malawi_Blantyre",21.61
"143","2015-01-07",17,"Tanzania_Mwanza",21.99
"144","2015-01-07",18,"Cameroon_Centre",19.59
"145","2015-01-07",19,"Rwanda_Umujyi wa Kigali",15.09
