"","date","ID_1","NAME_1","t2m"
"1","2021-01-01",1,"Ashmore and Cartier Islands",28.91
"2","2021-01-01",2,"Australian Capital Territory",16.47
"3","2021-01-01",3,"Coral Sea Islands",26.7
"4","2021-01-01",4,"Jervis Bay Territory",19.39
"5","2021-01-01",5,"New South Wales",23.72
"6","2021-01-01",6,"Northern Territory",31.21
"7","2021-01-01",7,"Queensland",28.67
"8","2021-01-01",8,"South Australia",29.01
"9","2021-01-01",9,"Tasmania",16.27
"10","2021-01-01",10,"Victoria",22.96
"11","2021-01-01",11,"Western Australia",29.74
"12","2021-01-02",1,"Ashmore and Cartier Islands",29
"13","2021-01-02",2,"Australian Capital Territory",17
"14","2021-01-02",3,"Coral Sea Islands",26.96
"15","2021-01-02",4,"Jervis Bay Territory",20.23
"16","2021-01-02",5,"New South Wales",24.22
"17","2021-01-02",6,"Northern Territory",32.03
"18","2021-01-02",7,"Queensland",28.99
"19","2021-01-02",8,"South Australia",28.44
"20","2021-01-02",9,"Tasmania",17.63
"21","2021-01-02",10,"Victoria",21.51
"22","2021-01-02",11,"Western Australia",27.82
"23","2021-01-03",1,"Ashmore and Cartier Islands",29.27
"24","2021-01-03",2,"Australian Capital Territory",15.74
"25","2021-01-03",3,"Coral Sea Islands",26.93
"26","2021-01-03",4,"Jervis Bay Territory",20.56
"27","2021-01-03",5,"New South Wales",23.14
"28","2021-01-03",6,"Northern Territory",30.97
"29","2021-01-03",7,"Queensland",29.09
"30","2021-01-03",8,"South Australia",22.16
"31","2021-01-03",9,"Tasmania",16.16
"32","2021-01-03",10,"Victoria",19.72
"33","2021-01-03",11,"Western Australia",25.94
"34","2021-01-04",1,"Ashmore and Cartier Islands",28.96
"35","2021-01-04",2,"Australian Capital Territory",19.29
"36","2021-01-04",3,"Coral Sea Islands",26.55
"37","2021-01-04",4,"Jervis Bay Territory",22.89
"38","2021-01-04",5,"New South Wales",23.85
"39","2021-01-04",6,"Northern Territory",29.35
"40","2021-01-04",7,"Queensland",27.5
"41","2021-01-04",8,"South Australia",22.05
"42","2021-01-04",9,"Tasmania",16.17
"43","2021-01-04",10,"Victoria",18.62
"44","2021-01-04",11,"Western Australia",25.64
"45","2021-01-05",1,"Ashmore and Cartier Islands",29.12
"46","2021-01-05",2,"Australian Capital Territory",18.14
