"","date","ID_0","t2m"
"1","2013-01-01",1,7.5
"2","2013-01-02",1,3.08
"3","2013-01-03",1,6.42
"4","2013-01-04",1,9
"5","2013-01-05",1,7.04
"6","2013-01-06",1,7.27
"7","2013-01-07",1,7.31
"8","2013-01-08",1,5
"9","2013-01-09",1,4.42
"10","2013-01-10",1,3.76
"11","2013-01-11",1,2.19
"12","2013-01-12",1,-1.75
"13","2013-01-13",1,-0.75
"14","2013-01-14",1,-3.88
"15","2013-01-15",1,-2.16
"16","2013-01-16",1,-4.27
"17","2013-01-17",1,-5.87
"18","2013-01-18",1,-5.45
"19","2013-01-19",1,-2.39
"20","2013-01-20",1,-4.48
"21","2013-01-21",1,-3.48
"22","2013-01-22",1,-1.81
"23","2013-01-23",1,-4.19
"24","2013-01-24",1,-3.71
"25","2013-01-25",1,-5.58
"26","2013-01-26",1,-3.63
"27","2013-01-27",1,0.97
"28","2013-01-28",1,2.86
"29","2013-01-29",1,7.28
"30","2013-01-30",1,11.64
"31","2013-01-31",1,7.1
"32","2013-02-01",1,7.04
"33","2013-02-02",1,3.18
"34","2013-02-03",1,1.82
"35","2013-02-04",1,5.37
"36","2013-02-05",1,5.42
"37","2013-02-06",1,0.8
"38","2013-02-07",1,1.28
"39","2013-02-08",1,-0.07
"40","2013-02-09",1,-2.19
"41","2013-02-10",1,-2.11
"42","2013-02-11",1,-1.98
"43","2013-02-12",1,-1.18
"44","2013-02-13",1,-2.09
"45","2013-02-14",1,-3.43
"46","2013-02-15",1,0.53
"47","2013-02-16",1,2.85
"48","2013-02-17",1,2.07
"49","2013-02-18",1,-0.9
"50","2013-02-19",1,-1.1
"51","2013-02-20",1,2.41
"52","2013-02-21",1,-2.59
"53","2013-02-22",1,-3.14
"54","2013-02-23",1,-4.25
"55","2013-02-24",1,-2.19
"56","2013-02-25",1,-0.41
"57","2013-02-26",1,0.95
"58","2013-02-27",1,2.03
"59","2013-02-28",1,0.09
"60","2013-03-01",1,1.26
"61","2013-03-02",1,1.41
"62","2013-03-03",1,0.1
"63","2013-03-04",1,0.07
"64","2013-03-05",1,5.17
"65","2013-03-06",1,7.9
"66","2013-03-07",1,8.83
"67","2013-03-08",1,9.09
"68","2013-03-09",1,9.06
"69","2013-03-10",1,4.77
"70","2013-03-11",1,-1.03
"71","2013-03-12",1,-3.35
"72","2013-03-13",1,-6.47
"73","2013-03-14",1,-3.03
"74","2013-03-15",1,-5.22
"75","2013-03-16",1,2.49
"76","2013-03-17",1,4.03
"77","2013-03-18",1,3.69
"78","2013-03-19",1,3.4
"79","2013-03-20",1,2.53
"80","2013-03-21",1,0.73
"81","2013-03-22",1,-1.07
"82","2013-03-23",1,1.59
"83","2013-03-24",1,-0.67
"84","2013-03-25",1,-0.7
"85","2013-03-26",1,-0.65
"86","2013-03-27",1,-1.35
"87","2013-03-28",1,0.64
"88","2013-03-29",1,-0.74
"89","2013-03-30",1,-2.46
"90","2013-03-31",1,-1.7
"91","2013-04-01",1,-1.02
"92","2013-04-02",1,-0.19
"93","2013-04-03",1,-0.15
"94","2013-04-04",1,0.85
"95","2013-04-05",1,1.82
"96","2013-04-06",1,1.95
"97","2013-04-07",1,0.13
"98","2013-04-08",1,3
"99","2013-04-09",1,2.54
"100","2013-04-10",1,6.18
"101","2013-04-11",1,7.63
"102","2013-04-12",1,7.41
"103","2013-04-13",1,7.61
"104","2013-04-14",1,11.12
"105","2013-04-15",1,15.01
"106","2013-04-16",1,9.61
"107","2013-04-17",1,12.29
"108","2013-04-18",1,16.29
"109","2013-04-19",1,8.06
"110","2013-04-20",1,4.98
"111","2013-04-21",1,4.93
"112","2013-04-22",1,4.79
"113","2013-04-23",1,8.06
"114","2013-04-24",1,7.74
"115","2013-04-25",1,11.1
"116","2013-04-26",1,12.72
"117","2013-04-27",1,4.61
"118","2013-04-28",1,4.32
"119","2013-04-29",1,5.16
"120","2013-04-30",1,5.02
"121","2013-05-01",1,7.69
"122","2013-05-02",1,9.92
"123","2013-05-03",1,9.97
"124","2013-05-04",1,8.2
"125","2013-05-05",1,8.49
"126","2013-05-06",1,9.12
"127","2013-05-07",1,11.67
"128","2013-05-08",1,11.92
"129","2013-05-09",1,12.35
"130","2013-05-10",1,9.88
"131","2013-05-11",1,8.68
"132","2013-05-12",1,8.17
"133","2013-05-13",1,8.28
"134","2013-05-14",1,9.03
"135","2013-05-15",1,10.53
"136","2013-05-16",1,8.11
"137","2013-05-17",1,7.47
