"date","ID_1","t2m","year","month_of_year","week_of_year","anomaly.t2m","mean.t2m"
2011-01-01,1,1.79,2011,1,1,-3.52,5.31
2011-01-02,1,0.71,2011,1,1,-4.6,5.31
2011-01-03,1,0.34,2011,1,1,-4.97,5.31
2011-01-04,1,-0.6,2011,1,1,-5.91,5.31
2011-01-05,1,-1.24,2011,1,1,-6.55,5.31
2011-01-06,1,4.29,2011,1,1,-1.02,5.31
2011-01-07,1,4.55,2011,1,1,-0.76,5.31
2011-01-08,1,9.72,2011,1,2,4.31,5.41
2011-01-09,1,6.4,2011,1,2,0.99,5.41
2011-01-10,1,0.21,2011,1,2,-5.2,5.41
2011-01-11,1,0.95,2011,1,2,-4.46,5.41
2011-01-12,1,4.93,2011,1,2,-0.48,5.41
2011-01-13,1,11.1,2011,1,2,5.69,5.41
2011-01-14,1,12.41,2011,1,2,7,5.41
2011-01-15,1,8.87,2011,1,3,7.26,1.61
2011-01-16,1,8.56,2011,1,3,6.95,1.61
2011-01-17,1,6.4,2011,1,3,4.79,1.61
2011-01-18,1,8.39,2011,1,3,6.78,1.61
2011-01-19,1,3.83,2011,1,3,2.22,1.61
2011-01-20,1,1.31,2011,1,3,-0.3,1.61
2011-01-21,1,-0.47,2011,1,3,-2.08,1.61
2011-01-22,1,2.4,2011,1,4,0.19,2.21
2011-01-23,1,3.62,2011,1,4,1.41,2.21
2011-01-24,1,4.35,2011,1,4,2.14,2.21
2011-01-25,1,3.05,2011,1,4,0.84,2.21
2011-01-26,1,4.19,2011,1,4,1.98,2.21
2011-01-27,1,0.5,2011,1,4,-1.71,2.21
2011-01-28,1,-2.15,2011,1,4,-4.36,2.21
2011-01-29,1,-2.45,2011,1,5,-5.91,3.46
2011-01-30,1,-2.92,2011,1,5,-6.38,3.46
2011-01-31,1,-2.36,2011,1,5,-5.82,3.46
2011-02-01,1,-3.52,2011,2,5,-6.98,3.46
2011-02-02,1,1.3,2011,2,5,-2.16,3.46
2011-02-03,1,3.27,2011,2,5,-0.19,3.46
2011-02-04,1,4.81,2011,2,5,1.35,3.46
2011-02-05,1,10.44,2011,2,6,7.67,2.77
2011-02-06,1,10.73,2011,2,6,7.96,2.77
2011-02-07,1,7.71,2011,2,6,4.94,2.77
2011-02-08,1,8.13,2011,2,6,5.36,2.77
2011-02-09,1,0.62,2011,2,6,-2.15,2.77
2011-02-10,1,5.41,2011,2,6,2.64,2.77
2011-02-11,1,10.86,2011,2,6,8.09,2.77
2011-02-12,1,9.21,2011,2,7,6.16,3.05
2011-02-13,1,4.61,2011,2,7,1.56,3.05
2011-02-14,1,6.68,2011,2,7,3.63,3.05
2011-02-15,1,3.26,2011,2,7,0.21,3.05
2011-02-16,1,6.36,2011,2,7,3.31,3.05
2011-02-17,1,2.34,2011,2,7,-0.71,3.05
2011-02-18,1,1.2,2011,2,7,-1.85,3.05
2011-02-19,1,2.14,2011,2,8,-1.79,3.93
2011-02-20,1,3.52,2011,2,8,-0.41,3.93
2011-02-21,1,1.52,2011,2,8,-2.41,3.93
2011-02-22,1,-0.03,2011,2,8,-3.96,3.93
2011-02-23,1,-1.18,2011,2,8,-5.11,3.93
2011-02-24,1,1.93,2011,2,8,-2,3.93
2011-02-25,1,8.14,2011,2,8,4.21,3.93
2011-02-26,1,7.9,2011,2,9,4.57,3.33
2011-02-27,1,6.06,2011,2,9,2.73,3.33
2011-02-28,1,4.12,2011,2,9,0.79,3.33
2011-03-01,1,3.08,2011,3,9,-0.25,3.33
2011-03-02,1,2.63,2011,3,9,-0.7,3.33
2011-03-03,1,0.46,2011,3,9,-2.87,3.33
