"date","ID_1","t2m"
"2011-01-01",1,1.79
"2011-01-01",2,2.31
"2011-01-01",3,0.24
"2011-01-02",1,0.71
"2011-01-02",2,1.16
"2011-01-02",3,0.34
"2011-01-03",1,0.34
"2011-01-03",2,0.52
"2011-01-03",3,-0.51
"2011-01-04",1,-0.6
"2011-01-04",2,0
"2011-01-04",3,-1.29
"2011-01-05",1,-1.24
"2011-01-05",2,-0.64
"2011-01-05",3,-3.59
"2011-01-06",1,4.29
"2011-01-06",2,4.51
"2011-01-06",3,2.74
"2011-01-07",1,4.55
"2011-01-07",2,4.2
"2011-01-07",3,6.01
"2011-01-08",1,9.72
"2011-01-08",2,9.64
"2011-01-08",3,8.55
"2011-01-09",1,6.4
"2011-01-09",2,6.11
"2011-01-09",3,7.03
"2011-01-10",1,0.21
"2011-01-10",2,0.36
"2011-01-10",3,-0.12
"2011-01-11",1,0.95
"2011-01-11",2,1.21
"2011-01-11",3,-0.27
"2011-01-12",1,4.93
"2011-01-12",2,4.98
"2011-01-12",3,3.64
"2011-01-13",1,11.1
"2011-01-13",2,10.62
"2011-01-13",3,9.99
"2011-01-14",1,12.41
"2011-01-14",2,12.22
"2011-01-14",3,10.99
"2011-01-15",1,8.87
"2011-01-15",2,8.77
"2011-01-15",3,7.66
"2011-01-16",1,8.56
"2011-01-16",2,8.69
"2011-01-16",3,6.51
"2011-01-17",1,6.4
"2011-01-17",2,7.33
"2011-01-17",3,4.59
"2011-01-18",1,8.39
"2011-01-18",2,7.9
"2011-01-18",3,7.22
"2011-01-19",1,3.83
"2011-01-19",2,4.29
"2011-01-19",3,2.62
"2011-01-20",1,1.31
"2011-01-20",2,2.12
"2011-01-20",3,1.36
"2011-01-21",1,-0.47
"2011-01-21",2,0.2
"2011-01-21",3,-1.67
"2011-01-22",1,2.4
"2011-01-22",2,2.77
"2011-01-22",3,0.09
"2011-01-23",1,3.62
"2011-01-23",2,3.78
"2011-01-23",3,1.82
"2011-01-24",1,4.35
"2011-01-24",2,4.89
"2011-01-24",3,3.23
"2011-01-25",1,3.05
"2011-01-25",2,3.61
"2011-01-25",3,2.23
"2011-01-26",1,4.19
"2011-01-26",2,3.47
"2011-01-26",3,2.98
"2011-01-27",1,0.5
"2011-01-27",2,0.82
"2011-01-27",3,-0.6
"2011-01-28",1,-2.15
"2011-01-28",2,-1.72
"2011-01-28",3,-2.79
"2011-01-29",1,-2.45
"2011-01-29",2,-2.11
"2011-01-29",3,-2.93
"2011-01-30",1,-2.92
"2011-01-30",2,-2.82
"2011-01-30",3,-4.62
"2011-01-31",1,-2.36
"2011-01-31",2,-1.74
"2011-01-31",3,-4.48
"2011-02-01",1,-3.52
"2011-02-01",2,-3.33
"2011-02-01",3,-5.68
"2011-02-02",1,1.3
"2011-02-02",2,1.62
"2011-02-02",3,-1.56
"2011-02-03",1,3.27
"2011-02-03",2,4.09
"2011-02-03",3,0.9
"2011-02-04",1,4.81
"2011-02-04",2,5.61
"2011-02-04",3,2.77
"2011-02-05",1,10.44
"2011-02-05",2,10.59
"2011-02-05",3,8.24
"2011-02-06",1,10.73
"2011-02-06",2,10.73
"2011-02-06",3,8.76
"2011-02-07",1,7.71
"2011-02-07",2,8.53
