"","date","ID_1","NAME_1","t2m"
"1","2021-01-01",1,"Bruxelles",1.5
"2","2021-01-01",2,"Vlaanderen",1.57
"3","2021-01-01",3,"Wallonie",0.37
"4","2021-01-02",1,"Bruxelles",0.5
"5","2021-01-02",2,"Vlaanderen",1.52
"6","2021-01-02",3,"Wallonie",-0.87
"7","2021-01-03",1,"Bruxelles",2.46
"8","2021-01-03",2,"Vlaanderen",2.26
"9","2021-01-03",3,"Wallonie",0.75
"10","2021-01-04",1,"Bruxelles",2.28
"11","2021-01-04",2,"Vlaanderen",2.67
"12","2021-01-04",3,"Wallonie",0.81
"13","2021-01-05",1,"Bruxelles",1.98
"14","2021-01-05",2,"Vlaanderen",2.29
"15","2021-01-05",3,"Wallonie",0.6
"16","2021-01-06",1,"Bruxelles",2.6
"17","2021-01-06",2,"Vlaanderen",2.62
"18","2021-01-06",3,"Wallonie",0.91
"19","2021-01-07",1,"Bruxelles",0.35
"20","2021-01-07",2,"Vlaanderen",1.22
"21","2021-01-07",3,"Wallonie",-0.12
"22","2021-01-08",1,"Bruxelles",1.86
"23","2021-01-08",2,"Vlaanderen",2.19
"24","2021-01-08",3,"Wallonie",0.36
"25","2021-01-09",1,"Bruxelles",-1.89
"26","2021-01-09",2,"Vlaanderen",-1.46
"27","2021-01-09",3,"Wallonie",-0.9
"28","2021-01-10",1,"Bruxelles",-1.25
"29","2021-01-10",2,"Vlaanderen",-1.21
"30","2021-01-10",3,"Wallonie",-0.96
"31","2021-01-11",1,"Bruxelles",0.05
"32","2021-01-11",2,"Vlaanderen",1.07
"33","2021-01-11",3,"Wallonie",-2.48
"34","2021-01-12",1,"Bruxelles",6.16
"35","2021-01-12",2,"Vlaanderen",6.5
"36","2021-01-12",3,"Wallonie",3.18
"37","2021-01-13",1,"Bruxelles",1.46
"38","2021-01-13",2,"Vlaanderen",1.91
"39","2021-01-13",3,"Wallonie",0.47
"40","2021-01-14",1,"Bruxelles",3
"41","2021-01-14",2,"Vlaanderen",3.75
"42","2021-01-14",3,"Wallonie",1.91
"43","2021-01-15",1,"Bruxelles",-0.05
"44","2021-01-15",2,"Vlaanderen",0.15
"45","2021-01-15",3,"Wallonie",-0.99
"46","2021-01-16",1,"Bruxelles",-1.57
"47","2021-01-16",2,"Vlaanderen",-0.31
"48","2021-01-16",3,"Wallonie",-2.29
"49","2021-01-17",1,"Bruxelles",-0.02
"50","2021-01-17",2,"Vlaanderen",1.24
"51","2021-01-17",3,"Wallonie",-1.6
"52","2021-01-18",1,"Bruxelles",3.22
"53","2021-01-18",2,"Vlaanderen",3.67
"54","2021-01-18",3,"Wallonie",1.92
"55","2021-01-19",1,"Bruxelles",4.1
"56","2021-01-19",2,"Vlaanderen",4.85
"57","2021-01-19",3,"Wallonie",2.57
"58","2021-01-20",1,"Bruxelles",6.12
"59","2021-01-20",2,"Vlaanderen",6.61
"60","2021-01-20",3,"Wallonie",3.93
"61","2021-01-21",1,"Bruxelles",11.24
"62","2021-01-21",2,"Vlaanderen",10.93
"63","2021-01-21",3,"Wallonie",9.7
"64","2021-01-22",1,"Bruxelles",6.1
"65","2021-01-22",2,"Vlaanderen",5.58
"66","2021-01-22",3,"Wallonie",6.91
"67","2021-01-23",1,"Bruxelles",2.9
"68","2021-01-23",2,"Vlaanderen",2.91
"69","2021-01-23",3,"Wallonie",1.58
"70","2021-01-24",1,"Bruxelles",0.89
"71","2021-01-24",2,"Vlaanderen",1.34
"72","2021-01-24",3,"Wallonie",-0.06
"73","2021-01-25",1,"Bruxelles",1.47
"74","2021-01-25",2,"Vlaanderen",1.22
"75","2021-01-25",3,"Wallonie",-0.06
"76","2021-01-26",1,"Bruxelles",2.42
"77","2021-01-26",2,"Vlaanderen",3.38
"78","2021-01-26",3,"Wallonie",0.5
"79","2021-01-27",1,"Bruxelles",1.53
"80","2021-01-27",2,"Vlaanderen",1.77
"81","2021-01-27",3,"Wallonie",0.45
"82","2021-01-28",1,"Bruxelles",5.73
"83","2021-01-28",2,"Vlaanderen",6.05
"84","2021-01-28",3,"Wallonie",3.94
"85","2021-01-29",1,"Bruxelles",9.31
"86","2021-01-29",2,"Vlaanderen",9.31
"87","2021-01-29",3,"Wallonie",8.64
"88","2021-01-30",1,"Bruxelles",7.32
"89","2021-01-30",2,"Vlaanderen",7.36
"90","2021-01-30",3,"Wallonie",6.48
"91","2021-01-31",1,"Bruxelles",0.38
"92","2021-01-31",2,"Vlaanderen",0.4
"93","2021-01-31",3,"Wallonie",0.78
"94","2021-02-01",1,"Bruxelles",3.18
"95","2021-02-01",2,"Vlaanderen",2.69
"96","2021-02-01",3,"Wallonie",2.77
"97","2021-02-02",1,"Bruxelles",4.21
"98","2021-02-02",2,"Vlaanderen",3.89
"99","2021-02-02",3,"Wallonie",3.26
"100","2021-02-03",1,"Bruxelles",10.16
"101","2021-02-03",2,"Vlaanderen",10.26
"102","2021-02-03",3,"Wallonie",9.55
"103","2021-02-04",1,"Bruxelles",7.03
"104","2021-02-04",2,"Vlaanderen",7.25
"105","2021-02-04",3,"Wallonie",6.08
"106","2021-02-05",1,"Bruxelles",7.67
"107","2021-02-05",2,"Vlaanderen",7.02
"108","2021-02-05",3,"Wallonie",6.77
"109","2021-02-06",1,"Bruxelles",6.2
"110","2021-02-06",2,"Vlaanderen",6.12
"111","2021-02-06",3,"Wallonie",5.98
"112","2021-02-07",1,"Bruxelles",0.21
"113","2021-02-07",2,"Vlaanderen",0.21
"114","2021-02-07",3,"Wallonie",3.08
"115","2021-02-08",1,"Bruxelles",-3.5
"116","2021-02-08",2,"Vlaanderen",-3.79
"117","2021-02-08",3,"Wallonie",-1.73
"118","2021-02-09",1,"Bruxelles",-6.8
"119","2021-02-09",2,"Vlaanderen",-6.47
"120","2021-02-09",3,"Wallonie",-6.01
"121","2021-02-10",1,"Bruxelles",-6.85
"122","2021-02-10",2,"Vlaanderen",-5.71
"123","2021-02-10",3,"Wallonie",-8.09
"124","2021-02-11",1,"Bruxelles",-5.74
"125","2021-02-11",2,"Vlaanderen",-5.63
"126","2021-02-11",3,"Wallonie",-6.85
"127","2021-02-12",1,"Bruxelles",-5.47
"128","2021-02-12",2,"Vlaanderen",-4.76
"129","2021-02-12",3,"Wallonie",-6.71
"130","2021-02-13",1,"Bruxelles",-5.97
"131","2021-02-13",2,"Vlaanderen",-5.47
"132","2021-02-13",3,"Wallonie",-7.15
"133","2021-02-14",1,"Bruxelles",-3.87
"134","2021-02-14",2,"Vlaanderen",-3.15
"135","2021-02-14",3,"Wallonie",-5.03
"136","2021-02-15",1,"Bruxelles",1.87
"137","2021-02-15",2,"Vlaanderen",2.22
"138","2021-02-15",3,"Wallonie",0.47
"139","2021-02-16",1,"Bruxelles",5.79
"140","2021-02-16",2,"Vlaanderen",5.82
"141","2021-02-16",3,"Wallonie",5.02
"142","2021-02-17",1,"Bruxelles",7.7
"143","2021-02-17",2,"Vlaanderen",7.98
"144","2021-02-17",3,"Wallonie",6.45
