"","date","ID_1","NAME_1","t2m"
"1","2021-01-01",1,"Blagoevgrad",0.43
"2","2021-01-01",2,"Burgas",9.67
"3","2021-01-01",3,"Dobrich",8.53
"4","2021-01-01",4,"Gabrovo",2.37
"5","2021-01-01",5,"Grad Sofiya",-0.9
"6","2021-01-01",6,"Haskovo",6.54
"7","2021-01-01",7,"Kardzhali",5.18
"8","2021-01-01",8,"Kyustendil",0.56
"9","2021-01-01",9,"Lovech",2.87
"10","2021-01-01",10,"Montana",2.5
"11","2021-01-01",11,"Pazardzhik",1.71
"12","2021-01-01",12,"Pernik",-0.61
"13","2021-01-01",13,"Pleven",4.89
"14","2021-01-01",14,"Plovdiv",3.1
"15","2021-01-01",15,"Razgrad",6.61
"16","2021-01-01",16,"Ruse",6.2
"17","2021-01-01",17,"Shumen",6.44
"18","2021-01-01",18,"Silistra",8.07
"19","2021-01-01",19,"Sliven",6.47
"20","2021-01-01",20,"Smolyan",1.74
"21","2021-01-01",21,"Sofia",-0.27
"22","2021-01-01",22,"Stara Zagora",4.19
"23","2021-01-01",23,"Targovishte",5.3
"24","2021-01-01",24,"Varna",8.45
"25","2021-01-01",25,"Veliko Tarnovo",4.21
"26","2021-01-01",26,"Vidin",3.06
"27","2021-01-01",27,"Vratsa",3.04
"28","2021-01-01",28,"Yambol",9.2
"29","2021-01-02",1,"Blagoevgrad",-2.09
"30","2021-01-02",2,"Burgas",4.46
"31","2021-01-02",3,"Dobrich",3.45
"32","2021-01-02",4,"Gabrovo",0.75
"33","2021-01-02",5,"Grad Sofiya",-2.18
"34","2021-01-02",6,"Haskovo",2.41
"35","2021-01-02",7,"Kardzhali",0.49
"36","2021-01-02",8,"Kyustendil",-2.78
"37","2021-01-02",9,"Lovech",0.02
"38","2021-01-02",10,"Montana",-0.35
"39","2021-01-02",11,"Pazardzhik",-1.65
"40","2021-01-02",12,"Pernik",-2.05
"41","2021-01-02",13,"Pleven",1.28
"42","2021-01-02",14,"Plovdiv",-0.37
"43","2021-01-02",15,"Razgrad",2.32
"44","2021-01-02",16,"Ruse",2.1
"45","2021-01-02",17,"Shumen",4.01
"46","2021-01-02",18,"Silistra",2.48
"47","2021-01-02",19,"Sliven",2.69
"48","2021-01-02",20,"Smolyan",-2.02
"49","2021-01-02",21,"Sofia",-1.76
"50","2021-01-02",22,"Stara Zagora",2.1
"51","2021-01-02",23,"Targovishte",1.62
"52","2021-01-02",24,"Varna",5.28
"53","2021-01-02",25,"Veliko Tarnovo",1.34
"54","2021-01-02",26,"Vidin",0.36
"55","2021-01-02",27,"Vratsa",0.18
"56","2021-01-02",28,"Yambol",3
"57","2021-01-03",1,"Blagoevgrad",3.33
"58","2021-01-03",2,"Burgas",7.31
"59","2021-01-03",3,"Dobrich",8.24
"60","2021-01-03",4,"Gabrovo",2.89
"61","2021-01-03",5,"Grad Sofiya",1.66
"62","2021-01-03",6,"Haskovo",6.71
"63","2021-01-03",7,"Kardzhali",5.77
"64","2021-01-03",8,"Kyustendil",2.9
"65","2021-01-03",9,"Lovech",2.23
"66","2021-01-03",10,"Montana",2.02
"67","2021-01-03",11,"Pazardzhik",3.15
"68","2021-01-03",12,"Pernik",1.96
"69","2021-01-03",13,"Pleven",0.96
"70","2021-01-03",14,"Plovdiv",4.73
"71","2021-01-03",15,"Razgrad",6.8
"72","2021-01-03",16,"Ruse",6.78
"73","2021-01-03",17,"Shumen",6.13
"74","2021-01-03",18,"Silistra",7.67
"75","2021-01-03",19,"Sliven",5.03
"76","2021-01-03",20,"Smolyan",3.45
"77","2021-01-03",21,"Sofia",1.81
"78","2021-01-03",22,"Stara Zagora",5.44
"79","2021-01-03",23,"Targovishte",5.59
"80","2021-01-03",24,"Varna",7.79
"81","2021-01-03",25,"Veliko Tarnovo",4.58
"82","2021-01-03",26,"Vidin",3.42
"83","2021-01-03",27,"Vratsa",0.97
"84","2021-01-03",28,"Yambol",7.03
"85","2021-01-04",1,"Blagoevgrad",3.95
"86","2021-01-04",2,"Burgas",8.44
"87","2021-01-04",3,"Dobrich",8.68
"88","2021-01-04",4,"Gabrovo",5.82
"89","2021-01-04",5,"Grad Sofiya",1.93
"90","2021-01-04",6,"Haskovo",9.07
"91","2021-01-04",7,"Kardzhali",7.84
"92","2021-01-04",8,"Kyustendil",3.8
"93","2021-01-04",9,"Lovech",4.75
"94","2021-01-04",10,"Montana",4.66
"95","2021-01-04",11,"Pazardzhik",3.9
"96","2021-01-04",12,"Pernik",3.02
"97","2021-01-04",13,"Pleven",4.67
"98","2021-01-04",14,"Plovdiv",6.15
"99","2021-01-04",15,"Razgrad",7.61
"100","2021-01-04",16,"Ruse",5.97
"101","2021-01-04",17,"Shumen",7.42
"102","2021-01-04",18,"Silistra",8.41
"103","2021-01-04",19,"Sliven",7.82
"104","2021-01-04",20,"Smolyan",3.3
"105","2021-01-04",21,"Sofia",2.64
"106","2021-01-04",22,"Stara Zagora",8.38
"107","2021-01-04",23,"Targovishte",6.98
"108","2021-01-04",24,"Varna",7.65
"109","2021-01-04",25,"Veliko Tarnovo",5.77
"110","2021-01-04",26,"Vidin",5.86
"111","2021-01-04",27,"Vratsa",4.04
"112","2021-01-04",28,"Yambol",9.38
"113","2021-01-05",1,"Blagoevgrad",4.37
"114","2021-01-05",2,"Burgas",10.33
"115","2021-01-05",3,"Dobrich",8.84
"116","2021-01-05",4,"Gabrovo",7.06
"117","2021-01-05",5,"Grad Sofiya",4.36
"118","2021-01-05",6,"Haskovo",10.65
"119","2021-01-05",7,"Kardzhali",9.31
"120","2021-01-05",8,"Kyustendil",4.84
"121","2021-01-05",9,"Lovech",6.49
"122","2021-01-05",10,"Montana",6.02
"123","2021-01-05",11,"Pazardzhik",5.8
"124","2021-01-05",12,"Pernik",4.64
"125","2021-01-05",13,"Pleven",7.66
"126","2021-01-05",14,"Plovdiv",7.27
"127","2021-01-05",15,"Razgrad",9.26
"128","2021-01-05",16,"Ruse",10.08
"129","2021-01-05",17,"Shumen",8.65
"130","2021-01-05",18,"Silistra",9.45
"131","2021-01-05",19,"Sliven",8.57
"132","2021-01-05",20,"Smolyan",5.14
"133","2021-01-05",21,"Sofia",4.72
"134","2021-01-05",22,"Stara Zagora",8.49
"135","2021-01-05",23,"Targovishte",8.82
"136","2021-01-05",24,"Varna",9.27
"137","2021-01-05",25,"Veliko Tarnovo",9.37
"138","2021-01-05",26,"Vidin",6.54
"139","2021-01-05",27,"Vratsa",6.08
"140","2021-01-05",28,"Yambol",10.76
"141","2021-01-06",1,"Blagoevgrad",-1.73
"142","2021-01-06",2,"Burgas",5.02
"143","2021-01-06",3,"Dobrich",5.33
"144","2021-01-06",4,"Gabrovo",0.91
"145","2021-01-06",5,"Grad Sofiya",-0.7
"146","2021-01-06",6,"Haskovo",2.94
"147","2021-01-06",7,"Kardzhali",3.24
"148","2021-01-06",8,"Kyustendil",-0.35
"149","2021-01-06",9,"Lovech",0.68
"150","2021-01-06",10,"Montana",1.52
"151","2021-01-06",11,"Pazardzhik",-0.58
"152","2021-01-06",12,"Pernik",-0.05
"153","2021-01-06",13,"Pleven",1.31
"154","2021-01-06",14,"Plovdiv",0.81
"155","2021-01-06",15,"Razgrad",2.93
"156","2021-01-06",16,"Ruse",2.65
"157","2021-01-06",17,"Shumen",2.74
"158","2021-01-06",18,"Silistra",4.12
"159","2021-01-06",19,"Sliven",3.27
"160","2021-01-06",20,"Smolyan",-0.84
"161","2021-01-06",21,"Sofia",-0.46
"162","2021-01-06",22,"Stara Zagora",3.01
"163","2021-01-06",23,"Targovishte",1.54
"164","2021-01-06",24,"Varna",3.94
"165","2021-01-06",25,"Veliko Tarnovo",1.49
"166","2021-01-06",26,"Vidin",2.4
"167","2021-01-06",27,"Vratsa",0.97
"168","2021-01-06",28,"Yambol",4.46
"169","2021-01-07",1,"Blagoevgrad",4.17
"170","2021-01-07",2,"Burgas",9.51
"171","2021-01-07",3,"Dobrich",8.86
"172","2021-01-07",4,"Gabrovo",5.22
"173","2021-01-07",5,"Grad Sofiya",3.62
"174","2021-01-07",6,"Haskovo",9.43
"175","2021-01-07",7,"Kardzhali",8.28
"176","2021-01-07",8,"Kyustendil",5.88
"177","2021-01-07",9,"Lovech",5.32
"178","2021-01-07",10,"Montana",5.68
"179","2021-01-07",11,"Pazardzhik",4.14
"180","2021-01-07",12,"Pernik",5.81
"181","2021-01-07",13,"Pleven",6.57
"182","2021-01-07",14,"Plovdiv",5.28
"183","2021-01-07",15,"Razgrad",8.62
"184","2021-01-07",16,"Ruse",8.56
"185","2021-01-07",17,"Shumen",8.19
"186","2021-01-07",18,"Silistra",8.7
"187","2021-01-07",19,"Sliven",6.16
"188","2021-01-07",20,"Smolyan",3.28
"189","2021-01-07",21,"Sofia",3.71
"190","2021-01-07",22,"Stara Zagora",6.43
