"","date","ID_1","NAME_1","t2m"
"1","2021-01-01",1,"Baden-Württemberg",0.75
"2","2021-01-01",2,"Bayern",-1.15
"3","2021-01-01",3,"Berlin",1.34
"4","2021-01-01",4,"Brandenburg",1.01
"5","2021-01-01",5,"Bremen",2.12
"6","2021-01-01",6,"Hamburg",2.16
"7","2021-01-01",7,"Hessen",0.82
"8","2021-01-01",8,"Mecklenburg-Vorpommern",1.37
"9","2021-01-01",9,"Niedersachsen",1.11
"10","2021-01-01",10,"Nordrhein-Westfalen",0.67
"11","2021-01-01",11,"Rheinland-Pfalz",1.03
"12","2021-01-01",12,"Saarland",1.49
"13","2021-01-01",13,"Sachsen-Anhalt",1.04
"14","2021-01-01",14,"Sachsen",0.25
"15","2021-01-01",15,"Schleswig-Holstein",2.5
"16","2021-01-01",16,"Thüringen",0.82
"17","2021-01-02",1,"Baden-Württemberg",-0.53
"18","2021-01-02",2,"Bayern",-0.99
"19","2021-01-02",3,"Berlin",1.37
"20","2021-01-02",4,"Brandenburg",1.06
"21","2021-01-02",5,"Bremen",3.52
"22","2021-01-02",6,"Hamburg",3.5
"23","2021-01-02",7,"Hessen",-0.23
"24","2021-01-02",8,"Mecklenburg-Vorpommern",2.3
"25","2021-01-02",9,"Niedersachsen",3.01
"26","2021-01-02",10,"Nordrhein-Westfalen",1.47
"27","2021-01-02",11,"Rheinland-Pfalz",-0.34
"28","2021-01-02",12,"Saarland",-0.08
"29","2021-01-02",13,"Sachsen-Anhalt",1.55
"30","2021-01-02",14,"Sachsen",-0.39
"31","2021-01-02",15,"Schleswig-Holstein",2.74
"32","2021-01-02",16,"Thüringen",-0.38
"33","2021-01-03",1,"Baden-Württemberg",-0.7
"34","2021-01-03",2,"Bayern",-1.19
"35","2021-01-03",3,"Berlin",-0.06
"36","2021-01-03",4,"Brandenburg",0.43
"37","2021-01-03",5,"Bremen",3.7
"38","2021-01-03",6,"Hamburg",3.34
"39","2021-01-03",7,"Hessen",0.16
"40","2021-01-03",8,"Mecklenburg-Vorpommern",2.05
"41","2021-01-03",9,"Niedersachsen",2.71
"42","2021-01-03",10,"Nordrhein-Westfalen",1.69
"43","2021-01-03",11,"Rheinland-Pfalz",-0.08
"44","2021-01-03",12,"Saarland",0.42
"45","2021-01-03",13,"Sachsen-Anhalt",0.88
"46","2021-01-03",14,"Sachsen",-0.11
"47","2021-01-03",15,"Schleswig-Holstein",2.75
"48","2021-01-03",16,"Thüringen",-0.16
"49","2021-01-04",1,"Baden-Württemberg",-1.31
"50","2021-01-04",2,"Bayern",-1.06
"51","2021-01-04",3,"Berlin",0.65
"52","2021-01-04",4,"Brandenburg",0.74
"53","2021-01-04",5,"Bremen",3.29
"54","2021-01-04",6,"Hamburg",3.62
"55","2021-01-04",7,"Hessen",-0.16
"56","2021-01-04",8,"Mecklenburg-Vorpommern",2.96
"57","2021-01-04",9,"Niedersachsen",2.21
"58","2021-01-04",10,"Nordrhein-Westfalen",0.87
"59","2021-01-04",11,"Rheinland-Pfalz",-0.13
"60","2021-01-04",12,"Saarland",0.46
"61","2021-01-04",13,"Sachsen-Anhalt",0.51
"62","2021-01-04",14,"Sachsen",0.27
"63","2021-01-04",15,"Schleswig-Holstein",3.25
"64","2021-01-04",16,"Thüringen",-0.78
"65","2021-01-05",1,"Baden-Württemberg",-0.96
"66","2021-01-05",2,"Bayern",-0.95
"67","2021-01-05",3,"Berlin",0.55
"68","2021-01-05",4,"Brandenburg",0.63
"69","2021-01-05",5,"Bremen",2.33
"70","2021-01-05",6,"Hamburg",2.27
"71","2021-01-05",7,"Hessen",0.1
"72","2021-01-05",8,"Mecklenburg-Vorpommern",1.82
"73","2021-01-05",9,"Niedersachsen",1.43
"74","2021-01-05",10,"Nordrhein-Westfalen",0.64
"75","2021-01-05",11,"Rheinland-Pfalz",0.02
"76","2021-01-05",12,"Saarland",0.37
"77","2021-01-05",13,"Sachsen-Anhalt",0.3
"78","2021-01-05",14,"Sachsen",0.05
"79","2021-01-05",15,"Schleswig-Holstein",2.28
"80","2021-01-05",16,"Thüringen",-0.86
"81","2021-01-06",1,"Baden-Württemberg",-0.86
"82","2021-01-06",2,"Bayern",-0.84
"83","2021-01-06",3,"Berlin",2.68
"84","2021-01-06",4,"Brandenburg",2.2
"85","2021-01-06",5,"Bremen",2.58
"86","2021-01-06",6,"Hamburg",2.64
"87","2021-01-06",7,"Hessen",0.37
"88","2021-01-06",8,"Mecklenburg-Vorpommern",2.99
"89","2021-01-06",9,"Niedersachsen",2.39
"90","2021-01-06",10,"Nordrhein-Westfalen",2.03
"91","2021-01-06",11,"Rheinland-Pfalz",0.65
"92","2021-01-06",12,"Saarland",1.12
"93","2021-01-06",13,"Sachsen-Anhalt",1.93
"94","2021-01-06",14,"Sachsen",-0.05
"95","2021-01-06",15,"Schleswig-Holstein",1.8
"96","2021-01-06",16,"Thüringen",-0.28
"97","2021-01-07",1,"Baden-Württemberg",-0.46
"98","2021-01-07",2,"Bayern",-0.82
"99","2021-01-07",3,"Berlin",0.76
"100","2021-01-07",4,"Brandenburg",0.64
"101","2021-01-07",5,"Bremen",0.68
"102","2021-01-07",6,"Hamburg",0.56
"103","2021-01-07",7,"Hessen",-0.1
"104","2021-01-07",8,"Mecklenburg-Vorpommern",0.74
"105","2021-01-07",9,"Niedersachsen",0.36
"106","2021-01-07",10,"Nordrhein-Westfalen",0.24
"107","2021-01-07",11,"Rheinland-Pfalz",0.14
"108","2021-01-07",12,"Saarland",-0.06
"109","2021-01-07",13,"Sachsen-Anhalt",0.15
"110","2021-01-07",14,"Sachsen",-0.57
"111","2021-01-07",15,"Schleswig-Holstein",0.89
"112","2021-01-07",16,"Thüringen",-0.82
"113","2021-01-08",1,"Baden-Württemberg",-2.05
"114","2021-01-08",2,"Bayern",-1.92
"115","2021-01-08",3,"Berlin",0.31
"116","2021-01-08",4,"Brandenburg",0.7
"117","2021-01-08",5,"Bremen",1.28
"118","2021-01-08",6,"Hamburg",0.83
"119","2021-01-08",7,"Hessen",0.09
"120","2021-01-08",8,"Mecklenburg-Vorpommern",1.03
"121","2021-01-08",9,"Niedersachsen",0.82
"122","2021-01-08",10,"Nordrhein-Westfalen",0.53
"123","2021-01-08",11,"Rheinland-Pfalz",0.11
"124","2021-01-08",12,"Saarland",-0.18
"125","2021-01-08",13,"Sachsen-Anhalt",0.29
"126","2021-01-08",14,"Sachsen",-0.32
"127","2021-01-08",15,"Schleswig-Holstein",0.98
"128","2021-01-08",16,"Thüringen",-0.66
"129","2021-01-09",1,"Baden-Württemberg",-2.78
"130","2021-01-09",2,"Bayern",-1.84
"131","2021-01-09",3,"Berlin",0.19
"132","2021-01-09",4,"Brandenburg",0.28
