"","date","ID_1","t2m"
"1","2020-01-01",1,3.72
"2","2020-01-01",2,4.19
"3","2020-01-01",3,5.81
"4","2020-01-01",4,3.53
"5","2020-01-01",5,4.26
"6","2020-01-02",1,2.56
"7","2020-01-02",2,4.95
"8","2020-01-02",3,5.76
"9","2020-01-02",4,1.92
"10","2020-01-02",5,3.36
"11","2020-01-03",1,3.37
"12","2020-01-03",2,6
"13","2020-01-03",3,7
"14","2020-01-03",4,3.56
"15","2020-01-03",5,4.88
"16","2020-01-04",1,5.24
"17","2020-01-04",2,5.86
"18","2020-01-04",3,5.73
"19","2020-01-04",4,4.96
"20","2020-01-04",5,5.53
"21","2020-01-05",1,2.77
"22","2020-01-05",2,-0.09
"23","2020-01-05",3,1.03
"24","2020-01-05",4,1.79
"25","2020-01-05",5,1.42
"26","2020-01-06",1,5.65
"27","2020-01-06",2,6.74
"28","2020-01-06",3,7.17
"29","2020-01-06",4,5.44
"30","2020-01-06",5,6.24
"31","2020-01-07",1,5.05
"32","2020-01-07",2,5.03
"33","2020-01-07",3,5.52
"34","2020-01-07",4,4.54
"35","2020-01-07",5,4.25
"36","2020-01-08",1,5.95
"37","2020-01-08",2,7.51
"38","2020-01-08",3,8.31
"39","2020-01-08",4,6
"40","2020-01-08",5,6.87
"41","2020-01-09",1,4.81
"42","2020-01-09",2,4.66
"43","2020-01-09",3,5.54
"44","2020-01-09",4,4.85
"45","2020-01-09",5,4.43
"46","2020-01-10",1,8.09
"47","2020-01-10",2,7.54
"48","2020-01-10",3,5.47
"49","2020-01-10",4,7.9
"50","2020-01-10",5,7.54
"51","2020-01-11",1,3.79
"52","2020-01-11",2,1.58
"53","2020-01-11",3,1.11
"54","2020-01-11",4,4.69
"55","2020-01-11",5,2.61
"56","2020-01-12",1,6.07
"57","2020-01-12",2,7.97
"58","2020-01-12",3,8.41
"59","2020-01-12",4,5.98
"60","2020-01-12",5,7.08
"61","2020-01-13",1,5.76
"62","2020-01-13",2,5.18
"63","2020-01-13",3,4.63
"64","2020-01-13",4,5.76
"65","2020-01-13",5,6.01
"66","2020-01-14",1,5.05
"67","2020-01-14",2,5.52
"68","2020-01-14",3,5.34
"69","2020-01-14",4,4.8
"70","2020-01-14",5,5.63
"71","2020-01-15",1,9.27
"72","2020-01-15",2,10.19
"73","2020-01-15",3,9.82
"74","2020-01-15",4,9.5
"75","2020-01-15",5,10.5
"76","2020-01-16",1,6.06
"77","2020-01-16",2,6.66
"78","2020-01-16",3,7.14
"79","2020-01-16",4,6.08
"80","2020-01-16",5,6.72
"81","2020-01-17",1,5.03
"82","2020-01-17",2,5.94
"83","2020-01-17",3,5.89
"84","2020-01-17",4,5.57
"85","2020-01-17",5,5.9
"86","2020-01-18",1,6.27
"87","2020-01-18",2,7.02
"88","2020-01-18",3,6.78
"89","2020-01-18",4,7.03
"90","2020-01-18",5,7.01
"91","2020-01-19",1,4.54
"92","2020-01-19",2,3.83
"93","2020-01-19",3,4.8
"94","2020-01-19",4,4.16
"95","2020-01-19",5,3.62
"96","2020-01-20",1,2.31
"97","2020-01-20",2,4.38
"98","2020-01-20",3,5.18
"99","2020-01-20",4,2.42
"100","2020-01-20",5,4.06
"101","2020-01-21",1,6
"102","2020-01-21",2,6.51
"103","2020-01-21",3,6.61
"104","2020-01-21",4,5.8
"105","2020-01-21",5,6.12
"106","2020-01-22",1,5.85
"107","2020-01-22",2,5.74
"108","2020-01-22",3,6.08
"109","2020-01-22",4,5.92
"110","2020-01-22",5,6.1
"111","2020-01-23",1,1.28
"112","2020-01-23",2,2.57
"113","2020-01-23",3,2.85
"114","2020-01-23",4,1.93
"115","2020-01-23",5,2.88
"116","2020-01-24",1,5.9
"117","2020-01-24",2,6.51
"118","2020-01-24",3,6.58
"119","2020-01-24",4,5.15
"120","2020-01-24",5,5.98
"121","2020-01-25",1,5.84
"122","2020-01-25",2,5.3
"123","2020-01-25",3,5.43
"124","2020-01-25",4,5.32
"125","2020-01-25",5,5.92
"126","2020-01-26",1,5
"127","2020-01-26",2,5.61
"128","2020-01-26",3,6.17
"129","2020-01-26",4,3.99
"130","2020-01-26",5,4.51
"131","2020-01-27",1,3.38
"132","2020-01-27",2,4.7
"133","2020-01-27",3,4.99
"134","2020-01-27",4,3.29
"135","2020-01-27",5,4.5
"136","2020-01-28",1,5.73
"137","2020-01-28",2,5.14
"138","2020-01-28",3,4.86
"139","2020-01-28",4,5.11
"140","2020-01-28",5,5.61
"141","2020-01-29",1,4.12
"142","2020-01-29",2,4.42
"143","2020-01-29",3,4.88
"144","2020-01-29",4,4
"145","2020-01-29",5,4.28
"146","2020-01-30",1,4.92
"147","2020-01-30",2,4.64
"148","2020-01-30",3,5.06
"149","2020-01-30",4,4.92
"150","2020-01-30",5,5.21
"151","2020-01-31",1,6.43
"152","2020-01-31",2,7.88
"153","2020-01-31",3,6.99
"154","2020-01-31",4,6.92
"155","2020-01-31",5,7.99
"156","2020-02-01",1,7.81
"157","2020-02-01",2,8.18
"158","2020-02-01",3,7.94
"159","2020-02-01",4,7.85
"160","2020-02-01",5,8.19
"161","2020-02-02",1,7.17
"162","2020-02-02",2,5.75
"163","2020-02-02",3,5.75
"164","2020-02-02",4,7.23
"165","2020-02-02",5,6.41
"166","2020-02-03",1,3.11
"167","2020-02-03",2,2.21
"168","2020-02-03",3,2.61
"169","2020-02-03",4,3.11
"170","2020-02-03",5,3.6
"171","2020-02-04",1,4.73
"172","2020-02-04",2,4.3
"173","2020-02-04",3,4.27
"174","2020-02-04",4,4.77
"175","2020-02-04",5,4.68
"176","2020-02-05",1,2.47
"177","2020-02-05",2,0.12
"178","2020-02-05",3,0.89
"179","2020-02-05",4,2.99
"180","2020-02-05",5,1.2
"181","2020-02-06",1,5.3
"182","2020-02-06",2,5.86
"183","2020-02-06",3,6.69
"184","2020-02-06",4,5.02
"185","2020-02-06",5,4.97
"186","2020-02-07",1,3.75
"187","2020-02-07",2,5.21
"188","2020-02-07",3,3.59
"189","2020-02-07",4,4.33
"190","2020-02-07",5,5.98
"191","2020-02-08",1,4.5
"192","2020-02-08",2,4.14
"193","2020-02-08",3,4.4
"194","2020-02-08",4,4.37
"195","2020-02-08",5,4.22
"196","2020-02-09",1,6.25
"197","2020-02-09",2,5.34
"198","2020-02-09",3,5.33
"199","2020-02-09",4,6.51
"200","2020-02-09",5,5.78
"201","2020-02-10",1,8.13
"202","2020-02-10",2,7.67
"203","2020-02-10",3,7.73
"204","2020-02-10",4,8.14
"205","2020-02-10",5,7.87
"206","2020-02-11",1,3.42
"207","2020-02-11",2,2.73
"208","2020-02-11",3,3.04
"209","2020-02-11",4,3.34
"210","2020-02-11",5,2.97
"211","2020-02-12",1,3.63
"212","2020-02-12",2,3.47
"213","2020-02-12",3,4.18
"214","2020-02-12",4,3.2
"215","2020-02-12",5,3.47
"216","2020-02-13",1,3.53
"217","2020-02-13",2,2.95
"218","2020-02-13",3,3.6
"219","2020-02-13",4,3.86
"220","2020-02-13",5,3.89
"221","2020-02-14",1,3.05
"222","2020-02-14",2,2.97
"223","2020-02-14",3,2.49
"224","2020-02-14",4,3.36
"225","2020-02-14",5,2.98
"226","2020-02-15",1,3.95
"227","2020-02-15",2,4.96
"228","2020-02-15",3,4.58
"229","2020-02-15",4,4.09
"230","2020-02-15",5,4.98
"231","2020-02-16",1,7.34
"232","2020-02-16",2,8.58
"233","2020-02-16",3,8.52
"234","2020-02-16",4,7.71
"235","2020-02-16",5,8.85
"236","2020-02-17",1,6.93
"237","2020-02-17",2,6.4
"238","2020-02-17",3,6.38
"239","2020-02-17",4,7.05
"240","2020-02-17",5,6.86
"241","2020-02-18",1,6.32
"242","2020-02-18",2,6.6
"243","2020-02-18",3,6.96
"244","2020-02-18",4,6.18
"245","2020-02-18",5,6.52
"246","2020-02-19",1,4.86
"247","2020-02-19",2,4.32
"248","2020-02-19",3,4.08
"249","2020-02-19",4,5.34
"250","2020-02-19",5,5.44
"251","2020-02-20",1,4.45
"252","2020-02-20",2,3.87
"253","2020-02-20",3,4
"254","2020-02-20",4,4.7
"255","2020-02-20",5,4.11
"256","2020-02-21",1,5.69
"257","2020-02-21",2,4.45
"258","2020-02-21",3,5.03
"259","2020-02-21",4,5.12
"260","2020-02-21",5,4.56
"261","2020-02-22",1,6.42
"262","2020-02-22",2,7.11
"263","2020-02-22",3,7.44
"264","2020-02-22",4,6.53
"265","2020-02-22",5,7.07
"266","2020-02-23",1,5.49
"267","2020-02-23",2,5.12
"268","2020-02-23",3,5.35
"269","2020-02-23",4,5.63
"270","2020-02-23",5,5.45
"271","2020-02-24",1,4.97
"272","2020-02-24",2,4.95
"273","2020-02-24",3,4.8
"274","2020-02-24",4,4.93
"275","2020-02-24",5,5.41
"276","2020-02-25",1,2.34
"277","2020-02-25",2,1.81
"278","2020-02-25",3,2.55
"279","2020-02-25",4,2.68
"280","2020-02-25",5,5.1
"281","2020-02-26",1,2.97
"282","2020-02-26",2,1.61
"283","2020-02-26",3,2.18
"284","2020-02-26",4,3.06
"285","2020-02-26",5,2.15
"286","2020-02-27",1,0.07
"287","2020-02-27",2,-1.63
"288","2020-02-27",3,-0.36
"289","2020-02-27",4,0.86
"290","2020-02-27",5,-0.8
"291","2020-02-28",1,0.65
"292","2020-02-28",2,1.5
"293","2020-02-28",3,1.15
"294","2020-02-28",4,1.55
"295","2020-02-28",5,2.29
"296","2020-02-29",1,3.47
"297","2020-02-29",2,3.11
"298","2020-02-29",3,3.46
"299","2020-02-29",4,3.99
"300","2020-02-29",5,2.69
"301","2020-03-01",1,5.16
"302","2020-03-01",2,3.67
"303","2020-03-01",3,4.18
"304","2020-03-01",4,4.94
"305","2020-03-01",5,4
"306","2020-03-02",1,3.89
"307","2020-03-02",2,3.87
"308","2020-03-02",3,4.52
"309","2020-03-02",4,4.06
"310","2020-03-02",5,3.64
"311","2020-03-03",1,2.6
"312","2020-03-03",2,4.02
"313","2020-03-03",3,3.74
"314","2020-03-03",4,4.07
"315","2020-03-03",5,4.7
"316","2020-03-04",1,3.91
"317","2020-03-04",2,1.19
"318","2020-03-04",3,2.52
"319","2020-03-04",4,3.8
"320","2020-03-04",5,1.49
"321","2020-03-05",1,3.76
"322","2020-03-05",2,3.16
"323","2020-03-05",3,2.85
"324","2020-03-05",4,3.59
"325","2020-03-05",5,2.7
"326","2020-03-06",1,2.8
"327","2020-03-06",2,1.46
"328","2020-03-06",3,1.38
"329","2020-03-06",4,3.32
"330","2020-03-06",5,2.59
"331","2020-03-07",1,3.75
"332","2020-03-07",2,1.28
"333","2020-03-07",3,2.2
"334","2020-03-07",4,3.42
