"","date","ID_1","NAME_1","t2m"
"1","2021-01-01",1,"Hovedstaden",2.92
"2","2021-01-01",2,"Midtjylland",1.29
"3","2021-01-01",3,"Nordjylland",1.93
"4","2021-01-01",4,"Sjælland",2.78
"5","2021-01-01",5,"Syddanmark",1.88
"6","2021-01-02",1,"Hovedstaden",2.34
"7","2021-01-02",2,"Midtjylland",0.28
"8","2021-01-02",3,"Nordjylland",0.87
"9","2021-01-02",4,"Sjælland",1.87
"10","2021-01-02",5,"Syddanmark",0.67
"11","2021-01-03",1,"Hovedstaden",1.6
"12","2021-01-03",2,"Midtjylland",0.24
"13","2021-01-03",3,"Nordjylland",1.29
"14","2021-01-03",4,"Sjælland",0.99
"15","2021-01-03",5,"Syddanmark",0.23
"16","2021-01-04",1,"Hovedstaden",0.69
"17","2021-01-04",2,"Midtjylland",0.89
"18","2021-01-04",3,"Nordjylland",0.91
"19","2021-01-04",4,"Sjælland",0.75
"20","2021-01-04",5,"Syddanmark",1.12
"21","2021-01-05",1,"Hovedstaden",1.81
"22","2021-01-05",2,"Midtjylland",1.27
"23","2021-01-05",3,"Nordjylland",1.72
"24","2021-01-05",4,"Sjælland",1.78
"25","2021-01-05",5,"Syddanmark",1.17
"26","2021-01-06",1,"Hovedstaden",1.96
"27","2021-01-06",2,"Midtjylland",0.92
"28","2021-01-06",3,"Nordjylland",1.01
"29","2021-01-06",4,"Sjælland",1.67
"30","2021-01-06",5,"Syddanmark",0.97
"31","2021-01-07",1,"Hovedstaden",1.54
"32","2021-01-07",2,"Midtjylland",0.53
"33","2021-01-07",3,"Nordjylland",0.57
"34","2021-01-07",4,"Sjælland",1.66
"35","2021-01-07",5,"Syddanmark",0.78
"36","2021-01-08",1,"Hovedstaden",1.12
"37","2021-01-08",2,"Midtjylland",0.37
"38","2021-01-08",3,"Nordjylland",0.95
"39","2021-01-08",4,"Sjælland",0.19
"40","2021-01-08",5,"Syddanmark",0.51
"41","2021-01-09",1,"Hovedstaden",2.11
"42","2021-01-09",2,"Midtjylland",0.51
"43","2021-01-09",3,"Nordjylland",1.05
"44","2021-01-09",4,"Sjælland",1.47
"45","2021-01-09",5,"Syddanmark",1.09
"46","2021-01-10",1,"Hovedstaden",0.8
"47","2021-01-10",2,"Midtjylland",0.48
"48","2021-01-10",3,"Nordjylland",0.35
"49","2021-01-10",4,"Sjælland",0.65
"50","2021-01-10",5,"Syddanmark",0.53
"51","2021-01-11",1,"Hovedstaden",2
"52","2021-01-11",2,"Midtjylland",1.44
"53","2021-01-11",3,"Nordjylland",1.32
"54","2021-01-11",4,"Sjælland",2.26
"55","2021-01-11",5,"Syddanmark",2.14
"56","2021-01-12",1,"Hovedstaden",4.36
"57","2021-01-12",2,"Midtjylland",2.41
"58","2021-01-12",3,"Nordjylland",1.73
"59","2021-01-12",4,"Sjælland",4.48
"60","2021-01-12",5,"Syddanmark",4.67
"61","2021-01-13",1,"Hovedstaden",2.31
"62","2021-01-13",2,"Midtjylland",2.73
"63","2021-01-13",3,"Nordjylland",3.02
"64","2021-01-13",4,"Sjælland",2.4
"65","2021-01-13",5,"Syddanmark",2.58
"66","2021-01-14",1,"Hovedstaden",1.33
"67","2021-01-14",2,"Midtjylland",0.19
"68","2021-01-14",3,"Nordjylland",0.12
"69","2021-01-14",4,"Sjælland",1.28
"70","2021-01-14",5,"Syddanmark",0.58
"71","2021-01-15",1,"Hovedstaden",-1.08
"72","2021-01-15",2,"Midtjylland",-1.8
"73","2021-01-15",3,"Nordjylland",-1.72
"74","2021-01-15",4,"Sjælland",-0.85
"75","2021-01-15",5,"Syddanmark",-0.92
"76","2021-01-16",1,"Hovedstaden",-4.5
"77","2021-01-16",2,"Midtjylland",-4.08
"78","2021-01-16",3,"Nordjylland",-3.49
"79","2021-01-16",4,"Sjælland",-2.83
"80","2021-01-16",5,"Syddanmark",-2.93
"81","2021-01-17",1,"Hovedstaden",-2.44
"82","2021-01-17",2,"Midtjylland",-1.42
"83","2021-01-17",3,"Nordjylland",-2.09
"84","2021-01-17",4,"Sjælland",-2.28
"85","2021-01-17",5,"Syddanmark",-0.86
"86","2021-01-18",1,"Hovedstaden",-1.18
"87","2021-01-18",2,"Midtjylland",-0.76
"88","2021-01-18",3,"Nordjylland",-1.01
"89","2021-01-18",4,"Sjælland",-0.89
"90","2021-01-18",5,"Syddanmark",-0.47
"91","2021-01-19",1,"Hovedstaden",2.04
"92","2021-01-19",2,"Midtjylland",1.49
"93","2021-01-19",3,"Nordjylland",0.88
"94","2021-01-19",4,"Sjælland",2.47
"95","2021-01-19",5,"Syddanmark",3.07
"96","2021-01-20",1,"Hovedstaden",2.83
"97","2021-01-20",2,"Midtjylland",2.72
"98","2021-01-20",3,"Nordjylland",2.07
"99","2021-01-20",4,"Sjælland",3.7
"100","2021-01-20",5,"Syddanmark",5.25
"101","2021-01-21",1,"Hovedstaden",5.95
"102","2021-01-21",2,"Midtjylland",6.07
"103","2021-01-21",3,"Nordjylland",5.92
"104","2021-01-21",4,"Sjælland",6.12
"105","2021-01-21",5,"Syddanmark",6.89
