"","date","ID_1","t2m"
"1","2017-01-01",1,-3.79
"2","2017-01-01",2,0.89
"3","2017-01-01",3,-3.02
"4","2017-01-01",4,-3.18
"5","2017-01-01",5,-2.55
"6","2017-01-01",6,-3.97
"7","2017-01-01",7,1.7
"8","2017-01-01",8,-3.29
"9","2017-01-01",9,-3.19
"10","2017-01-01",10,4.96
"11","2017-01-01",11,-4.06
"12","2017-01-01",12,-4.09
"13","2017-01-01",13,1.79
"14","2017-01-01",14,-0.83
"15","2017-01-01",15,-3.88
"16","2017-01-01",16,0.32
"17","2017-01-01",17,-2.37
"18","2017-01-01",18,-2.78
"19","2017-01-01",19,-3.93
"20","2017-01-01",20,0.34
"21","2017-01-01",21,-0.9
"22","2017-01-01",22,-4.13
"23","2017-01-02",1,-2.07
"24","2017-01-02",2,1.75
"25","2017-01-02",3,-2.11
"26","2017-01-02",4,-0.07
"27","2017-01-02",5,2.44
"28","2017-01-02",6,-0.68
"29","2017-01-02",7,4.9
"30","2017-01-02",8,0.65
"31","2017-01-02",9,-0.82
"32","2017-01-02",10,6
"33","2017-01-02",11,-1.9
"34","2017-01-02",12,0.8
"35","2017-01-02",13,1.45
"36","2017-01-02",14,0.01
"37","2017-01-02",15,-1.42
"38","2017-01-02",16,-0.87
"39","2017-01-02",17,1.25
"40","2017-01-02",18,2.85
"41","2017-01-02",19,-0.4
"42","2017-01-02",20,3.19
"43","2017-01-02",21,0.51
"44","2017-01-02",22,-3.73
"45","2017-01-03",1,-1.15
"46","2017-01-03",2,1.27
"47","2017-01-03",3,-1.34
"48","2017-01-03",4,-0.22
"49","2017-01-03",5,-0.34
"50","2017-01-03",6,-0.01
"51","2017-01-03",7,1.52
"52","2017-01-03",8,0.8
"53","2017-01-03",9,-0.57
"54","2017-01-03",10,9.96
"55","2017-01-03",11,-1.27
"56","2017-01-03",12,-0.52
"57","2017-01-03",13,1.24
"58","2017-01-03",14,0.46
"59","2017-01-03",15,-1.04
"60","2017-01-03",16,-0.63
"61","2017-01-03",17,0.37
"62","2017-01-03",18,1.22
"63","2017-01-03",19,-1.31
