"","date","ID_1","NAME_1","t2m"
"1","2021-01-01",1,"Alsace",2.17
"2","2021-01-01",2,"Aquitaine",2.78
"3","2021-01-01",3,"Auvergne",0.71
"4","2021-01-01",4,"Île-de-France",-0.9
"5","2021-01-01",5,"Basse-Normandie",-0.65
"6","2021-01-01",6,"Bourgogne",1.3
"7","2021-01-01",7,"Bretagne",0.07
"8","2021-01-01",8,"Centre",-0.85
"9","2021-01-01",9,"Champagne-Ardenne",1.09
"10","2021-01-01",10,"Corse",6.55
"11","2021-01-01",11,"Franche-Comté",1.76
"12","2021-01-01",12,"Haute-Normandie",-0.63
"13","2021-01-01",13,"Languedoc-Roussillon",3.94
"14","2021-01-01",14,"Limousin",0.57
"15","2021-01-01",15,"Lorraine",1.43
"16","2021-01-01",16,"Midi-Pyrénées",3.34
"17","2021-01-01",17,"Nord-Pas-de-Calais",1.55
"18","2021-01-01",18,"Pays de la Loire",-1.1
"19","2021-01-01",19,"Picardie",0.15
"20","2021-01-01",20,"Poitou-Charentes",0.14
"21","2021-01-01",21,"Provence-Alpes-Côte d'Azur",1.32
"22","2021-01-01",22,"Rhône-Alpes",0.55
"23","2021-01-02",1,"Alsace",-0.12
"24","2021-01-02",2,"Aquitaine",1.46
"25","2021-01-02",3,"Auvergne",-2.23
"26","2021-01-02",4,"Île-de-France",-1.32
"27","2021-01-02",5,"Basse-Normandie",-0.48
"28","2021-01-02",6,"Bourgogne",-0.36
"29","2021-01-02",7,"Bretagne",0.29
"30","2021-01-02",8,"Centre",-1.68
"31","2021-01-02",9,"Champagne-Ardenne",-0.52
"32","2021-01-02",10,"Corse",7.18
"33","2021-01-02",11,"Franche-Comté",0.32
"34","2021-01-02",12,"Haute-Normandie",-1.18
"35","2021-01-02",13,"Languedoc-Roussillon",0.05
"36","2021-01-02",14,"Limousin",-1.9
"37","2021-01-02",15,"Lorraine",-0.43
"38","2021-01-02",16,"Midi-Pyrénées",-1.13
"39","2021-01-02",17,"Nord-Pas-de-Calais",-0.46
"40","2021-01-02",18,"Pays de la Loire",-1.07
"41","2021-01-02",19,"Picardie",-1.28
"42","2021-01-02",20,"Poitou-Charentes",-1.03
"43","2021-01-02",21,"Provence-Alpes-Côte d'Azur",-0.07
"44","2021-01-02",22,"Rhône-Alpes",-1.4
