"","date","ID_0","NAME_0","t2m"
"1","2020-01-01",1,"United Kingdom",4.81
"2","2020-01-02",1,"United Kingdom",6.68
"3","2020-01-03",1,"United Kingdom",8.16
"4","2020-01-04",1,"United Kingdom",5.61
"5","2020-01-05",1,"United Kingdom",7.1
"6","2020-01-06",1,"United Kingdom",8.07
"7","2020-01-07",1,"United Kingdom",5.77
"8","2020-01-08",1,"United Kingdom",9.76
"9","2020-01-09",1,"United Kingdom",5.52
"10","2020-01-10",1,"United Kingdom",3.3
"11","2020-01-11",1,"United Kingdom",7.59
"12","2020-01-12",1,"United Kingdom",7.06
"13","2020-01-13",1,"United Kingdom",4.67
"14","2020-01-14",1,"United Kingdom",5.91
"15","2020-01-15",1,"United Kingdom",6.14
"16","2020-01-16",1,"United Kingdom",5.76
"17","2020-01-17",1,"United Kingdom",7.63
"18","2020-01-18",1,"United Kingdom",3.42
"19","2020-01-19",1,"United Kingdom",1.8
"20","2020-01-20",1,"United Kingdom",3.49
"21","2020-01-21",1,"United Kingdom",4.39
"22","2020-01-22",1,"United Kingdom",5.93
"23","2020-01-23",1,"United Kingdom",6.86
"24","2020-01-24",1,"United Kingdom",6.16
"25","2020-01-25",1,"United Kingdom",6.09
"26","2020-01-26",1,"United Kingdom",6.51
"27","2020-01-27",1,"United Kingdom",4.35
"28","2020-01-28",1,"United Kingdom",2.89
"29","2020-01-29",1,"United Kingdom",3.56
"30","2020-01-30",1,"United Kingdom",7.27
"31","2020-01-31",1,"United Kingdom",7.57
"32","2020-02-01",1,"United Kingdom",9.17
"33","2020-02-02",1,"United Kingdom",4.69
"34","2020-02-03",1,"United Kingdom",7.56
"35","2020-02-04",1,"United Kingdom",4.01
"36","2020-02-05",1,"United Kingdom",3.99
"37","2020-02-06",1,"United Kingdom",3.52
"38","2020-02-07",1,"United Kingdom",1.9
"39","2020-02-08",1,"United Kingdom",7.77
"40","2020-02-09",1,"United Kingdom",6.52
"41","2020-02-10",1,"United Kingdom",5.72
"42","2020-02-11",1,"United Kingdom",3.65
"43","2020-02-12",1,"United Kingdom",2.92
"44","2020-02-13",1,"United Kingdom",2.88
"45","2020-02-14",1,"United Kingdom",2.93
"46","2020-02-15",1,"United Kingdom",6.81
"47","2020-02-16",1,"United Kingdom",8.56
"48","2020-02-17",1,"United Kingdom",5.31
"49","2020-02-18",1,"United Kingdom",4.08
"50","2020-02-19",1,"United Kingdom",3.71
"51","2020-02-20",1,"United Kingdom",8.11
"52","2020-02-21",1,"United Kingdom",4.21
"53","2020-02-22",1,"United Kingdom",8.17
"54","2020-02-23",1,"United Kingdom",5.58
"55","2020-02-24",1,"United Kingdom",3.9
"56","2020-02-25",1,"United Kingdom",3.89
"57","2020-02-26",1,"United Kingdom",1.64
"58","2020-02-27",1,"United Kingdom",2.23
"59","2020-02-28",1,"United Kingdom",2.3
"60","2020-02-29",1,"United Kingdom",7.91
"61","2020-03-01",1,"United Kingdom",4.62
