"","date","ID_1","t2m"
"1","2015-01-01",1,7
"2","2015-01-01",2,8.41
"3","2015-01-01",3,8.48
"4","2015-01-01",4,9.33
"5","2015-01-02",1,11.78
"6","2015-01-02",2,6.14
"7","2015-01-02",3,5.5
"8","2015-01-02",4,11.21
"9","2015-01-03",1,4.71
"10","2015-01-03",2,6.15
"11","2015-01-03",3,4.2
"12","2015-01-03",4,5.71
"13","2015-01-04",1,1.61
"14","2015-01-04",2,0.56
"15","2015-01-04",3,1.62
"16","2015-01-04",4,1.45
"17","2015-01-05",1,3.7
"18","2015-01-05",2,6.08
"19","2015-01-05",3,6.19
"20","2015-01-05",4,6.21
"21","2015-01-06",1,7.36
"22","2015-01-06",2,8.9
"23","2015-01-06",3,8.39
"24","2015-01-06",4,7.87
"25","2015-01-07",1,2.97
"26","2015-01-07",2,5.48
"27","2015-01-07",3,3.94
"28","2015-01-07",4,5.39
"29","2015-01-08",1,9.72
"30","2015-01-08",2,6.23
"31","2015-01-08",3,5.17
"32","2015-01-08",4,9.89
"33","2015-01-09",1,7.4
"34","2015-01-09",2,9.81
"35","2015-01-09",3,5.69
"36","2015-01-09",4,8.24
"37","2015-01-10",1,12.49
"38","2015-01-10",2,12.49
"39","2015-01-10",3,9.91
"40","2015-01-10",4,10.99
"41","2015-01-11",1,3.44
"42","2015-01-11",2,2.6
"43","2015-01-11",3,1.62
"44","2015-01-11",4,3.72
"45","2015-01-12",1,7.46
"46","2015-01-12",2,7.64
"47","2015-01-12",3,6.63
"48","2015-01-12",4,7.53
"49","2015-01-13",1,7.74
"50","2015-01-13",2,3.14
"51","2015-01-13",3,2.88
"52","2015-01-13",4,7.02
"53","2015-01-14",1,2.26
"54","2015-01-14",2,0.42
"55","2015-01-14",3,1.04
"56","2015-01-14",4,1.82
"57","2015-01-15",1,8.57
"58","2015-01-15",2,5.76
"59","2015-01-15",3,5.28
"60","2015-01-15",4,9.29
"61","2015-01-16",1,5
"62","2015-01-16",2,3.23
"63","2015-01-16",3,3.42
"64","2015-01-16",4,4.96
"65","2015-01-17",1,0.47
"66","2015-01-17",2,1.63
"67","2015-01-17",3,0.99
"68","2015-01-17",4,1.23
"69","2015-01-18",1,1.59
"70","2015-01-18",2,-0.24
"71","2015-01-18",3,0.27
"72","2015-01-18",4,1.95
"73","2015-01-19",1,0.65
"74","2015-01-19",2,0.79
"75","2015-01-19",3,0.66
"76","2015-01-19",4,0.33
"77","2015-01-20",1,-0.67
"78","2015-01-20",2,0.83
"79","2015-01-20",3,-1.96
"80","2015-01-20",4,-0.78
"81","2015-01-21",1,2.05
"82","2015-01-21",2,1.72
"83","2015-01-21",3,0.43
"84","2015-01-21",4,2.92
"85","2015-01-22",1,1.67
