"","date","ID_1","NAME_1","t2m"
"1","2020-01-01",1,"Austurland",3.29
"2","2020-01-01",2,"Hálshreppur",2.68
"3","2020-01-01",3,"Höfuðborgarsvæði",3.71
"4","2020-01-01",4,"Norðurland vestra",2.33
"5","2020-01-01",5,"Suðurland",1.7
"6","2020-01-01",6,"Suðurnes",5.17
"7","2020-01-01",7,"Vestfirðir",2.55
"8","2020-01-01",8,"Vesturland",2.73
"9","2020-01-02",1,"Austurland",-1.67
"10","2020-01-02",2,"Hálshreppur",-3.07
"11","2020-01-02",3,"Höfuðborgarsvæði",-2
"12","2020-01-02",4,"Norðurland vestra",-4.29
"13","2020-01-02",5,"Suðurland",-3.99
"14","2020-01-02",6,"Suðurnes",0.27
"15","2020-01-02",7,"Vestfirðir",-2.83
"16","2020-01-02",8,"Vesturland",-2.71
"17","2020-01-03",1,"Austurland",-9.76
"18","2020-01-03",2,"Hálshreppur",-10.25
"19","2020-01-03",3,"Höfuðborgarsvæði",-6.61
"20","2020-01-03",4,"Norðurland vestra",-10.71
"21","2020-01-03",5,"Suðurland",-9.57
"22","2020-01-03",6,"Suðurnes",-1.63
"23","2020-01-03",7,"Vestfirðir",-8.81
"24","2020-01-03",8,"Vesturland",-8.59
"25","2020-01-04",1,"Austurland",-7.02
"26","2020-01-04",2,"Hálshreppur",-7.36
"27","2020-01-04",3,"Höfuðborgarsvæði",-9.83
"28","2020-01-04",4,"Norðurland vestra",-8.81
"29","2020-01-04",5,"Suðurland",-8.38
"30","2020-01-04",6,"Suðurnes",-3.83
"31","2020-01-04",7,"Vestfirðir",-6.24
"32","2020-01-04",8,"Vesturland",-10.07
"33","2020-01-05",1,"Austurland",1.77
"34","2020-01-05",2,"Hálshreppur",1.54
"35","2020-01-05",3,"Höfuðborgarsvæði",3.36
"36","2020-01-05",4,"Norðurland vestra",1.21
"37","2020-01-05",5,"Suðurland",1.21
"38","2020-01-05",6,"Suðurnes",4.66
"39","2020-01-05",7,"Vestfirðir",2.76
"40","2020-01-05",8,"Vesturland",2.44
"41","2020-01-06",1,"Austurland",-0.64
"42","2020-01-06",2,"Hálshreppur",-0.82
"43","2020-01-06",3,"Höfuðborgarsvæði",1.18
"44","2020-01-06",4,"Norðurland vestra",-0.65
"45","2020-01-06",5,"Suðurland",0.15
"46","2020-01-06",6,"Suðurnes",2.26
"47","2020-01-06",7,"Vestfirðir",0.99
"48","2020-01-06",8,"Vesturland",0.3
"49","2020-01-07",1,"Austurland",-1.39
"50","2020-01-07",2,"Hálshreppur",-2.35
"51","2020-01-07",3,"Höfuðborgarsvæði",0.15
"52","2020-01-07",4,"Norðurland vestra",-2.47
"53","2020-01-07",5,"Suðurland",-2
"54","2020-01-07",6,"Suðurnes",2.57
"55","2020-01-07",7,"Vestfirðir",-0.73
"56","2020-01-07",8,"Vesturland",-1.29
"57","2020-01-08",1,"Austurland",-5.18
"58","2020-01-08",2,"Hálshreppur",-5.5
"59","2020-01-08",3,"Höfuðborgarsvæði",-3.64
"60","2020-01-08",4,"Norðurland vestra",-5.27
"61","2020-01-08",5,"Suðurland",-6.02
"62","2020-01-08",6,"Suðurnes",-1.85
"63","2020-01-08",7,"Vestfirðir",-1.91
"64","2020-01-08",8,"Vesturland",-3.78
"65","2020-01-09",1,"Austurland",-2.9
"66","2020-01-09",2,"Hálshreppur",-3.55
"67","2020-01-09",3,"Höfuðborgarsvæði",-1.39
"68","2020-01-09",4,"Norðurland vestra",-4.02
"69","2020-01-09",5,"Suðurland",-3.29
"70","2020-01-09",6,"Suðurnes",0.84
"71","2020-01-09",7,"Vestfirðir",-3.37
"72","2020-01-09",8,"Vesturland",-2.79
