"","date","ID_1","NAME_1","t2m"
"1","2021-01-01",1,"Balzers",-6.07
"2","2021-01-01",2,"Eschen",-5.64
"3","2021-01-01",3,"Gamprin",-5.64
"4","2021-01-01",4,"Mauren",-5.64
"5","2021-01-01",5,"Planken",-5.64
"6","2021-01-01",6,"Ruggell",-5.64
"7","2021-01-01",7,"Schaan",-5.78
"8","2021-01-01",8,"Schellenberg",-5.64
"9","2021-01-01",9,"Triesenberg",-6.08
"10","2021-01-01",10,"Triesen",-6.15
"11","2021-01-01",11,"Valduz",-5.75
"12","2021-01-02",1,"Balzers",-4.12
"13","2021-01-02",2,"Eschen",-3.52
"14","2021-01-02",3,"Gamprin",-3.52
"15","2021-01-02",4,"Mauren",-3.52
"16","2021-01-02",5,"Planken",-3.52
"17","2021-01-02",6,"Ruggell",-3.52
"18","2021-01-02",7,"Schaan",-3.71
"19","2021-01-02",8,"Schellenberg",-3.52
"20","2021-01-02",9,"Triesenberg",-4.12
"21","2021-01-02",10,"Triesen",-4.25
"22","2021-01-02",11,"Valduz",-3.68
"23","2021-01-03",1,"Balzers",-3.24
"24","2021-01-03",2,"Eschen",-1.83
"25","2021-01-03",3,"Gamprin",-1.83
"26","2021-01-03",4,"Mauren",-1.83
"27","2021-01-03",5,"Planken",-1.83
"28","2021-01-03",6,"Ruggell",-1.83
"29","2021-01-03",7,"Schaan",-2.34
"30","2021-01-03",8,"Schellenberg",-1.83
"31","2021-01-03",9,"Triesenberg",-3.12
"32","2021-01-03",10,"Triesen",-3.75
"33","2021-01-03",11,"Valduz",-2.25
"34","2021-01-04",1,"Balzers",-3.41
"35","2021-01-04",2,"Eschen",-1.99
"36","2021-01-04",3,"Gamprin",-1.99
"37","2021-01-04",4,"Mauren",-1.99
"38","2021-01-04",5,"Planken",-1.99
"39","2021-01-04",6,"Ruggell",-1.99
"40","2021-01-04",7,"Schaan",-2.48
"41","2021-01-04",8,"Schellenberg",-1.99
"42","2021-01-04",9,"Triesenberg",-3.33
"43","2021-01-04",10,"Triesen",-3.87
"44","2021-01-04",11,"Valduz",-2.39
"45","2021-01-05",1,"Balzers",-7.47
"46","2021-01-05",2,"Eschen",-8.58
"47","2021-01-05",3,"Gamprin",-8.58
"48","2021-01-05",4,"Mauren",-8.58
"49","2021-01-05",5,"Planken",-8.58
"50","2021-01-05",6,"Ruggell",-8.58
"51","2021-01-05",7,"Schaan",-8.1
"52","2021-01-05",8,"Schellenberg",-8.58
"53","2021-01-05",9,"Triesenberg",-7.75
"54","2021-01-05",10,"Triesen",-6.75
"55","2021-01-05",11,"Valduz",-8.18
"56","2021-01-06",1,"Balzers",-4.75
"57","2021-01-06",2,"Eschen",-4.13
"58","2021-01-06",3,"Gamprin",-4.13
"59","2021-01-06",4,"Mauren",-4.13
"60","2021-01-06",5,"Planken",-4.13
"61","2021-01-06",6,"Ruggell",-4.13
"62","2021-01-06",7,"Schaan",-4.32
"63","2021-01-06",8,"Schellenberg",-4.13
"64","2021-01-06",9,"Triesenberg",-4.76
"65","2021-01-06",10,"Triesen",-4.88
"66","2021-01-06",11,"Valduz",-4.29
"67","2021-01-07",1,"Balzers",-5.93
"68","2021-01-07",2,"Eschen",-4.07
"69","2021-01-07",3,"Gamprin",-4.07
"70","2021-01-07",4,"Mauren",-4.07
"71","2021-01-07",5,"Planken",-4.07
"72","2021-01-07",6,"Ruggell",-4.07
"73","2021-01-07",7,"Schaan",-4.75
"74","2021-01-07",8,"Schellenberg",-4.07
"75","2021-01-07",9,"Triesenberg",-5.76
"76","2021-01-07",10,"Triesen",-6.64
"77","2021-01-07",11,"Valduz",-4.63
"78","2021-01-08",1,"Balzers",-9.47
"79","2021-01-08",2,"Eschen",-8.09
"80","2021-01-08",3,"Gamprin",-8.09
"81","2021-01-08",4,"Mauren",-8.09
"82","2021-01-08",5,"Planken",-8.09
"83","2021-01-08",6,"Ruggell",-8.09
"84","2021-01-08",7,"Schaan",-8.56
"85","2021-01-08",8,"Schellenberg",-8.09
