"","date","ID_1","NAME_1","t2m"
"1","2021-01-01",1,"Diekirch",0.18
"2","2021-01-01",2,"Grevenmacher",1.17
"3","2021-01-01",3,"Luxembourg",1.13
"4","2021-01-02",1,"Diekirch",-1.63
"5","2021-01-02",2,"Grevenmacher",-0.5
"6","2021-01-02",3,"Luxembourg",-0.69
"7","2021-01-03",1,"Diekirch",-0.75
"8","2021-01-03",2,"Grevenmacher",-0.02
"9","2021-01-03",3,"Luxembourg",-0.18
"10","2021-01-04",1,"Diekirch",-0.19
"11","2021-01-04",2,"Grevenmacher",0.48
"12","2021-01-04",3,"Luxembourg",0.49
"13","2021-01-05",1,"Diekirch",-0.17
"14","2021-01-05",2,"Grevenmacher",0.68
"15","2021-01-05",3,"Luxembourg",0.72
"16","2021-01-06",1,"Diekirch",-0.24
"17","2021-01-06",2,"Grevenmacher",0.77
"18","2021-01-06",3,"Luxembourg",0.62
"19","2021-01-07",1,"Diekirch",-0.72
"20","2021-01-07",2,"Grevenmacher",-0.29
"21","2021-01-07",3,"Luxembourg",-0.38
"22","2021-01-08",1,"Diekirch",-0.55
"23","2021-01-08",2,"Grevenmacher",-0.2
"24","2021-01-08",3,"Luxembourg",-0.26
"25","2021-01-09",1,"Diekirch",-1.11
"26","2021-01-09",2,"Grevenmacher",-0.41
"27","2021-01-09",3,"Luxembourg",-0.54
"28","2021-01-10",1,"Diekirch",-0.96
"29","2021-01-10",2,"Grevenmacher",-0.86
"30","2021-01-10",3,"Luxembourg",-0.74
"31","2021-01-11",1,"Diekirch",-4.68
"32","2021-01-11",2,"Grevenmacher",-4.75
"33","2021-01-11",3,"Luxembourg",-4.82
"34","2021-01-12",1,"Diekirch",0.59
"35","2021-01-12",2,"Grevenmacher",0.69
"36","2021-01-12",3,"Luxembourg",0.85
"37","2021-01-13",1,"Diekirch",-0.06
"38","2021-01-13",2,"Grevenmacher",-0.05
"39","2021-01-13",3,"Luxembourg",0.05
"40","2021-01-14",1,"Diekirch",1.15
"41","2021-01-14",2,"Grevenmacher",1.72
"42","2021-01-14",3,"Luxembourg",1.88
"43","2021-01-15",1,"Diekirch",-1.65
"44","2021-01-15",2,"Grevenmacher",-0.91
"45","2021-01-15",3,"Luxembourg",-0.96
"46","2021-01-16",1,"Diekirch",-3.65
"47","2021-01-16",2,"Grevenmacher",-4.72
"48","2021-01-16",3,"Luxembourg",-4.67
"49","2021-01-17",1,"Diekirch",-3.27
"50","2021-01-17",2,"Grevenmacher",-2.78
"51","2021-01-17",3,"Luxembourg",-2.62
"52","2021-01-18",1,"Diekirch",1.25
"53","2021-01-18",2,"Grevenmacher",1.61
"54","2021-01-18",3,"Luxembourg",1.47
"55","2021-01-19",1,"Diekirch",1.57
"56","2021-01-19",2,"Grevenmacher",2.11
"57","2021-01-19",3,"Luxembourg",1.93
"58","2021-01-20",1,"Diekirch",1.45
"59","2021-01-20",2,"Grevenmacher",1.09
"60","2021-01-20",3,"Luxembourg",1.37
"61","2021-01-21",1,"Diekirch",8.3
"62","2021-01-21",2,"Grevenmacher",9.33
"63","2021-01-21",3,"Luxembourg",9.36
"64","2021-01-22",1,"Diekirch",7.22
"65","2021-01-22",2,"Grevenmacher",8.22
"66","2021-01-22",3,"Luxembourg",8.12
"67","2021-01-23",1,"Diekirch",0.61
"68","2021-01-23",2,"Grevenmacher",1.27
"69","2021-01-23",3,"Luxembourg",1.4
"70","2021-01-24",1,"Diekirch",0.01
"71","2021-01-24",2,"Grevenmacher",1.05
"72","2021-01-24",3,"Luxembourg",0.92
"73","2021-01-25",1,"Diekirch",-1.05
"74","2021-01-25",2,"Grevenmacher",-0.22
"75","2021-01-25",3,"Luxembourg",-0.26
"76","2021-01-26",1,"Diekirch",-0.73
"77","2021-01-26",2,"Grevenmacher",-0.73
"78","2021-01-26",3,"Luxembourg",-0.83
"79","2021-01-27",1,"Diekirch",-1.1
"80","2021-01-27",2,"Grevenmacher",-0.85
"81","2021-01-27",3,"Luxembourg",-0.69
"82","2021-01-28",1,"Diekirch",1.32
"83","2021-01-28",2,"Grevenmacher",1.63
"84","2021-01-28",3,"Luxembourg",2
"85","2021-01-29",1,"Diekirch",7.66
"86","2021-01-29",2,"Grevenmacher",8.65
"87","2021-01-29",3,"Luxembourg",8.78
"88","2021-01-30",1,"Diekirch",5.6
"89","2021-01-30",2,"Grevenmacher",6.38
"90","2021-01-30",3,"Luxembourg",6.38
"91","2021-01-31",1,"Diekirch",-0.31
"92","2021-01-31",2,"Grevenmacher",0.34
"93","2021-01-31",3,"Luxembourg",0.65
"94","2021-02-01",1,"Diekirch",1.07
"95","2021-02-01",2,"Grevenmacher",2.04
"96","2021-02-01",3,"Luxembourg",2.5
"97","2021-02-02",1,"Diekirch",2.51
"98","2021-02-02",2,"Grevenmacher",3.83
"99","2021-02-02",3,"Luxembourg",3.83
"100","2021-02-03",1,"Diekirch",8.8
"101","2021-02-03",2,"Grevenmacher",9.57
"102","2021-02-03",3,"Luxembourg",9.51
"103","2021-02-04",1,"Diekirch",5.65
"104","2021-02-04",2,"Grevenmacher",6.57
"105","2021-02-04",3,"Luxembourg",6.37
"106","2021-02-05",1,"Diekirch",5.54
"107","2021-02-05",2,"Grevenmacher",6.03
"108","2021-02-05",3,"Luxembourg",6.11
"109","2021-02-06",1,"Diekirch",5.71
"110","2021-02-06",2,"Grevenmacher",6.46
"111","2021-02-06",3,"Luxembourg",6.75
"112","2021-02-07",1,"Diekirch",4.88
"113","2021-02-07",2,"Grevenmacher",5.61
"114","2021-02-07",3,"Luxembourg",6.2
"115","2021-02-08",1,"Diekirch",-0.21
"116","2021-02-08",2,"Grevenmacher",0.14
"117","2021-02-08",3,"Luxembourg",0.02
"118","2021-02-09",1,"Diekirch",-3.58
"119","2021-02-09",2,"Grevenmacher",-2.08
"120","2021-02-09",3,"Luxembourg",-2.06
"121","2021-02-10",1,"Diekirch",-8.47
"122","2021-02-10",2,"Grevenmacher",-7.61
"123","2021-02-10",3,"Luxembourg",-7.14
"124","2021-02-11",1,"Diekirch",-7.08
"125","2021-02-11",2,"Grevenmacher",-6.22
"126","2021-02-11",3,"Luxembourg",-6.24
"127","2021-02-12",1,"Diekirch",-7.65
"128","2021-02-12",2,"Grevenmacher",-7.25
"129","2021-02-12",3,"Luxembourg",-7.16
"130","2021-02-13",1,"Diekirch",-8.17
"131","2021-02-13",2,"Grevenmacher",-7.28
"132","2021-02-13",3,"Luxembourg",-7.08
"133","2021-02-14",1,"Diekirch",-6.67
"134","2021-02-14",2,"Grevenmacher",-6.15
"135","2021-02-14",3,"Luxembourg",-6.14
"136","2021-02-15",1,"Diekirch",-1.7
"137","2021-02-15",2,"Grevenmacher",-1.48
"138","2021-02-15",3,"Luxembourg",-1.71
"139","2021-02-16",1,"Diekirch",3.75
"140","2021-02-16",2,"Grevenmacher",3.67
"141","2021-02-16",3,"Luxembourg",4
"142","2021-02-17",1,"Diekirch",5.84
"143","2021-02-17",2,"Grevenmacher",6.54
"144","2021-02-17",3,"Luxembourg",6.36
"145","2021-02-18",1,"Diekirch",3.81
"146","2021-02-18",2,"Grevenmacher",3.63
"147","2021-02-18",3,"Luxembourg",3.73
"148","2021-02-19",1,"Diekirch",2.73
"149","2021-02-19",2,"Grevenmacher",4.08
"150","2021-02-19",3,"Luxembourg",3.91
"151","2021-02-20",1,"Diekirch",6.57
"152","2021-02-20",2,"Grevenmacher",7.14
"153","2021-02-20",3,"Luxembourg",7.42
"154","2021-02-21",1,"Diekirch",7.9
