"","date","ID_1","NAME_1","t2m"
"1","2021-01-01",1,"Drenthe",0.08
"2","2021-01-01",2,"Flevoland",1.61
"3","2021-01-01",3,"Friesland",2.52
"4","2021-01-01",4,"Gelderland",0.91
"5","2021-01-01",5,"Groningen",0.97
"6","2021-01-01",6,"IJsselmeer",2.92
"7","2021-01-01",7,"Limburg",1.82
"8","2021-01-01",8,"Noord-Brabant",1.17
"9","2021-01-01",9,"Noord-Holland",2.58
"10","2021-01-01",10,"Overijssel",0.53
"11","2021-01-01",11,"Utrecht",0.52
"12","2021-01-01",12,"Zeeland",1.05
"13","2021-01-01",13,"Zeeuwse meren",0.73
"14","2021-01-01",14,"Zuid-Holland",0.75
"15","2021-01-02",1,"Drenthe",3.17
"16","2021-01-02",2,"Flevoland",3.35
"17","2021-01-02",3,"Friesland",4.32
"18","2021-01-02",4,"Gelderland",2.9
"19","2021-01-02",5,"Groningen",3.27
"20","2021-01-02",6,"IJsselmeer",3.94
"21","2021-01-02",7,"Limburg",1.99
"22","2021-01-02",8,"Noord-Brabant",2.35
"23","2021-01-02",9,"Noord-Holland",4.49
"24","2021-01-02",10,"Overijssel",3.31
"25","2021-01-02",11,"Utrecht",2.6
"26","2021-01-02",12,"Zeeland",3.35
"27","2021-01-02",13,"Zeeuwse meren",3.65
"28","2021-01-02",14,"Zuid-Holland",3.41
