"","date","ID_1","t2m"
"1","2018-01-01",1,1.61
"2","2018-01-01",2,-0.54
"3","2018-01-01",3,1.65
"4","2018-01-01",4,-5.73
"5","2018-01-01",5,-9.27
"6","2018-01-01",6,-3.33
"7","2018-01-01",7,-0.17
"8","2018-01-01",8,-1.91
"9","2018-01-01",9,-4.64
"10","2018-01-01",10,-10.19
"11","2018-01-01",11,-6.97
"12","2018-01-01",12,-0.66
"13","2018-01-01",13,3.49
"14","2018-01-01",14,-1.93
"15","2018-01-01",15,-2.19
"16","2018-01-01",16,-2.81
"17","2018-01-01",17,-8.63
"18","2018-01-01",18,3.48
"19","2018-01-01",19,2.02
"20","2018-01-02",1,2.67
"21","2018-01-02",2,1.35
"22","2018-01-02",3,-0.41
"23","2018-01-02",4,-2.83
"24","2018-01-02",5,-5
"25","2018-01-02",6,-1.48
"26","2018-01-02",7,-0.52
"27","2018-01-02",8,-0.41
"28","2018-01-02",9,-0.75
"29","2018-01-02",10,-3.44
"30","2018-01-02",11,-5.51
"31","2018-01-02",12,1.1
"32","2018-01-02",13,1.91
"33","2018-01-02",14,-1.61
"34","2018-01-02",15,-0.89
"35","2018-01-02",16,-2.58
"36","2018-01-02",17,-8.28
"37","2018-01-02",18,1.45
"38","2018-01-02",19,0.63
"39","2018-01-03",1,-0.65
"40","2018-01-03",2,-4.77
"41","2018-01-03",3,-1.94
"42","2018-01-03",4,-9.38
"43","2018-01-03",5,-8.04
"44","2018-01-03",6,-11.88
"45","2018-01-03",7,-1.85
"46","2018-01-03",8,-5.27
"47","2018-01-03",9,-3.33
"48","2018-01-03",10,-3.94
"49","2018-01-03",11,-12.8
"50","2018-01-03",12,-5.06
"51","2018-01-03",13,1.33
"52","2018-01-03",14,-7.57
"53","2018-01-03",15,-3.74
"54","2018-01-03",16,-6.67
"55","2018-01-03",17,-7.05
"56","2018-01-03",18,0.64
"57","2018-01-03",19,-3.76
"58","2018-01-04",1,1.86
"59","2018-01-04",2,0.55
"60","2018-01-04",3,-1.05
"61","2018-01-04",4,-4.11
"62","2018-01-04",5,-6.55
"63","2018-01-04",6,-4.82
"64","2018-01-04",7,-1.76
"65","2018-01-04",8,-3.09
"66","2018-01-04",9,-7
"67","2018-01-04",10,-8.45
"68","2018-01-04",11,-6.19
"69","2018-01-04",12,0.49
"70","2018-01-04",13,0.69
"71","2018-01-04",14,-4.35
"72","2018-01-04",15,-3.03
"73","2018-01-04",16,-2.67
"74","2018-01-04",17,-5.36
"75","2018-01-04",18,0.2
"76","2018-01-04",19,1.39
"77","2018-01-05",1,0.75
"78","2018-01-05",2,-0.24
"79","2018-01-05",3,-2.06
"80","2018-01-05",4,-4.1
"81","2018-01-05",5,-8.57
"82","2018-01-05",6,-4.64
"83","2018-01-05",7,-2.85
"84","2018-01-05",8,-2.04
"85","2018-01-05",9,-3.77
"86","2018-01-05",10,-9.49
"87","2018-01-05",11,-5.98
"88","2018-01-05",12,-0.27
"89","2018-01-05",13,-2.23
"90","2018-01-05",14,-4.2
"91","2018-01-05",15,-3.19
"92","2018-01-05",16,-2.98
"93","2018-01-05",17,-9.33
"94","2018-01-05",18,-2.28
"95","2018-01-05",19,0.58
"96","2018-01-06",1,-4.65
"97","2018-01-06",2,-8.08
"98","2018-01-06",3,-6.2
"99","2018-01-06",4,-10.45
"100","2018-01-06",5,-10.36
"101","2018-01-06",6,-9.55
"102","2018-01-06",7,-6.34
"103","2018-01-06",8,-6.31
"104","2018-01-06",9,-7.24
"105","2018-01-06",10,-8.13
"106","2018-01-06",11,-11
"107","2018-01-06",12,-7.69
"108","2018-01-06",13,-2.1
"109","2018-01-06",14,-6.61
"110","2018-01-06",15,-7.71
"111","2018-01-06",16,-8.62
"112","2018-01-06",17,-10.12
"113","2018-01-06",18,-4.33
"114","2018-01-06",19,-4.07
"115","2018-01-07",1,-7.41
"116","2018-01-07",2,-12.45
"117","2018-01-07",3,-13.14
"118","2018-01-07",4,-15.39
"119","2018-01-07",5,-4.67
"120","2018-01-07",6,-13.53
"121","2018-01-07",7,-9.32
"122","2018-01-07",8,-4.86
"123","2018-01-07",9,-4.3
"124","2018-01-07",10,-5.76
"125","2018-01-07",11,-14.72
"126","2018-01-07",12,-12.76
"127","2018-01-07",13,-6.72
"128","2018-01-07",14,-4.92
"129","2018-01-07",15,-8.64
"130","2018-01-07",16,-15.13
"131","2018-01-07",17,-7.96
"132","2018-01-07",18,-9.78
"133","2018-01-07",19,-8.57
"134","2018-01-08",1,-0.36
"135","2018-01-08",2,-5.17
"136","2018-01-08",3,-0.44
"137","2018-01-08",4,-5.52
"138","2018-01-08",5,-9.53
"139","2018-01-08",6,-9.79
"140","2018-01-08",7,-0.06
"141","2018-01-08",8,-0.26
"142","2018-01-08",9,-2.89
"143","2018-01-08",10,-4.72
"144","2018-01-08",11,-7.45
"145","2018-01-08",12,-6.89
"146","2018-01-08",13,2.02
"147","2018-01-08",14,-1.74
"148","2018-01-08",15,-0.7
"149","2018-01-08",16,-4.21
"150","2018-01-08",17,-8.4
"151","2018-01-08",18,0.95
"152","2018-01-08",19,0.94
"153","2018-01-09",1,-0.72
"154","2018-01-09",2,-10.34
"155","2018-01-09",3,-9.2
"156","2018-01-09",4,-10.96
"157","2018-01-09",5,-5.27
"158","2018-01-09",6,-13.19
"159","2018-01-09",7,-5.55
"160","2018-01-09",8,-1.91
"161","2018-01-09",9,1.02
"162","2018-01-09",10,1.17
"163","2018-01-09",11,-9.85
"164","2018-01-09",12,-12.14
"165","2018-01-09",13,-3.39
"166","2018-01-09",14,-3.71
"167","2018-01-09",15,-3.75
"168","2018-01-09",16,-9.87
"169","2018-01-09",17,-4.84
"170","2018-01-09",18,-6.68
"171","2018-01-09",19,-5.61
"172","2018-01-10",1,-4.91
"173","2018-01-10",2,-13.35
"174","2018-01-10",3,-3.57
"175","2018-01-10",4,-13.04
"176","2018-01-10",5,-4.21
"177","2018-01-10",6,-16.52
"178","2018-01-10",7,-0.84
"179","2018-01-10",8,-3.51
"180","2018-01-10",9,-8.14
"181","2018-01-10",10,-1.75
"182","2018-01-10",11,-12.84
"183","2018-01-10",12,-13.23
"184","2018-01-10",13,3.23
"185","2018-01-10",14,-8.37
"186","2018-01-10",15,-2.66
"187","2018-01-10",16,-8.75
"188","2018-01-10",17,0.39
"189","2018-01-10",18,0.54
"190","2018-01-10",19,-7.17
"191","2018-01-11",1,0.4
"192","2018-01-11",2,-3.61
"193","2018-01-11",3,-1.65
"194","2018-01-11",4,-5.67
"195","2018-01-11",5,-4.21
"196","2018-01-11",6,-8.53
"197","2018-01-11",7,0.02
"198","2018-01-11",8,1.97
"199","2018-01-11",9,-7.41
"200","2018-01-11",10,-7.94
"201","2018-01-11",11,-6.71
"202","2018-01-11",12,-3.7
"203","2018-01-11",13,1.58
"204","2018-01-11",14,-0.48
"205","2018-01-11",15,0.43
"206","2018-01-11",16,-3.51
"207","2018-01-11",17,-5.11
"208","2018-01-11",18,0.13
"209","2018-01-11",19,-1.49
"210","2018-01-12",1,-2.8
"211","2018-01-12",2,-5.75
"212","2018-01-12",3,-2.79
"213","2018-01-12",4,-6.55
"214","2018-01-12",5,-8.24
"215","2018-01-12",6,-7.95
"216","2018-01-12",7,-2.21
"217","2018-01-12",8,-0.18
"218","2018-01-12",9,-3.65
"219","2018-01-12",10,-1.73
"220","2018-01-12",11,-7.16
"221","2018-01-12",12,-4.83
"222","2018-01-12",13,0.02
"223","2018-01-12",14,-1.33
"224","2018-01-12",15,-2.05
"225","2018-01-12",16,-5.12
"226","2018-01-12",17,-2.04
"227","2018-01-12",18,-1.01
"228","2018-01-12",19,-2.16
"229","2018-01-13",1,-0.61
"230","2018-01-13",2,-4.1
"231","2018-01-13",3,-4.56
"232","2018-01-13",4,-7.08
"233","2018-01-13",5,-1.45
"234","2018-01-13",6,-8.9
"235","2018-01-13",7,-4.4
"236","2018-01-13",8,-3.42
"237","2018-01-13",9,-5.32
"238","2018-01-13",10,-2.9
"239","2018-01-13",11,-9
"240","2018-01-13",12,-4.05
"241","2018-01-13",13,-2.36
"242","2018-01-13",14,-5.97
"243","2018-01-13",15,-4.82
"244","2018-01-13",16,-6.73
"245","2018-01-13",17,-1.23
"246","2018-01-13",18,-2.45
"247","2018-01-13",19,-1.87
"248","2018-01-14",1,-3.27
"249","2018-01-14",2,-4.98
"250","2018-01-14",3,-2.56
"251","2018-01-14",4,-6.89
"252","2018-01-14",5,-7.2
"253","2018-01-14",6,-8.19
"254","2018-01-14",7,-2.58
"255","2018-01-14",8,-5.83
"256","2018-01-14",9,-11.41
"257","2018-01-14",10,-7.7
"258","2018-01-14",11,-10.55
"259","2018-01-14",12,-5.39
"260","2018-01-14",13,0.15
"261","2018-01-14",14,-8.84
"262","2018-01-14",15,-5.2
"263","2018-01-14",16,-4.93
"264","2018-01-14",17,-4.71
"265","2018-01-14",18,-0.7
"266","2018-01-14",19,-1.66
"267","2018-01-15",1,-1.82
"268","2018-01-15",2,-2.7
"269","2018-01-15",3,-2.55
"270","2018-01-15",4,-4.74
"271","2018-01-15",5,-7.39
"272","2018-01-15",6,-5.43
"273","2018-01-15",7,-2.27
"274","2018-01-15",8,-1.68
"275","2018-01-15",9,-3.93
"276","2018-01-15",10,-7.02
"277","2018-01-15",11,-6.67
"278","2018-01-15",12,-2.07
"279","2018-01-15",13,-0.08
"280","2018-01-15",14,-2.76
"281","2018-01-15",15,-2.42
"282","2018-01-15",16,-4.01
"283","2018-01-15",17,-9.74
"284","2018-01-15",18,-1.06
"285","2018-01-15",19,0.3
"286","2018-01-16",1,0.08
"287","2018-01-16",2,-0.99
"288","2018-01-16",3,-0.98
"289","2018-01-16",4,-4.09
"290","2018-01-16",5,-4.89
"291","2018-01-16",6,-4.76
"292","2018-01-16",7,-1.3
"293","2018-01-16",8,-0.25
"294","2018-01-16",9,-3.18
"295","2018-01-16",10,-2.89
"296","2018-01-16",11,-6.56
"297","2018-01-16",12,-0.83
"298","2018-01-16",13,0.71
"299","2018-01-16",14,-2.55
"300","2018-01-16",15,-2.38
"301","2018-01-16",16,-2.08
"302","2018-01-16",17,-3.12
"303","2018-01-16",18,0.76
"304","2018-01-16",19,0.95
"305","2018-01-17",1,-0.35
"306","2018-01-17",2,-0.43
"307","2018-01-17",3,-4.38
"308","2018-01-17",4,-6.21
"309","2018-01-17",5,-10.75
"310","2018-01-17",6,-2.37
"311","2018-01-17",7,-3.32
"312","2018-01-17",8,-1.75
"313","2018-01-17",9,-0.66
"314","2018-01-17",10,-3.95
"315","2018-01-17",11,-6.24
"316","2018-01-17",12,-0.7
"317","2018-01-17",13,-1.75
"318","2018-01-17",14,-1.33
"319","2018-01-17",15,-3.63
"320","2018-01-17",16,-6.07
"321","2018-01-17",17,-6.88
"322","2018-01-17",18,-2.14
