"","date","ID_1","NAME_1","t2m"
"1","2021-01-01",1,"Žilinský",-1.38
"2","2021-01-01",2,"Banskobystrický",-0.24
"3","2021-01-01",3,"Bratislavský",-2.78
"4","2021-01-01",4,"Košický",0.71
"5","2021-01-01",5,"Nitriansky",-1.16
"6","2021-01-01",6,"Prešov",0.12
"7","2021-01-01",7,"Trenciansky",-1.24
"8","2021-01-01",8,"Trnavský",-2.45
"9","2021-01-02",1,"Žilinský",-0.34
"10","2021-01-02",2,"Banskobystrický",1.24
"11","2021-01-02",3,"Bratislavský",0.97
"12","2021-01-02",4,"Košický",3.03
"13","2021-01-02",5,"Nitriansky",2.62
"14","2021-01-02",6,"Prešov",1.34
"15","2021-01-02",7,"Trenciansky",2.11
"16","2021-01-02",8,"Trnavský",2.33
"17","2021-01-03",1,"Žilinský",0.91
"18","2021-01-03",2,"Banskobystrický",2.02
"19","2021-01-03",3,"Bratislavský",5.01
"20","2021-01-03",4,"Košický",0.9
"21","2021-01-03",5,"Nitriansky",5.71
"22","2021-01-03",6,"Prešov",0.11
"23","2021-01-03",7,"Trenciansky",4.44
"24","2021-01-03",8,"Trnavský",5.45
"25","2021-01-04",1,"Žilinský",0.76
"26","2021-01-04",2,"Banskobystrický",3.84
"27","2021-01-04",3,"Bratislavský",4.38
"28","2021-01-04",4,"Košický",3.95
"29","2021-01-04",5,"Nitriansky",5.36
"30","2021-01-04",6,"Prešov",2.25
"31","2021-01-04",7,"Trenciansky",3.63
"32","2021-01-04",8,"Trnavský",4.85
"33","2021-01-05",1,"Žilinský",0.2
"34","2021-01-05",2,"Banskobystrický",2.18
"35","2021-01-05",3,"Bratislavský",3.94
"36","2021-01-05",4,"Košický",4.24
"37","2021-01-05",5,"Nitriansky",4.33
"38","2021-01-05",6,"Prešov",3.09
"39","2021-01-05",7,"Trenciansky",1.95
"40","2021-01-05",8,"Trnavský",4.09
"41","2021-01-06",1,"Žilinský",-0.31
"42","2021-01-06",2,"Banskobystrický",1.63
"43","2021-01-06",3,"Bratislavský",3.66
"44","2021-01-06",4,"Košický",2.95
"45","2021-01-06",5,"Nitriansky",3.69
"46","2021-01-06",6,"Prešov",1.72
"47","2021-01-06",7,"Trenciansky",1.78
"48","2021-01-06",8,"Trnavský",3.83
"49","2021-01-07",1,"Žilinský",-0.54
"50","2021-01-07",2,"Banskobystrický",1.29
"51","2021-01-07",3,"Bratislavský",0.89
"52","2021-01-07",4,"Košický",2.84
"53","2021-01-07",5,"Nitriansky",0.88
"54","2021-01-07",6,"Prešov",1.74
"55","2021-01-07",7,"Trenciansky",0.36
"56","2021-01-07",8,"Trnavský",0.64
"57","2021-01-08",1,"Žilinský",-2.32
"58","2021-01-08",2,"Banskobystrický",-2.53
"59","2021-01-08",3,"Bratislavský",-0.24
"60","2021-01-08",4,"Košický",-2.51
"61","2021-01-08",5,"Nitriansky",-1.08
"62","2021-01-08",6,"Prešov",-2.36
"63","2021-01-08",7,"Trenciansky",0.16
"64","2021-01-08",8,"Trnavský",-0.13
"65","2021-01-09",1,"Žilinský",-2.68
"66","2021-01-09",2,"Banskobystrický",-2.81
"67","2021-01-09",3,"Bratislavský",-0.34
"68","2021-01-09",4,"Košický",-2.7
"69","2021-01-09",5,"Nitriansky",-0.3
"70","2021-01-09",6,"Prešov",-2.84
"71","2021-01-09",7,"Trenciansky",0.09
"72","2021-01-09",8,"Trnavský",-0.25
"73","2021-01-10",1,"Žilinský",-4.76
"74","2021-01-10",2,"Banskobystrický",-4.91
"75","2021-01-10",3,"Bratislavský",-1.99
"76","2021-01-10",4,"Košický",-2.69
"77","2021-01-10",5,"Nitriansky",-2.23
"78","2021-01-10",6,"Prešov",-3.38
"79","2021-01-10",7,"Trenciansky",-1.44
"80","2021-01-10",8,"Trnavský",-1.97
"81","2021-01-11",1,"Žilinský",-8.37
"82","2021-01-11",2,"Banskobystrický",-6.98
"83","2021-01-11",3,"Bratislavský",-4.06
"84","2021-01-11",4,"Košický",-4.14
"85","2021-01-11",5,"Nitriansky",-4.11
"86","2021-01-11",6,"Prešov",-5.49
"87","2021-01-11",7,"Trenciansky",-5.04
"88","2021-01-11",8,"Trnavský",-3.93
"89","2021-01-12",1,"Žilinský",-11.48
"90","2021-01-12",2,"Banskobystrický",-7.62
"91","2021-01-12",3,"Bratislavský",-5.28
"92","2021-01-12",4,"Košický",-5.63
"93","2021-01-12",5,"Nitriansky",-6
"94","2021-01-12",6,"Prešov",-7.53
"95","2021-01-12",7,"Trenciansky",-5.49
"96","2021-01-12",8,"Trnavský",-5.58
"97","2021-01-13",1,"Žilinský",-3.98
"98","2021-01-13",2,"Banskobystrický",-3.07
"99","2021-01-13",3,"Bratislavský",1.39
"100","2021-01-13",4,"Košický",-2.11
"101","2021-01-13",5,"Nitriansky",-0.87
"102","2021-01-13",6,"Prešov",-2.64
"103","2021-01-13",7,"Trenciansky",-1.78
"104","2021-01-13",8,"Trnavský",0.38
"105","2021-01-14",1,"Žilinský",-3.33
"106","2021-01-14",2,"Banskobystrický",-1.99
"107","2021-01-14",3,"Bratislavský",0.84
"108","2021-01-14",4,"Košický",-2.88
"109","2021-01-14",5,"Nitriansky",-0.31
"110","2021-01-14",6,"Prešov",-4.06
"111","2021-01-14",7,"Trenciansky",-1.96
"112","2021-01-14",8,"Trnavský",0.1
"113","2021-01-15",1,"Žilinský",-4.86
"114","2021-01-15",2,"Banskobystrický",-4
"115","2021-01-15",3,"Bratislavský",-0.83
"116","2021-01-15",4,"Košický",-2.58
"117","2021-01-15",5,"Nitriansky",-1.01
"118","2021-01-15",6,"Prešov",-3.4
"119","2021-01-15",7,"Trenciansky",-2.34
"120","2021-01-15",8,"Trnavský",-1
"121","2021-01-16",1,"Žilinský",-11.1
"122","2021-01-16",2,"Banskobystrický",-8.21
"123","2021-01-16",3,"Bratislavský",-2.89
"124","2021-01-16",4,"Košický",-7.52
"125","2021-01-16",5,"Nitriansky",-5.12
"126","2021-01-16",6,"Prešov",-8.82
"127","2021-01-16",7,"Trenciansky",-10.09
"128","2021-01-16",8,"Trnavský",-4.78
"129","2021-01-17",1,"Žilinský",-9.61
"130","2021-01-17",2,"Banskobystrický",-6.79
"131","2021-01-17",3,"Bratislavský",-3.44
"132","2021-01-17",4,"Košický",-5.94
"133","2021-01-17",5,"Nitriansky",-4.46
"134","2021-01-17",6,"Prešov",-7.22
"135","2021-01-17",7,"Trenciansky",-7.38
"136","2021-01-17",8,"Trnavský",-3.97
"137","2021-01-18",1,"Žilinský",-16.86
"138","2021-01-18",2,"Banskobystrický",-9.27
"139","2021-01-18",3,"Bratislavský",-6.07
"140","2021-01-18",4,"Košický",-8.35
"141","2021-01-18",5,"Nitriansky",-9.98
"142","2021-01-18",6,"Prešov",-12.67
"143","2021-01-18",7,"Trenciansky",-17.04
"144","2021-01-18",8,"Trnavský",-8.4
"145","2021-01-19",1,"Žilinský",-9.2
"146","2021-01-19",2,"Banskobystrický",-7.62
"147","2021-01-19",3,"Bratislavský",0.03
"148","2021-01-19",4,"Košický",-7.49
"149","2021-01-19",5,"Nitriansky",-3.36
"150","2021-01-19",6,"Prešov",-9.83
"151","2021-01-19",7,"Trenciansky",-6.11
"152","2021-01-19",8,"Trnavský",-1.33
"153","2021-01-20",1,"Žilinský",-3.23
"154","2021-01-20",2,"Banskobystrický",-2.62
"155","2021-01-20",3,"Bratislavský",2.81
"156","2021-01-20",4,"Košický",-3.1
"157","2021-01-20",5,"Nitriansky",0.53
"158","2021-01-20",6,"Prešov",-3.91
"159","2021-01-20",7,"Trenciansky",-0.93
"160","2021-01-20",8,"Trnavský",1.92
"161","2021-01-21",1,"Žilinský",-0.66
"162","2021-01-21",2,"Banskobystrický",0.76
"163","2021-01-21",3,"Bratislavský",3.79
