"","date","ID_1","NAME_1","t2m"
"1","2021-01-01",1,"Alabama",17.12
"2","2021-01-01",2,"Alaska",1.45
"3","2021-01-01",3,"Alaska",-14.87
"4","2021-01-01",4,"Arizona",7.16
"5","2021-01-01",5,"Arkansas",2.75
"6","2021-01-01",6,"California",9.53
"7","2021-01-01",7,"Colorado",-3.44
"8","2021-01-01",8,"Connecticut",2.99
"9","2021-01-01",9,"Delaware",6.81
"10","2021-01-01",10,"District of Columbia",5.54
"11","2021-01-01",11,"Florida",22.47
"12","2021-01-01",12,"Georgia",16.5
"13","2021-01-01",13,"Hawaii",22.56
"14","2021-01-01",14,"Idaho",-1.01
"15","2021-01-01",15,"Illinois",-2.63
"16","2021-01-01",16,"Indiana",-2.5
"17","2021-01-01",17,"Iowa",-6.6
"18","2021-01-01",18,"Kansas",-0.09
"19","2021-01-01",19,"Kentucky",2.57
"20","2021-01-01",20,"Louisiana",16.76
"21","2021-01-01",21,"Maine",-1.75
"22","2021-01-01",22,"Maryland",5.11
"23","2021-01-01",23,"Massachusetts",2.44
"24","2021-01-01",24,"Michigan",-2.84
"25","2021-01-01",25,"Minnesota",-7.26
"26","2021-01-01",26,"Mississippi",15.14
"27","2021-01-01",27,"Missouri",-0.4
"28","2021-01-01",28,"Montana",-0.29
"29","2021-01-01",29,"Nebraska",-1.59
"30","2021-01-01",30,"Nevada",2.09
"31","2021-01-01",31,"New Hampshire",-0.55
"32","2021-01-01",32,"New Jersey",4.98
"33","2021-01-01",33,"New Mexico",3.03
"34","2021-01-01",34,"New York",-0.81
"35","2021-01-01",35,"North Carolina",13.85
"36","2021-01-01",36,"North Dakota",-2.55
"37","2021-01-01",37,"Ohio",-0.95
"38","2021-01-01",38,"Oklahoma",1.52
"39","2021-01-01",39,"Oregon",4.28
"40","2021-01-01",40,"Pennsylvania",-0.07
"41","2021-01-01",41,"Rhode Island",4.06
"42","2021-01-01",42,"South Carolina",15.19
"43","2021-01-01",43,"South Dakota",-2.61
"44","2021-01-01",44,"Tennessee",6.81
"45","2021-01-01",45,"Texas",3.91
"46","2021-01-01",46,"Utah",-2.24
"47","2021-01-01",47,"Vermont",-1.28
"48","2021-01-01",48,"Virginia",9.3
"49","2021-01-01",49,"Washington",3.12
"50","2021-01-01",50,"West Virginia",3.06
"51","2021-01-01",51,"Wisconsin",-6.77
"52","2021-01-01",52,"Wyoming",-3.27
"53","2021-01-02",1,"Alabama",16.74
"54","2021-01-02",2,"Alaska",1.61
"55","2021-01-02",3,"Alaska",-16.71
"56","2021-01-02",4,"Arizona",9.43
"57","2021-01-02",5,"Arkansas",5.34
"58","2021-01-02",6,"California",10.54
"59","2021-01-02",7,"Colorado",-2.67
"60","2021-01-02",8,"Connecticut",0.71
"61","2021-01-02",9,"Delaware",5.84
"62","2021-01-02",10,"District of Columbia",2.64
"63","2021-01-02",11,"Florida",22.6
"64","2021-01-02",12,"Georgia",18.96
"65","2021-01-02",13,"Hawaii",21.97
"66","2021-01-02",14,"Idaho",-0.7
"67","2021-01-02",15,"Illinois",1.81
"68","2021-01-02",16,"Indiana",4.36
"69","2021-01-02",17,"Iowa",-4.97
"70","2021-01-02",18,"Kansas",1
"71","2021-01-02",19,"Kentucky",12.37
"72","2021-01-02",20,"Louisiana",10.15
"73","2021-01-02",21,"Maine",-6.1
"74","2021-01-02",22,"Maryland",3.45
"75","2021-01-02",23,"Massachusetts",0.37
"76","2021-01-02",24,"Michigan",-1.38
"77","2021-01-02",25,"Minnesota",-6.42
"78","2021-01-02",26,"Mississippi",11.83
"79","2021-01-02",27,"Missouri",0.11
"80","2021-01-02",28,"Montana",0.34
"81","2021-01-02",29,"Nebraska",-0.86
"82","2021-01-02",30,"Nevada",1.56
"83","2021-01-02",31,"New Hampshire",-2.21
"84","2021-01-02",32,"New Jersey",3.31
"85","2021-01-02",33,"New Mexico",3.98
"86","2021-01-02",34,"New York",-0.49
"87","2021-01-02",35,"North Carolina",8.12
"88","2021-01-02",36,"North Dakota",-2.93
"89","2021-01-02",37,"Ohio",5.42
"90","2021-01-02",38,"Oklahoma",1.9
"91","2021-01-02",39,"Oregon",4.18
"92","2021-01-02",40,"Pennsylvania",0.35
"93","2021-01-02",41,"Rhode Island",1.61
"94","2021-01-02",42,"South Carolina",14.94
"95","2021-01-02",43,"South Dakota",-1.72
"96","2021-01-02",44,"Tennessee",12.56
"97","2021-01-02",45,"Texas",6.45
"98","2021-01-02",46,"Utah",-1.58
"99","2021-01-02",47,"Vermont",-2.34
"100","2021-01-02",48,"Virginia",3.32
"101","2021-01-02",49,"Washington",4.35
"102","2021-01-02",50,"West Virginia",6.53
"103","2021-01-02",51,"Wisconsin",-4.68
"104","2021-01-02",52,"Wyoming",-4.82
